gene_symbol,nct_id,title,conditions,phase,status,interventions
ABCC1,NCT02031016,A Randomised Clinical Trial Evaluating the Effect of Remifentanil vs Fentanyl During Cardiac Surgery on the Incidence of Chronic Thoracic Pain,Chronic Pain; Sternotomy; Remifentanil; Fentanyl,PHASE4,COMPLETED,Fentanyl; Remifentanil; Fentanyl
ABCC1,NCT03604471,Lipid-lowering Therapy Individualization,Hypercholesterolemia,PHASE4,COMPLETED,Atorvastatin
ABCC1,NCT03417986,"An Open-label, Multicenter, Controlled Pharmaco-dynamic Clinical Trial to Explore the the Amyloid Beta Draining Effect of Thiethylperazine (TEP) in Subjects With Newly Diagnosed Early-to-mild Dementia Due to Alzheimer's Disease in Comparison to Healthy Volunteers",Alzheimer Disease,PHASE2,COMPLETED,TEP
ABCC1,NCT03879629,TrAstuzumab Cardiomyopathy Therapeutic Intervention With Carvedilol (TACTIC) Trial,Breast Cancer,PHASE2,TERMINATED,Carvedilol
ABCC1,NCT07494565,"A Multicenter, Prospective, Randomized, Open-Label, Phase II Study of Celecoxib Combined With R-CHOP Versus R-CHOP in Patients With Newly Diagnosed Advanced CD5-Positive Diffuse Large B-Cell Lymphoma (CD5+ DLBCL)",Diffuse Large B-Cell Lymphoma (DLBCL); CD5 Positive,PHASE2,NOT_YET_RECRUITING,Celecoxib Combined with R-CHOP; R-CHOP
ABCC1,NCT01482611,"Phase I, First-in-human, Double-blind, Randomized, Placebo-controlled Trial to Examine the Safety, Tolerability and Plasma Pharmacokinetics of Increasing Single Oral Doses of JNJ-47910382 in Healthy Caucasian and Japanese Volunteers",Hepatitis C Virus Infection,PHASE1,COMPLETED,JNJ-47910382; JNJ-47910382; JNJ-47910382; JNJ-47910382; Placebo; Placebo; Placebo; Placebo
ABCC1,NCT00898456,Multidrug Resistance Protein Gene Polymorphisms in Acute Myeloid Leukemia. A CALGB Leukemia Tissue Bank Project,Leukemia,,ACTIVE_NOT_RECRUITING,gene expression analysis; molecular genetic technique; polymorphism analysis; protein expression analysis; diagnostic laboratory biomarker analysis
ABCC1,NCT03113604,Analysis of the Role of Hepatocyte SLAMF3 Receptor and Drug Resistance Proteins (MDR) in Resistance to Treatment With Sorafenib in CHC Patients,Hepatocyte Receptor; Hepatocellular Carcinoma,,WITHDRAWN,Study on samples of tumor and peri-tumor tissues from patients with hepatocellular carcinoma
ABCC1,NCT02514369,Pharmacogenetics of New Antiretroviral Drugs,HIV,,COMPLETED,
ABCC1,NCT05450822,The BrainDrugs-Epilepsy Study: A Prospective Open-label Cohort Precision Medicine Study in Epilepsy,Epilepsy,,RECRUITING,Levetiracetam; Levetiracetam Tablets; Lamotrigine tablet
