gene_symbol,source,disease,disease_id,score_or_phase,therapeutic_areas,immune,primary_rank,directionality_index,footprint_class
FOXN2,OpenTargets,lupus erythematosus,MONDO_0004670,0.0527209437894097,immune system disorder;musculoskeletal or connective tissue disease,True,1.0,0.9446640316205532,net_derepressed_on_KO
MGA,OpenTargets,B-cell chronic lymphocytic leukemia,MONDO_0004948,0.401521161711002,hematologic disorder;immune system disorder;cancer or benign tumor,True,2.0,0.9290322580645162,net_derepressed_on_KO
MGA,OpenTargets,acute myeloid leukemia,MONDO_0018874,0.0347232167132923,hematologic disorder;immune system disorder;cancer or benign tumor;musculoskeletal or connective tissue disease,True,2.0,0.9290322580645162,net_derepressed_on_KO
MGA,OpenTargets,leukemia,MONDO_0005059,0.0274823686386374,hematologic disorder;cancer or benign tumor,True,2.0,0.9290322580645162,net_derepressed_on_KO
MGA,ClinicalTrials,Acute Myeloid Leukemia,NCT00925873,PHASE3,,True,2.0,0.9290322580645162,net_derepressed_on_KO
MGA,ClinicalTrials,Breast Cancer; Colorectal Cancer; Head and Neck Cancer; Lung Cancer; Lymphoma; Prostate Cancer,NCT00963911,,,True,2.0,0.9290322580645162,net_derepressed_on_KO
ZNF274,OpenTargets,acute myeloid leukemia,MONDO_0018874,0.0221569282547723,hematologic disorder;immune system disorder;cancer or benign tumor;musculoskeletal or connective tissue disease,True,4.0,0.9140271493212668,net_derepressed_on_KO
ZNF274,OpenTargets,metastatic malignant neoplasm in the lymph nodes,MONDO_0005438,0.0064676474569822,hematologic disorder;immune system disorder;cancer or benign tumor,True,4.0,0.9140271493212668,net_derepressed_on_KO
ZNF274,OpenTargets,B-cell chronic lymphocytic leukemia,MONDO_0004948,0.0044349582562164,hematologic disorder;immune system disorder;cancer or benign tumor,True,4.0,0.9140271493212668,net_derepressed_on_KO
ZNF274,OpenTargets,acute lymphoblastic leukemia,MONDO_0004967,0.004250168328874,hematologic disorder;cancer or benign tumor,True,4.0,0.9140271493212668,net_derepressed_on_KO
ZNF274,OpenTargets,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO_0011996,0.0034904764053555,"musculoskeletal or connective tissue disease;genetic, familial or congenital disease;hematologic disorder;immune system disorder;cancer or benign tumor",True,4.0,0.9140271493212668,net_derepressed_on_KO
TMEM131L,OpenTargets,vitiligo,MONDO_0008661,0.2593643530265156,immune system disorder;integumentary system disorder,True,5.0,0.912568306010929,net_derepressed_on_KO
