gene_symbol,primary_rank,directionality_index,n_ot_disease,n_ct_trial,n_ncbi_disease,n_immune_assoc,top_immune_diseases
FOXN2,1.0,0.9446640316205532,25,0,0,1,lupus erythematosus
MGA,2.0,0.9290322580645162,25,20,1,5,B-cell chronic lymphocytic leukemia; acute myeloid leukemia; leukemia
ZNF274,4.0,0.9140271493212668,25,0,0,5,acute myeloid leukemia; metastatic malignant neoplasm in the lymph nodes; B-cell chronic lymphocytic leukemia
TMEM131L,5.0,0.912568306010929,25,0,0,1,vitiligo
THAP5,7.0,0.8881987577639752,25,0,0,3,polycythemia; type 1 diabetes mellitus; Crohn disease
ZNF200,13.0,0.8677685950413223,24,0,0,2,tuberculosis; diffuse large B-cell lymphoma
RFX1,20.0,0.8470948012232415,25,1,0,6,systemic lupus erythematosus; type 1 diabetes mellitus; colitis
ERN1,21.0,-0.841726618705036,25,2,0,5,autoimmune disorder of central nervous system; ulcerative colitis; Crohn disease
TMEM205,22.0,0.8360655737704918,25,0,0,0,
TRIM39,24.0,-0.8320610687022901,25,0,0,1,nasopharyngeal carcinoma
WASL,26.0,0.8319327731092437,25,3,0,3,asthma; viral infectious disease; nasopharyngeal carcinoma
PDIA6,32.0,0.8168316831683168,25,0,0,3,immune system disorder; X-linked lymphoproliferative disease; Familial hemophagocytic lymphohistiocytosis
IFNGR2,33.0,-0.8157894736842105,25,1,1,13,immunodeficiency 28; Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency; chronic granulomatous disease
TMEM131,34.0,0.8088235294117647,25,0,0,9,primary thrombocytopenia; rheumatoid arthritis; autoimmune disease
PCGF6,35.0,0.808,25,0,0,0,
ZNF589,38.0,0.8,25,0,0,1,metastatic malignant neoplasm in the lymph nodes
LIN37,41.0,0.7939110070257611,19,0,0,1,acute myeloid leukemia
ELOC,42.0,0.7897897897897898,25,4,0,1,HIV infectious disease
BAHD1,50.0,0.7769230769230769,25,0,0,4,bacterial infectious disease; ulcerative colitis; colitis
GNPAT,52.0,0.7748917748917749,25,0,1,1,multiple sclerosis
EGLN1,55.0,0.7704918032786885,25,2,2,4,"erythrocytosis, familial, 3; autosomal dominant secondary polycythemia; primary familial polycythemia due to EPO receptor mutation"
UBE2G2,56.0,0.7639198218262806,25,0,0,4,primary thrombocytopenia; viral infectious disease; Zika virus infectious disease
R3HCC1L,58.0,0.7613636363636364,25,0,0,0,
NABP1,60.0,0.7579365079365079,25,0,0,5,multiple sclerosis; hepatitis C virus infection; bacterial infectious disease with sepsis
P4HB,63.0,0.7566909975669099,25,13,1,3,dengue disease; type 1 diabetes mellitus
ZNF507,69.0,0.744,25,0,0,4,ankylosing spondylitis; respiratory tract infectious disorder; acute tonsillitis
NCR3,74.0,-0.7303370786516854,25,0,1,8,viral infectious disease; acute myeloid leukemia; acute lymphoblastic leukemia
TET2,78.0,-0.7238493723849372,25,20,2,23,acute myeloid leukemia; immunodeficiency 75; chronic myelomonocytic leukemia
CDIPT,85.0,0.7007481296758105,25,2,0,2,COVID-19
ZC3H4,91.0,0.6888888888888889,25,0,0,0,
GPAA1,96.0,0.6788990825688074,25,0,1,1,acute lymphoblastic leukemia
VPS13A,97.0,0.6744186046511628,25,0,1,2,acute tonsillitis; mixed connective tissue disease
PHF20,98.0,-0.673469387755102,25,0,0,5,acute panmyelosis with myelofibrosis; autoimmune disease with susceptibility to mycobacterium tuberculosis; Felty syndrome
FBXO11,102.0,-0.6554307116104869,25,0,1,1,Burkitt lymphoma
ZNF35,103.0,-0.6545454545454545,23,0,0,3,drug allergy; systemic lupus erythematosus; myeloid sarcoma
SRR,106.0,0.6518946692357097,25,20,0,4,multiple sclerosis; Eczematoid dermatitis
TENT5C,111.0,0.6470588235294118,25,0,0,1,plasma cell myeloma
CCNA2,118.0,0.6345116836428999,25,7,0,1,
CYTH3,120.0,-0.6323529411764706,25,0,0,2,inflammatory bowel disease; MPI-congenital disorder of glycosylation
TXNL1,126.0,0.623342175066313,25,0,0,3,ulcerative colitis; myalgic encephalomeyelitis/chronic fatigue syndrome; lymphatic system disorder
UBE2E1,130.0,0.6131687242798354,25,0,0,4,ankylosing spondylitis; herpes zoster; thyroiditis
PPP6C,133.0,0.6096866096866097,25,0,0,2,acute myeloid leukemia; plasma cell myeloma
VHL,141.0,0.6005056890012642,25,20,4,5,Chuvash polycythemia; Chuvash erythrocytosis; primary familial polycythemia due to EPO receptor mutation
IRF8,147.0,0.5918367346938775,25,2,2,18,immunodeficiency 32B; B-cell chronic lymphocytic leukemia; lymphoid leukemia
TGIF2,151.0,0.5892857142857143,25,0,0,1,22q11.2 deletion syndrome
XBP1,153.0,-0.589010989010989,25,12,1,4,acute lymphoblastic leukemia
ATP1B3,167.0,0.57001414427157,25,0,0,1,Hashimoto thyroiditis
SAMD1,172.0,0.565816678152998,25,0,0,2,autoimmune polyendocrinopathy; Fanconi anemia
