gene_symbol,entrez_id,disease_name,medgen_cui,medgen_uid,source
ABCC1,4363,"Hearing loss, autosomal dominant 77",C5394499,1709284,NCBI MedGen (elink gene->medgen)
ABHD12,26090,PHARC syndrome,C2675204,436373,NCBI MedGen (elink gene->medgen)
ABHD12,26090,Charcot-Marie-Tooth disease,C0007959,2980,NCBI MedGen (elink gene->medgen)
ACACA,31,Acetyl-CoA: carboxylase deficiency,C0268603,124338,NCBI MedGen (elink gene->medgen)
ACAD9,28976,Acyl-CoA dehydrogenase 9 deficiency,C4747517,1648400,NCBI MedGen (elink gene->medgen)
ADNP,23394,ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder,C4014538,862975,NCBI MedGen (elink gene->medgen)
AHR,196,Foveal hypoplasia 3,C5975405,1874935,NCBI MedGen (elink gene->medgen)
AHR,196,Retinitis pigmentosa 85,C5193041,1682947,NCBI MedGen (elink gene->medgen)
AIP,9049,Somatotroph adenoma,C4538355,1618709,NCBI MedGen (elink gene->medgen)
AIP,9049,Pituitary dependent hypercortisolism,C0221406,66381,NCBI MedGen (elink gene->medgen)
ALDH18A1,5832,Autosomal recessive complex spastic paraplegia type 9B,C5568980,1800403,NCBI MedGen (elink gene->medgen)
ALDH18A1,5832,Hereditary spastic paraplegia 9A,C5568978,1800401,NCBI MedGen (elink gene->medgen)
ALDH18A1,5832,ALDH18A1-related de Barsy syndrome,C5234852,1720006,NCBI MedGen (elink gene->medgen)
ALDH18A1,5832,"Cutis laxa, autosomal dominant 3",C4225268,899774,NCBI MedGen (elink gene->medgen)
ALG6,29929,ALG6-congenital disorder of glycosylation 1C,C2930997,443952,NCBI MedGen (elink gene->medgen)
ALG8,79053,Polycystic liver disease 3 with or without kidney cysts,C4693472,1646969,NCBI MedGen (elink gene->medgen)
ALG8,79053,ALG8 congenital disorder of glycosylation,C2931002,419692,NCBI MedGen (elink gene->medgen)
ALS2,57679,Infantile-onset ascending hereditary spastic paralysis,C2931441,419413,NCBI MedGen (elink gene->medgen)
ALS2,57679,"Amyotrophic lateral sclerosis type 2, juvenile",C1859807,349246,NCBI MedGen (elink gene->medgen)
ALS2,57679,Juvenile primary lateral sclerosis,C1853396,342870,NCBI MedGen (elink gene->medgen)
ARID2,196528,Coffin-Siris syndrome 6,C4540499,1615540,NCBI MedGen (elink gene->medgen)
ARL6IP1,23204,Hereditary spastic paraplegia 61,C3810294,816624,NCBI MedGen (elink gene->medgen)
ARPC1B,10095,Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease,C4540232,1618052,NCBI MedGen (elink gene->medgen)
ATAD3A,55210,"Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal",C5394137,1716458,NCBI MedGen (elink gene->medgen)
ATAD3A,55210,Harel-Yoon syndrome,C4310677,934644,NCBI MedGen (elink gene->medgen)
ATM,472,Familial cancer of breast,C0346153,87542,NCBI MedGen (elink gene->medgen)
ATM,472,Ataxia-telangiectasia syndrome,C0004135,439,NCBI MedGen (elink gene->medgen)
ATP5PO,539,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 7",C5830482,1841118,NCBI MedGen (elink gene->medgen)
ATRX,546,"Intellectual disability-hypotonic facies syndrome, X-linked, 1",C4759781,1676827,NCBI MedGen (elink gene->medgen)
ATRX,546,Alpha thalassemia-X-linked intellectual disability syndrome,C1845055,337145,NCBI MedGen (elink gene->medgen)
ATRX,546,Acquired hemoglobin H disease,C0585216,108433,NCBI MedGen (elink gene->medgen)
