gene_symbol,ensembl_id,disease_id,disease_name,therapeutic_areas,association_score
AASDH,ENSG00000157426,MONDO_0002345,cervicitis,reproductive system or breast disease;phenotype,0.2664734473305913
AASDH,ENSG00000157426,MONDO_0000992,heart conduction disease,cardiovascular disorder,0.25595107577337484
AASDH,ENSG00000157426,MONDO_0005393,gout,nutritional or metabolic disease;phenotype,0.237732545697892
AASDH,ENSG00000157426,MONDO_0005148,type 2 diabetes mellitus,phenotype;nutritional or metabolic disease;endocrine system disorder;gastrointestinal disease,0.17864278125986166
AASDH,ENSG00000157426,MONDO_0015826,autosomal dominant spondylocostal dysostosis,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease",0.04787907017440311
AASDH,ENSG00000157426,MONDO_0015799,Smith-McCort dysplasia,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease;phenotype",0.04587225156346519
AASDH,ENSG00000157426,MONDO_0008479,"spondylometaphyseal dysplasia, 'corner fracture' type","genetic, familial or congenital disease;musculoskeletal or connective tissue disease;phenotype",0.04429414558396151
AASDH,ENSG00000157426,MONDO_0008474,"spondyloepiphyseal dysplasia tarda, autosomal dominant","genetic, familial or congenital disease;musculoskeletal or connective tissue disease;phenotype",0.04408348506679124
AASDH,ENSG00000157426,MONDO_0016068,fibrochondrogenesis,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease;phenotype",0.04401326489440114
AASDH,ENSG00000157426,MONDO_0005488,adolescent idiopathic scoliosis,musculoskeletal or connective tissue disease,0.043844943154936325
AASDH,ENSG00000157426,Orphanet_85167,Spondylometaphyseal dysplasia - cone-rod dystrophy,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease",0.043695426219372294
AASDH,ENSG00000157426,MONDO_0012160,spondylometaphyseal dysplasia-cone-rod dystrophy syndrome,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease;phenotype",0.043695426219372294
AASDH,ENSG00000157426,MONDO_0012108,"spondyloepimetaphyseal dysplasia, matrilin-3 type","genetic, familial or congenital disease;musculoskeletal or connective tissue disease;phenotype",0.04297474550273713
AASDH,ENSG00000157426,Orphanet_3275,Spondylocarpotarsal synostosis,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease",0.0413615294370384
AASDH,ENSG00000157426,MONDO_0007389,spondylocostal dysostosis 5,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease",0.03929373015007749
AASDH,ENSG00000157426,MONDO_0032565,"ophthalmoplegia, external, with rib and vertebral anomalies","genetic, familial or congenital disease",0.03920503098495317
AASDH,ENSG00000157426,MONDO_0010070,"brachyolmia type 1, Hobaek type","genetic, familial or congenital disease;musculoskeletal or connective tissue disease;phenotype",0.0385397872465207
AASDH,ENSG00000157426,MONDO_0010180,autosomal recessive spondylocostal dysostosis,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease;nutritional or metabolic disease",0.03811846621218015
AASDH,ENSG00000157426,MONDO_0007256,hepatocellular carcinoma,hepatobiliary disorder;endocrine system disorder;gastrointestinal disease;cancer or benign tumor,0.038066725032524285
AASDH,ENSG00000157426,MONDO_0011814,Smith-McCort dysplasia 1,"genetic, familial or congenital disease;musculoskeletal or connective tissue disease;phenotype",0.037689753580745895
AASDH,ENSG00000157426,MONDO_0016070,hereditary gingival fibromatosis,"genetic, familial or congenital disease;gastrointestinal disease;musculoskeletal or connective tissue disease",0.03750496365340354
