gene,ensembl,post_mean,lower_95,upper_95,population_hypothesis
CD3E,ENSG00000198851,-0.0024,-0.0396,0.0346,population LoF-burden carriers show lower lymphocyte count on average (not distinguishable from zero)
LAT,ENSG00000213658,-0.0324,-0.1004,0.0292,population LoF-burden carriers show lower lymphocyte count on average (not distinguishable from zero)
TADA2B,ENSG00000173011,0.0063,-0.0295,0.0479,population LoF-burden carriers show higher lymphocyte count on average (not distinguishable from zero)
SENP5,ENSG00000119231,0.0939,0.0313,0.1764,population LoF-burden carriers show higher lymphocyte count on average (distinguishable from zero (95% CI excludes 0))
PLCG1,ENSG00000124181,0.2947,0.1871,0.4071,population LoF-burden carriers show higher lymphocyte count on average (distinguishable from zero (95% CI excludes 0))
VAV1,ENSG00000141968,0.0704,0.011,0.158,population LoF-burden carriers show higher lymphocyte count on average (distinguishable from zero (95% CI excludes 0))
SGF29,ENSG00000176476,0.008,-0.0279,0.0464,population LoF-burden carriers show higher lymphocyte count on average (not distinguishable from zero)
UBXN1,ENSG00000162191,-0.0177,-0.0728,0.0367,population LoF-burden carriers show lower lymphocyte count on average (not distinguishable from zero)
CD247,ENSG00000198821,0.0091,-0.0252,0.0512,population LoF-burden carriers show higher lymphocyte count on average (not distinguishable from zero)
MED12,ENSG00000184634,0.0142,-0.0531,0.0777,population LoF-burden carriers show higher lymphocyte count on average (not distinguishable from zero)
CCNC,ENSG00000112237,0.013,-0.022,0.0575,population LoF-burden carriers show higher lymphocyte count on average (not distinguishable from zero)
SUPT20H,ENSG00000102710,-0.0003,-0.0292,0.0345,population LoF-burden carriers show lower lymphocyte count on average (not distinguishable from zero)
TADA1,ENSG00000152382,0.0487,0.0041,0.1186,population LoF-burden carriers show higher lymphocyte count on average (distinguishable from zero (95% CI excludes 0))
DENR,ENSG00000139726,-0.0014,-0.035,0.0353,population LoF-burden carriers show lower lymphocyte count on average (not distinguishable from zero)
PMVK,ENSG00000163344,0.0489,0.0027,0.1211,population LoF-burden carriers show higher lymphocyte count on average (distinguishable from zero (95% CI excludes 0))
