title,authors,year,venue,doi,theme,relevance_note
Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens,Atray Dixit et al.,2016,Cell,10.1016/j.cell.2016.11.038,a) Genome-scale / Perturb-seq methods in (primary) cells,Dixit: founding Perturb-seq — pooled CRISPR + scRNA-seq; core assay this platform scales genome-wide in CD4+ T cells.
A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response,Britt Adamson et al.,2016,Cell,10.1016/j.cell.2016.11.048,a) Genome-scale / Perturb-seq methods in (primary) cells,Adamson: multiplexed single-cell CRISPRi (Perturb-seq) with guide barcoding; UPR circuit dissection.
Pooled CRISPR screening with single-cell transcriptome readout,Paul Datlinger et al.,2017,Nature Methods,10.1038/nmeth.4177,a) Genome-scale / Perturb-seq methods in (primary) cells,Datlinger CROP-seq: single-cell CRISPR screens with transcriptomic readout; direct methodological ancestor.
scMAGeCK links genotypes with multiple phenotypes in single-cell CRISPR screens,Lin Yang et al.,2020,Genome biology,10.1186/s13059-020-1928-4,a) Genome-scale / Perturb-seq methods in (primary) cells,Analysis method linking guide genotype to multi-phenotype readout in single-cell CRISPR screens.
SCEPTRE improves calibration and sensitivity in single-cell CRISPR screen analysis,Timothy Barry et al.,2021,Genome biology,10.1186/s13059-021-02545-2,a) Genome-scale / Perturb-seq methods in (primary) cells,Statistical framework for single-cell CRISPR screen analysis; calibration of perturbation effects.
Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph M. Replogle et al.,2022,Cell,10.1016/j.cell.2022.05.013,a) Genome-scale / Perturb-seq methods in (primary) cells,Replogle: genome-scale Perturb-seq atlas across ~10k genes — demonstrates the scale this CD4+ platform targets.
High-content CRISPR screening,Christoph Bock et al.,2022,Nature Reviews Methods Primers,10.1038/s43586-022-00098-7,a) Genome-scale / Perturb-seq methods in (primary) cells,Review of high-content/single-cell CRISPR screening approaches — methodological context.
Scalable genetic screening for regulatory circuits using compressed Perturb-seq,Douglas Yao et al.,2023,Nature Biotechnology,10.1038/s41587-023-01964-9,a) Genome-scale / Perturb-seq methods in (primary) cells,Compressed/pooled designs to make genome-scale single-cell CRISPR screens tractable — scaling strategy relevant to a genome-wide platform.
Identification of essential genes for cancer immunotherapy,Shashank J. Patel et al.,2017,Nature,10.1038/nature23477,b) CRISPR screens in primary T cells (activation/function),Patel: in vivo CRISPR screen for genes controlling T-cell efficacy against tumors.
Genome-wide CRISPR Screens in Primary Human T Cells Reveal Key Regulators of Immune Function,Eric Shifrut et al.,2018,Cell,10.1016/j.cell.2018.10.024,b) CRISPR screens in primary T cells (activation/function),Shifrut/Marson: genome-wide CRISPR screens in primary human T cells revealing regulators of proliferation — foundational precedent.
Reprogramming human T cell function and specificity with non-viral genome targeting,Theodore L. Roth et al.,2018,Nature,10.1038/s41586-018-0326-5,b) CRISPR screens in primary T cells (activation/function),Roth/Marson: non-viral CRISPR knock-in reprogramming primary human T cells — enabling technology for large-scale engineering.
CRISPR activation and interference screens decode stimulation responses in primary human T cells,Ralf Schmidt et al.,2022,Science,10.1126/science.abj4008,b) CRISPR screens in primary T cells (activation/function),Schmidt/Marson: pooled CRISPRa/CRISPRi screens decoding cytokine and stimulation programs in primary human T cells.
A genome-scale screen for synthetic drivers of T cell proliferation,Mateusz Legut et al.,2022,Nature,10.1038/s41586-022-04494-7,b) CRISPR screens in primary T cells (activation/function),Legut: genome-scale gain-of-function screen for synthetic drivers of T-cell proliferation — target-discovery precedent.
High-yield genome engineering in primary cells using a hybrid ssDNA repair template and small-molecule cocktails,Brian R. Shy et al.,2022,Nature Biotechnology,10.1038/s41587-022-01418-8,b) CRISPR screens in primary T cells (activation/function),Shy: high-yield genome engineering in primary cells — enabling method for large knock-in/screen designs.
Pharmacological interventions enhance virus-free generation of TRAC-replaced CAR T cells,Jonas Kath et al.,2022,Molecular Therapy — Methods & Clinical Development,10.1016/j.omtm.2022.03.018,b) CRISPR screens in primary T cells (activation/function),Kath: pharmacological enhancement of non-viral T-cell engineering; scalable primary-cell manipulation.
Modular pooled discovery of synthetic knockin sequences to program durable cell therapies,Franziska Blaeschke et al.,2023,Cell,10.1016/j.cell.2023.08.013,b) CRISPR screens in primary T cells (activation/function),Blaeschke: pooled knock-in screen to reprogram T-cell function — synthetic construct discovery.
Multimodal pooled Perturb-CITE-seq screens in patient models define mechanisms of cancer immune evasion,Chris J. Frangieh et al.,2021,Nature Genetics,10.1038/s41588-021-00779-1,c) Context-specific regulators of T-cell programs,Frangieh: multimodal Perturb-CITE-seq in patient melanoma models defining immune-evasion programs.
Non-viral precision T cell receptor replacement for personalized cell therapy,Susan P. Foy et al.,2022,Nature,10.1038/s41586-022-05531-1,b) CRISPR screens in primary T cells (activation/function),"Foy: non-viral precision TCR replacement in patient T cells — clinical-scale primary T-cell engineering, the manufacturing context for a T-cell target-discovery platform."
Genome-wide CRISPR screens of T cell exhaustion identify chromatin remodeling factors that limit T cell persistence,Julia A. Belk et al.,2022,Cancer Cell,10.1016/j.ccell.2022.06.001,c) Context-specific regulators of T-cell programs,Belk: genome-wide CRISPR screens of T-cell exhaustion identifying chromatin remodeling regulators — context-specific state control.
MYB orchestrates T cell exhaustion and response to checkpoint inhibition,Carlson Tsui et al.,2022,Nature,10.1038/s41586-022-05105-1,c) Context-specific regulators of T-cell programs,Tsui: MYB as context-specific regulator of exhaustion and checkpoint response.
Transcriptional and epigenetic regulators of human CD8+ T cell function identified through orthogonal CRISPR screens,Sean R. McCutcheon et al.,2023,Nature Genetics,10.1038/s41588-023-01554-0,c) Context-specific regulators of T-cell programs,McCutcheon: CRISPR mapping of transcriptional/epigenetic regulators of human T-cell function.
Hallmarks of CD8+ T cell dysfunction are established within hours of tumor antigen encounter before cell division,Michael Rudloff et al.,2023,Nature Immunology,10.1038/s41590-023-01578-y,c) Context-specific regulators of T-cell programs,Rudloff: early establishment of dysfunction program — temporal context of T-cell state regulation.
Transcriptional linkage analysis with in vivo AAV-Perturb-seq,António J. Santinha et al.,2023,Nature,10.1038/s41586-023-06570-y,c) Context-specific regulators of T-cell programs,Santinha: in vivo AAV-Perturb-seq for transcriptional linkage — context-specific perturbation in tissue.
FOXO1 is a master regulator of memory programming in CAR T cells,Alexander Doan et al.,2024,Nature,10.1038/s41586-024-07300-8,c) Context-specific regulators of T-cell programs,Doan: FOXO1 as master regulator of CAR-T memory — context-specific program regulator.
