reactome_version,pathway_id,pathway_name,pathway_size_bg,expression_artifact_flag,n_rows_used
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1059683,Interleukin-6 signaling,10,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-109581,Apoptosis,133,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-109582,Hemostasis,368,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-109606,Intrinsic Pathway for Apoptosis,51,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-109704,PI3K Cascade,22,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110056,MAPK3 (ERK1) activation,9,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110312,Translesion synthesis by REV1,13,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,33,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,27,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110320,Translesion Synthesis by POLH,16,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,21,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110329,Cleavage of the damaged pyrimidine,21,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,16,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110331,Cleavage of the damaged purine,16,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110357,Displacement of DNA glycosylase by APEX1,9,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,7,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,23,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,7,True,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111447,Activation of BAD and translocation to mitochondria,15,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111448,Activation of NOXA and translocation to mitochondria,5,False,1
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,9,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111457,Release of apoptotic factors from the mitochondria,5,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111458,Formation of apoptosome,8,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage,6,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111461,Cytochrome c-mediated apoptotic response,10,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111463,SMAC (DIABLO) binds to IAPs,6,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111464,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes,6,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111465,Apoptotic cleavage of cellular proteins,27,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111469,"SMAC, XIAP-regulated apoptotic response",6,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111471,Apoptotic factor-mediated response,16,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111885,Opioid Signalling,62,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111931,PKA-mediated phosphorylation of CREB,14,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,7,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111933,Calmodulin induced events,23,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111996,Ca-dependent events,25,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-111997,CaM pathway,23,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112040,G-protein mediated events,37,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112043,PLC beta mediated events,34,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112310,Neurotransmitter release cycle,20,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,89,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112315,Transmission across Chemical Synapses,109,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112316,Neuronal System,155,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112382,Formation of RNA Pol II elongation complex,39,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112399,IRS-mediated signalling,26,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112409,RAF-independent MAPK1/3 activation,21,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112411,MAPK1 (ERK2) activation,8,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-112412,SOS-mediated signalling,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-113418,Formation of the Early Elongation Complex,18,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,12,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-113507,E2F-enabled inhibition of pre-replication complex formation,9,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-113510,E2F mediated regulation of DNA replication,21,True,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-114452,Activation of BH3-only proteins,30,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-114508,Effects of PIP2 hydrolysis,21,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-114604,GPVI-mediated activation cascade,26,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-114608,Platelet degranulation,73,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),55,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1169091,Activation of NF-kappaB in B cells,42,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1169092,Activation of RAS in B cells,5,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1169408,ISG15 antiviral mechanism,62,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,146,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1170546,Prolactin receptor signaling,7,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1181150,Signaling by NODAL,13,False,7
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1187000,Fertilization,9,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1221632,Meiotic synapsis,34,False,8
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1222556,ROS and RNS production in phagocytes,21,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1226099,Signaling by FGFR in disease,36,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1227986,Signaling by ERBB2,33,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1227990,Signaling by ERBB2 in Cancer,15,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,8,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1234174,Cellular response to hypoxia,49,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,42,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,15,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1236394,Signaling by ERBB4,30,False,9
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),6,False,3
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1236974,ER-Phagosome pathway,56,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1236975,Antigen processing-Cross presentation,66,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),32,False,10
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1237112,Methionine salvage pathway,6,False,2
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1250196,SHC1 events in ERBB2 signaling,11,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1250347,SHC1 events in ERBB4 signaling,7,False,5
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1251985,Nuclear signaling by ERBB4,16,False,6
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1253288,Downregulation of ERBB4 signaling,6,False,4
fetched live at v2 build; NOT version-stamped at fetch time (external state),R-HSA-1257604,PIP3 activates AKT signaling,193,False,10
