target_contrast_gene_name,Rest,Stim8hr,Stim48hr
A1BG,1.0,1.0,0.0
A2M,122.0,164.0,45.0
AAAS,0.0,1.0,1.0
AACS,5.0,9.0,17.0
AAGAB,3.0,34.0,1.0
AAK1,3.0,7.0,4.0
AAMDC,2.0,1.0,30.0
AAR2,37.0,21.0,5.0
AARS2,0.0,,
AARSD1,0.0,1.0,0.0
AASDH,151.0,1.0,101.0
AASDHPPT,13.0,1.0,3.0
AASS,1.0,0.0,26.0
ABAT,0.0,1.0,0.0
ABCA1,16.0,42.0,11.0
ABCA2,1.0,3.0,1.0
ABCA3,1.0,8.0,185.0
ABCA5,4.0,33.0,35.0
ABCA7,1.0,0.0,2.0
ABCB1,2.0,5.0,2.0
ABCB6,4.0,1.0,1.0
ABCB7,,231.0,
ABCB8,3.0,1.0,4.0
ABCB9,1.0,1.0,1.0
ABCC1,88.0,54.0,37.0
ABCC10,0.0,1.0,0.0
ABCC2,0.0,1.0,0.0
ABCC3,1.0,2.0,3.0
ABCC4,1.0,1.0,35.0
ABCC5,1.0,1.0,1.0
ABCC8,0.0,0.0,0.0
ABCD2,6.0,4.0,15.0
ABCD3,6.0,2.0,1.0
ABCD4,1.0,1.0,10.0
ABCE1,0.0,4.0,8.0
ABCF2,1.0,1.0,5.0
ABCF3,0.0,0.0,0.0
ABCG1,0.0,0.0,0.0
ABHD10,2.0,1.0,2.0
ABHD11,3.0,1.0,2.0
ABHD12,447.0,3.0,1.0
ABHD13,214.0,194.0,70.0
ABHD14A,101.0,3.0,6.0
ABHD14B,10.0,7.0,4.0
ABHD15,,,29.0
ABHD16A,5.0,2.0,3.0
ABHD16B,10.0,3.0,2.0
ABHD17A,2.0,123.0,67.0
ABHD17B,2.0,3.0,2.0
ABHD18,4.0,4.0,4.0
ABHD2,17.0,1.0,4.0
ABHD3,1.0,1.0,2.0
ABHD4,1.0,3.0,2.0
ABHD5,4.0,1.0,2.0
ABHD6,21.0,2.0,3.0
ABHD8,3.0,1.0,1.0
ABI1,1.0,1.0,2.0
ABI2,0.0,0.0,5.0
ABI3,1036.0,129.0,2.0
ABITRAM,14.0,1.0,0.0
ABL1,1.0,1.0,0.0
ABL2,1.0,2.0,10.0
ABLIM3,1.0,0.0,2.0
ABRACL,1.0,1.0,1.0
ABRAXAS1,2.0,6.0,4.0
ABRAXAS2,3.0,1.0,1.0
ABT1,,53.0,
ABTB1,4.0,5.0,1.0
ABTB2,1.0,1.0,1.0
ABTB3,2.0,6.0,5.0
ACAA1,3.0,3.0,5.0
ACAA2,3.0,6.0,6.0
ACACA,4.0,4.0,913.0
ACACB,1.0,1.0,1.0
ACAD10,9.0,2.0,7.0
ACAD11,610.0,411.0,170.0
ACAD8,2.0,3.0,2.0
ACAD9,1.0,5.0,607.0
ACADM,2.0,3.0,2.0
ACADS,4.0,3.0,30.0
ACADSB,2.0,3.0,2.0
ACADVL,4.0,5.0,4.0
ACAP1,1.0,3.0,2.0
ACAP2,1.0,2.0,1.0
ACAP3,9.0,2.0,2.0
ACAT1,2.0,1.0,1.0
ACAT2,6.0,4.0,6.0
ACBD3,2.0,4.0,3.0
ACBD4,7.0,3.0,0.0
ACBD5,6.0,5.0,4.0
ACBD6,2.0,4.0,4.0
ACCS,1.0,0.0,2.0
ACD,,,13.0
ACE,0.0,0.0,1.0
