target_contrast_gene_name,Rest,Stim8hr,Stim48hr
A1BG,0.0,0.0,0.0
A2M,0.0,0.0,0.0
AAAS,-2.724937639002662,-4.530163880670439,-4.831815541000405
AACS,-10.1649483084568,-8.229439843040508,-15.4897623454999
AAGAB,-18.51272402815752,-19.26220275480125,-15.201199393573471
AAK1,-28.668716523147964,-22.59217408142099,-27.02385665171464
AAMDC,-4.527613911833764,-2.107566843073246,-5.033689499758443
AAR2,-0.639841467460285,-2.271120060771215,-1.629035637398184
AARS2,0.0,,
AARSD1,-1.2013132272058835,-1.4786571315532215,-2.753615942317656
AASDH,-7.308273099245454,-8.384237143972667,-9.8218918958629
AASDHPPT,-9.659759367617143,-12.752637111563246,-8.792300992730926
AASS,-0.7856560186370728,-0.6401181647756939,-2.122074240603489
ABAT,-2.9553771639953856,-3.143545158917905,-2.186248316962839
ABCA1,0.0,0.0,0.0
ABCA2,-6.182601272621398,-4.273524732290972,-3.938909178091957
ABCA3,-2.9616712077808813,-2.61296381675916,-3.590194404121922
ABCA5,-12.32293015048208,-9.06194824942834,-11.156132033794076
ABCA7,-7.028807217036182,-2.3785272928797,-4.442315228648566
ABCB1,-2.543414362423247,-0.53848342790722,-0.9252458439962372
ABCB6,-6.168685436301485,-8.311743597983378,-8.126245962074371
ABCB7,,-2.501646014124962,
ABCB8,-15.58096102210136,-10.087463069601034,-8.212007653756196
ABCB9,-1.2994179731480742,-1.2392874929169828,-2.4301346243324784
ABCC1,-19.25353182859481,-25.20890566642898,-19.15717134086624
ABCC10,0.0,0.0,0.0
ABCC2,-0.5288458605430466,0.0197602902348127,-1.7062637527411593
ABCC3,0.0,0.0,0.0
ABCC4,-4.7956971496038765,-10.15172494742791,-4.146111810447271
ABCC5,-6.353895567983224,-6.209022743578931,-5.670642455520089
ABCC8,0.0,0.0,0.0
ABCD2,-14.383326492821428,-3.781339511499061,-6.575642861872353
ABCD3,-12.14746241898476,-12.169229336466,-10.188641857003503
ABCD4,-4.676440808671951,-4.959409428962963,-3.901542765347103
ABCE1,-1.38813609029546,-6.492658517942345,-2.0631407522999563
ABCF2,-5.649775343748209,-11.160465910234336,-8.13233366119652
ABCF3,-2.703872462526029,-3.2155862435116087,-1.6447911152292722
ABCG1,-2.2104073903287427,-0.5549400262629166,-3.769409397949617
ABHD10,-17.45715527944561,-23.225118221191018,-25.86981560702576
ABHD11,-3.221162877044996,-3.733049260879449,-4.071974325413369
ABHD12,-13.256184913307983,-12.529303009105716,-12.472646065181149
ABHD13,-10.32301412275987,-12.601001868074416,-8.610639786678513
ABHD14A,-6.765228932556235,-6.544735712779975,-6.657966273209876
ABHD14B,-16.71970010133373,-14.642199983850276,-19.9394758058676
ABHD15,,,0.0
ABHD16A,-7.523306093348586,-7.73508130108569,-7.89502868033283
ABHD16B,0.0,0.0,0.0
ABHD17A,0.0,0.0,0.0
ABHD17B,-10.384070240125444,-11.399355875382012,-10.747666745996582
ABHD18,-10.807755104839082,-10.862568215796276,-14.55366765775357
ABHD2,-8.495401164115329,-9.15573542473548,-8.210991812652878
ABHD3,-22.998584253969085,-15.28625022087993,-19.14869841500725
ABHD4,-7.526885136920831,-5.522239127362117,-9.786963716260711
ABHD5,-8.551359686282508,-11.36531570214469,-11.43416485429842
ABHD6,-4.633304325404246,-6.832516267689945,-4.937577298808681
ABHD8,-4.230808305476538,-3.3879706354212464,-4.624068858210672
ABI1,-13.351847607000243,-13.7845858545166,-12.868259838076142
ABI2,-1.862032750094952,-4.445053028416037,-6.046463826172475
ABI3,-3.2319428105331567,-5.44091023261793,-7.297521767326829
ABITRAM,-1.5559648512136868,-2.2108869206090564,0.2477273736971171
ABL1,-4.256882374565642,0.1741842317206555,-4.211714642669127
ABL2,-6.38069288026138,-8.50084273948049,-7.139255874330036
ABLIM3,0.0,0.0,0.0
ABRACL,-34.93390530076473,-37.22024957300806,-37.926762274548686
ABRAXAS1,-7.482518766079222,-7.464487583993717,-9.209517363072884
ABRAXAS2,-5.193608218103071,-5.664970128156896,-4.730830105422178
ABT1,,0.0,
ABTB1,-9.501297393860623,-4.332099204904784,-6.386832910070073
ABTB2,-1.7684972416590683,-8.777885590029738,-4.1677611381250586
ABTB3,-7.592578951889719,-9.48584135462683,-11.10237439997734
ACAA1,-17.15562368958539,-15.50399448890383,-18.501939218951296
ACAA2,-18.607822515403907,-18.8140503262916,-28.82606034227321
ACACA,-10.125767075395588,-25.676848121599715,-20.43050566625164
ACACB,0.1560680224901953,0.3612891454428207,-1.7029773414994809
ACAD10,-6.311829213778961,-6.494557654794206,-7.856033569920333
ACAD11,-6.992464519773006,-7.961079723779544,-8.946814157951534
ACAD8,-9.093694461215238,-8.401968949315815,-9.302343832192278
ACAD9,-15.710960197748625,-20.77282953759597,-13.76778940119318
ACADM,-24.700487129042493,-27.302378279097024,-31.728180206904582
ACADS,-5.524510252749534,-4.644968559334483,-6.444572377748192
ACADSB,-10.546664559011385,-10.793922297989145,-10.338233797033178
ACADVL,-17.430877721373456,-14.206587798661484,-23.501430155244044
ACAP1,-30.470077543562304,-15.356907565642652,-33.30900588818441
ACAP2,-17.949844804126617,-13.06363838424463,-15.148866501487383
ACAP3,-7.597832922463418,-5.256571702968566,-5.209033315034143
ACAT1,-6.987901050482689,-11.699243723856718,-10.938883038900965
ACAT2,-13.58042969491115,-10.805804733360002,-21.53684097158562
