index,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,n_downstream,passes_gate,logDE
ENSG00000157426_Rest,AASDH,Rest,ENSG00000157426,680,651.0,53,98,151,-7.308273099245454,True,12.146343981443795,False,>10 DE genes,on-target KD,150,True,2.1818435879447726
ENSG00000157426_Stim48hr,AASDH,Stim48hr,ENSG00000157426,643,515.0,52,49,101,-9.8218918958629,True,24.799402180935843,False,>10 DE genes,on-target KD,100,True,2.0086001717619175
ENSG00000103222_Rest,ABCC1,Rest,ENSG00000103222,184,634.0,58,30,88,-19.25353182859481,True,81.55510782862295,False,>10 DE genes,on-target KD,87,True,1.9493900066449128
ENSG00000103222_Stim8hr,ABCC1,Stim8hr,ENSG00000103222,202,578.0,33,21,54,-25.20890566642898,True,167.93516349197793,False,>10 DE genes,on-target KD,53,True,1.7403626894942439
ENSG00000100997_Rest,ABHD12,Rest,ENSG00000100997,289,362.0,295,152,447,-13.256184913307983,True,35.08717111750494,False,>10 DE genes,on-target KD,446,True,2.651278013998144
ENSG00000139826_Stim48hr,ABHD13,Stim48hr,ENSG00000139826,218,706.0,36,34,70,-8.610639786678513,True,14.237629007955691,False,>10 DE genes,on-target KD,69,True,1.8512583487190752
ENSG00000248487_Rest,ABHD14A,Rest,ENSG00000248487,544,591.0,30,71,101,-6.765228932556235,True,14.273913000365656,False,>10 DE genes,on-target KD,100,True,2.0086001717619175
ENSG00000278540_Stim48hr,ACACA,Stim48hr,ENSG00000278540,35,904.0,400,513,913,-20.43050566625164,True,64.12811339756887,False,>10 DE genes,on-target KD,912,True,2.960946195733831
ENSG00000177646_Stim48hr,ACAD9,Stim48hr,ENSG00000177646,388,688.0,296,311,607,-13.76778940119318,True,35.73193435248605,False,>10 DE genes,on-target KD,606,True,2.783903579272735
ENSG00000131473_Stim48hr,ACLY,Stim48hr,ENSG00000131473,570,282.0,1436,996,2432,-17.329000580256267,True,130.27306104933706,False,>10 DE genes,on-target KD,2431,True,3.3861421089308186
ENSG00000131473_Stim8hr,ACLY,Stim8hr,ENSG00000131473,645,396.0,822,499,1321,-20.366812167232048,True,124.76613909052988,False,>10 DE genes,on-target KD,1320,True,3.1212314551496214
ENSG00000097021_Stim48hr,ACOT7,Stim48hr,ENSG00000097021,387,448.0,583,262,845,-8.368006158280217,True,55.7782704626759,False,>10 DE genes,on-target KD,844,True,2.9273703630390235
ENSG00000123983_Stim48hr,ACSL3,Stim48hr,ENSG00000123983,453,585.0,20,34,54,-16.87301689443855,True,65.7690979843036,False,>10 DE genes,on-target KD,53,True,1.7403626894942439
ENSG00000154930_Rest,ACSS1,Rest,ENSG00000154930,615,964.0,243,114,357,-13.133535308140695,True,20.394468232799227,False,>10 DE genes,on-target KD,356,True,2.5538830266438746
ENSG00000188493_Rest,ACTMAP,Rest,ENSG00000188493,477,366.0,32,63,95,-5.59497672930169,True,9.809322144234766,False,>10 DE genes,on-target KD,94,True,1.9822712330395684
ENSG00000138071_Rest,ACTR2,Rest,ENSG00000138071,370,241.0,56,21,77,-21.039374180530096,True,215.42292197817324,False,>10 DE genes,on-target KD,76,True,1.8920946026904804
ENSG00000138071_Stim8hr,ACTR2,Stim8hr,ENSG00000138071,88,255.0,399,184,583,-18.894150489878704,True,157.8756744058086,False,>10 DE genes,on-target KD,582,True,2.7664128471123997
ENSG00000115091_Stim48hr,ACTR3,Stim48hr,ENSG00000115091,360,207.0,88,29,117,-6.552494204687509,True,96.91165836139857,False,>10 DE genes,on-target KD,116,True,2.0718820073061255
ENSG00000115091_Stim8hr,ACTR3,Stim8hr,ENSG00000115091,636,274.0,150,59,209,-9.826204141173958,True,77.59480203820787,False,>10 DE genes,on-target KD,208,True,2.322219294733919
ENSG00000101442_Rest,ACTR5,Rest,ENSG00000101442,40,1373.0,187,145,332,-10.615891429315806,True,9.497770067704488,False,>10 DE genes,on-target KD,331,True,2.5224442335063197
ENSG00000101442_Stim48hr,ACTR5,Stim48hr,ENSG00000101442,427,1105.0,211,163,374,-10.505817096565808,True,13.336898632700548,False,>10 DE genes,on-target KD,373,True,2.574031267727719
ENSG00000101442_Stim8hr,ACTR5,Stim8hr,ENSG00000101442,540,1218.0,316,269,585,-17.366357008528972,True,31.54245178219749,False,>10 DE genes,on-target KD,584,True,2.767897616018091
ENSG00000170634_Stim48hr,ACYP2,Stim48hr,ENSG00000170634,425,639.0,260,142,402,-7.496609350266064,True,31.233555638063496,False,>10 DE genes,on-target KD,401,True,2.6053050461411096
ENSG00000135074_Rest,ADAM19,Rest,ENSG00000135074,670,272.0,200,43,243,-12.50759849595869,True,316.46320430039606,False,>10 DE genes,on-target KD,242,True,2.387389826338729
ENSG00000135074_Stim8hr,ADAM19,Stim8hr,ENSG00000135074,146,223.0,256,146,402,-11.408513199886094,True,479.64599272603135,False,>10 DE genes,on-target KD,401,True,2.6053050461411096
ENSG00000168615_Rest,ADAM9,Rest,ENSG00000168615,374,322.0,28,69,97,-4.930677031388629,True,9.226804869743896,False,>10 DE genes,on-target KD,96,True,1.9912260756924949
ENSG00000129467_Stim48hr,ADCY4,Stim48hr,ENSG00000129467,170,405.0,146,75,221,-1.0074706364046295,True,0.7965452091921384,False,>10 DE genes,on-target KD,220,True,2.346352974450639
ENSG00000101126_Stim8hr,ADNP,Stim8hr,ENSG00000101126,59,1221.0,29,21,50,-24.71793717915088,True,58.31272828978412,False,>10 DE genes,on-target KD,49,True,1.7075701760979363
