target_contrast_gene_name,gate_pass,best_condition,fail_primary,failure_reasons,n_cells_best,de_genes_best,significant_any,offtarget_any,n_conditions
A1BG,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),753,1,False,False,3
A2M,False,Stim8hr,Not statistically significant,Not statistically significant,292,164,False,False,3
AAAS,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),844,1,True,False,3
AACS,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),738,17,True,False,3
AAGAB,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),535,34,True,False,3
AAK1,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1135,7,True,False,3
AAMDC,False,Rest,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),376,2,True,True,3
AAR2,False,Rest,Too few cells (n<200),Too few cells (n<200); Too few downstream DE genes (<50),62,37,True,False,3
AARS2,False,Rest,Too few cells (n<200),Too few cells (n<200); Not statistically significant; Too few downstream DE genes (<50),132,0,False,False,1
AARSD1,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),682,1,False,False,3
AASDH,True,Rest,PASS,,651,151,True,False,3
AASDHPPT,False,Rest,Too few cells (n<200),Too few cells (n<200); Too few downstream DE genes (<50),152,13,True,False,3
AASS,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),416,26,True,False,3
ABAT,False,Stim8hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant; Too few downstream DE genes (<50),181,1,False,False,3
ABCA1,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),239,42,False,False,3
ABCA2,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),286,3,True,False,3
ABCA3,False,Stim48hr,Too few cells (n<200),Too few cells (n<200),120,185,True,False,3
ABCA5,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),843,35,True,False,3
ABCA7,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),243,2,True,False,3
ABCB1,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),854,5,False,False,3
ABCB6,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),227,4,True,False,3
ABCB7,False,Stim8hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant,26,231,False,False,1
ABCB8,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),339,4,True,False,3
ABCB9,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),281,1,False,False,3
ABCC1,True,Rest,PASS,,634,88,True,False,3
ABCC10,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),488,1,False,False,3
ABCC2,False,Stim8hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),589,1,False,False,3
ABCC3,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),386,3,False,False,3
ABCC4,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),382,1,True,False,3
ABCC5,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),399,1,True,False,3
ABCC8,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),487,0,False,False,3
ABCD2,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),471,6,True,False,3
ABCD3,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),514,6,True,False,3
ABCD4,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),335,1,True,False,3
ABCE1,False,Stim8hr,Too few cells (n<200),Too few cells (n<200); Too few downstream DE genes (<50),103,4,True,False,3
ABCF2,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),362,5,True,False,3
ABCF3,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),527,0,False,False,3
ABCG1,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),288,0,False,False,3
ABHD10,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),996,2,True,False,3
ABHD11,False,Stim48hr,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),477,2,False,False,3
ABHD12,True,Rest,PASS,,362,447,True,False,3
ABHD13,True,Stim48hr,PASS,,706,70,True,True,3
ABHD14A,True,Rest,PASS,,591,101,True,False,3
ABHD14B,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),1431,7,True,True,3
ABHD15,False,Stim48hr,Too few cells (n<200),Too few cells (n<200); Not statistically significant; Too few downstream DE genes (<50),25,29,False,False,1
ABHD16A,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),288,5,True,False,3
ABHD16B,False,Rest,Not statistically significant,Not statistically significant; Too few downstream DE genes (<50),504,10,False,False,3
ABHD17A,False,Stim8hr,Not statistically significant,Not statistically significant,441,123,False,False,3
ABHD17B,False,Stim8hr,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),501,3,True,True,3
ABHD18,False,Rest,Off-target flagged,Off-target flagged; Too few downstream DE genes (<50),728,4,True,True,3
ABHD2,False,Rest,Too few downstream DE genes (<50),Too few downstream DE genes (<50),289,17,True,False,3
ABHD3,False,Stim48hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),943,2,True,False,3
ABHD4,False,Stim8hr,Too few downstream DE genes (<50),Too few downstream DE genes (<50),809,3,True,False,3
