gene,n_concept_modules,concept_module_names,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,max_abs_effect,loeuf,pli,druggability_tractability
ICOS,2,Costimulation; Checkpoint_Module,False,669.0,739.0,211.0,70.0,16.50948463561438,,,
IRF1,2,IFN_Response; Th1_Polarization,False,213.0,271.0,182.0,58.0,16.415923359100994,,,
CD3E,1,TCR_Core_Receptor,True,5707.0,4.0,5711.0,1586.0,20.8798633954008,0.7007847405093005,0.0481985216488277,10.0
LAT,1,TCR_Proximal_Signaling,True,5532.0,4.0,5536.0,3187.0,22.943334170917787,,,7.0
PLCG1,1,TCR_Proximal_Signaling,True,5030.0,3.0,5033.0,2218.0,22.74380775801576,0.4865636818969194,0.7209971026115483,7.0
VAV1,1,TCR_Proximal_Signaling,False,4828.0,70.0,4898.0,3575.0,15.63560163562742,0.3444029706478581,0.9999999998734816,5.0
CD247,1,TCR_Core_Receptor,True,4325.0,5.0,4330.0,828.0,13.262547822993652,0.6885845464824588,0.1639353679412317,6.0
BCL10,1,TCR_Proximal_Signaling,True,3455.0,1.0,3456.0,2980.0,18.312643813851704,0.5462126708195334,0.9432447077010372,
ITK,1,TCR_Proximal_Signaling,True,3391.0,2.0,3393.0,2566.0,6.783358357268416,0.6583348217168689,5.378493633649366e-06,
CD28,1,Costimulation,True,1793.0,5.0,1506.0,1798.0,24.968152124245503,0.6754854307844184,0.5463803561379975,
MALT1,1,TCR_Proximal_Signaling,True,1637.0,3.0,1640.0,1412.0,12.15938543215661,0.5559133450604872,0.1044634796963359,
STAT6,1,Th2_Polarization,True,1125.0,3.0,233.0,1128.0,18.74440345713411,,,
IL4R,1,Th2_Polarization,True,726.0,3.0,240.0,729.0,10.470913823684365,,,
STAT3,1,Th17_Polarization,False,668.0,925.0,1370.0,1593.0,17.634071718623293,,,
MYC,1,Metabolic_Switch,True,637.0,39.0,676.0,41.0,5.663612564916637,,,
RPTOR,1,PI3K_AKT_mTOR,False,517.0,639.0,1029.0,122.0,8.996295275585782,,,
GATA3,1,Th2_Polarization,False,365.0,888.0,1239.0,1253.0,19.995103304780407,,,
TBX21,1,Th1_Polarization,False,363.0,40.0,308.0,403.0,15.850480772722758,,,
IKBKB,1,NFkB_Axis,False,292.0,1.0,5.0,293.0,15.411144945667562,,,
SMARCA4,1,Memory_Fate_Program,False,261.0,40.0,165.0,301.0,17.150574755451615,,,
IL23R,1,Th17_Polarization,False,256.0,256.0,0.0,5.0,2.256203883759987,,,
GZMB,1,Cytotoxic_Like_Differentiation,False,255.0,261.0,496.0,6.0,6.345650280901983,,,
STAT5A,1,IL2R_JAKSTAT,False,252.0,9.0,19.0,261.0,23.76705479015187,,,
IRF4,1,Th2_Polarization,False,242.0,325.0,567.0,498.0,11.380474220031711,,,
CCND3,1,Metabolic_Switch,False,199.0,1.0,1.0,200.0,18.42962581714094,,,
NFATC2,1,AP1_NFAT_Activation,False,170.0,2.0,172.0,27.0,9.39051690686301,,,
FOSL2,1,AP1_NFAT_Activation,False,163.0,35.0,51.0,198.0,12.3955344875953,,,
HIF1A,1,Metabolic_Switch,False,127.0,2.0,3.0,129.0,7.954818810761361,,,
NFKB1,1,NFkB_Axis,False,115.0,90.0,205.0,63.0,14.151346162397177,,,
IFNGR1,1,IFN_Response,False,109.0,1.0,110.0,3.0,12.745458938022209,,,
RELA,1,NFkB_Axis,False,102.0,4.0,106.0,38.0,7.113580880738853,,,
