gene,is_ctx_specific,delivery_modality,polarity,kinetic_archetype,avoid_tier,n_avoid_flags,avoid_flags,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,pli,breadth_max_de
ACACA,True,Small molecule (intracellular pocket),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.22); Dosage-sensitive (pLI 1.00),0,True,909.0,4.0,4.0,913.0,0.216,1.0,913.0
ACAD9,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,606.0,1.0,5.0,607.0,0.814,4.5256e-08,607.0
ACLY,True,Small molecule (intracellular pocket),mixed,late_sustained,high_risk,2,Pleiotropy (breadth top 10%); Dosage-sensitive (pLI 1.00),0,True,2419.0,13.0,1321.0,2432.0,0.400071926771869,0.9999997939567736,2432.0
ACOT7,True,Awaiting modality (no known delivery route),repressor,late_sustained,clear,0,,0,True,843.0,2.0,5.0,845.0,0.434,0.75926,845.0
AEBP2,True,Awaiting modality (no known delivery route),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.14); Dosage-sensitive (pLI 1.00),0,True,498.0,12.0,55.0,510.0,0.145,0.99921,510.0
AMBRA1,True,Awaiting modality (no known delivery route),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.14); Dosage-sensitive (pLI 1.00),0,True,602.0,6.0,16.0,608.0,0.14,1.0,608.0
ANKRD61,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,1176.0,1.0,82.0,1177.0,1.146,0.0039262,1177.0
ARHGAP27,True,Awaiting modality (no known delivery route),repressor,early_transient,clear,0,,0,True,925.0,9.0,934.0,76.0,0.567,0.0012114,934.0
ATAD3A,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,718.0,2.0,7.0,720.0,0.827,4.0861e-09,720.0
BCL10,True,Awaiting modality (no known delivery route),mixed,stim_switch,high_risk,2,Pleiotropy (breadth top 10%); Dosage-sensitive (pLI 0.94),1,True,3455.0,1.0,3456.0,2980.0,0.5462126708195334,0.9432447077010372,3456.0
CALCOCO2,True,Awaiting modality (no known delivery route),repressor,early_transient,caution,1,Pleiotropy (breadth top 10%),0,True,2347.0,5.0,2352.0,484.0,0.8696402064773731,7.441149884659054e-10,2352.0
CBLB,True,Awaiting modality (no known delivery route),mixed,early_transient,high_risk,2,High constraint (LOEUF 0.27); Dosage-sensitive (pLI 1.00),0,True,1022.0,6.0,1028.0,180.0,0.266,0.99825,1028.0
CBX5,True,Awaiting modality (no known delivery route),mixed,late_sustained,caution,1,Dosage-sensitive (pLI 0.93),0,True,513.0,49.0,233.0,562.0,0.35,0.93174,562.0
CCND3,True,Small molecule (intracellular pocket),mixed,late_sustained,high_risk,2,High constraint (LOEUF 0.24); Dosage-sensitive (pLI 0.98),1,False,199.0,1.0,1.0,200.0,0.24,0.98347,200.0
CD2,True,CAR-T / ADC / antibody (surface + ectodomain),mixed,late_sustained,clear,0,,0,True,985.0,4.0,669.0,989.0,0.624,0.47108,989.0
CD247,True,CAR-T / ADC / antibody (surface + ectodomain),repressor,early_transient,caution,1,Pleiotropy (breadth top 10%),1,True,4325.0,5.0,4330.0,828.0,0.6885845464824588,0.1639353679412317,4330.0
CD28,True,CAR-T / ADC / antibody (surface + ectodomain),mixed,late_sustained,caution,1,Pleiotropy (breadth top 10%),1,True,1793.0,5.0,1506.0,1798.0,0.6754854307844184,0.5463803561379975,1798.0
CD3E,True,CAR-T / ADC / antibody (surface + ectodomain),repressor,early_transient,caution,1,Pleiotropy (breadth top 10%),1,True,5707.0,4.0,5711.0,1586.0,0.7007847405093005,0.0481985216488277,5711.0
CD5,True,CAR-T / ADC / antibody (surface + ectodomain),mixed,late_sustained,clear,0,,0,True,1193.0,8.0,358.0,1201.0,1.03,2.3074e-10,1201.0
COA7,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,501.0,43.0,200.0,544.0,1.02,0.059686,544.0
COQ6,True,Small molecule (intracellular pocket),mixed,late_sustained,clear,0,,0,True,780.0,20.0,229.0,800.0,1.328,4.3324e-15,800.0
DLAT,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,1113.0,3.0,1.0,1116.0,0.863,2.2998e-08,1116.0
DPH6,True,Awaiting modality (no known delivery route),mixed,late_sustained,clear,0,,0,True,686.0,32.0,157.0,718.0,1.079,1.1419e-05,718.0
