gene,delivery_modality,polarity,up_frac,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,druggability_tractability,is_surface_protein,has_extracellular_domain,extracellular_length,druggable_pathway
ICOS,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.7176470588235294,2,False,669.0,739.0,211.0,70.0,,,True,True,120.0,DRUGGABLE GENOME;SERINE THREONINE KINASE
CD3E,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6882280389201042,1,True,5707.0,4.0,5711.0,1586.0,0.7007847405093005,10.0,True,True,104.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;KINASE
LAT,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6522985211509802,1,True,5532.0,4.0,5536.0,3187.0,,7.0,True,True,4.0,
CD247,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6880573865839472,1,True,4325.0,5.0,4330.0,828.0,0.6885845464824588,6.0,True,True,9.0,DRUGGABLE GENOME;ENZYME;KINASE
CD28,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5420702179176755,1,True,1793.0,5.0,1506.0,1798.0,0.6754854307844184,,True,True,134.0,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;KINASE
IL4R,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5252837977296182,1,True,726.0,3.0,240.0,729.0,,,True,True,207.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE
IL23R,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.609375,1,False,256.0,256.0,0.0,5.0,,,True,True,332.0,
IFNGR1,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.4090909090909091,1,False,109.0,1.0,110.0,3.0,,,True,True,228.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME
IFNGR2,CAR-T / ADC / 抗體 (細胞表面+胞外域),activator,0.1,1,False,66.0,4.0,70.0,2.0,,,True,True,220.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME
IFNAR1,CAR-T / ADC / 抗體 (細胞表面+胞外域),activator,0.3157894736842105,1,False,11.0,46.0,57.0,39.0,,,True,True,409.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;KINASE
IL7R,CAR-T / ADC / 抗體 (細胞表面+胞外域),activator,0.32711306256860595,1,,,,812.0,99.0,,,True,True,219.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;TYROSINE KINASE
SLC3A2,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.72562893081761,0,True,2489.0,3.0,2492.0,52.0,0.8854389501607435,,True,True,425.0,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;TRANSPORTER
TMX1,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5964708613884374,0,True,2346.0,1.0,2347.0,1960.0,0.953116590555264,,True,True,154.0,DRUGGABLE GENOME;THIOREDOXIN
ORAI1,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.7143933685003768,0,True,1247.0,3.0,1250.0,77.0,,,True,True,54.0,
CD5,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.6491340602950609,0,True,1193.0,8.0,358.0,1201.0,,,True,True,348.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE
RNFT2,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5126811594202898,0,True,1075.0,29.0,35.0,1104.0,,,True,True,295.0,
