gene,delivery_modality,polarity,up_frac,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,druggability_tractability,is_surface_protein,has_extracellular_domain,extracellular_length,druggable_pathway,is_ctx_specific
AASDH,待新模態 (無已知遞送方式),mixed,0.4166666666666667,0,False,150.0,151.0,1.0,101.0,,,False,False,,,False
ABCC1,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.6408450704225352,0,False,51.0,88.0,54.0,37.0,,,True,True,147.0,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABHD12,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6599552572706935,0,False,446.0,447.0,3.0,1.0,,,True,True,303.0,DRUGGABLE GENOME;ENZYME;PHOSPHOLIPASE,False
ABHD13,待新模態 (無已知遞送方式),repressor,0.6820083682008368,0,False,144.0,214.0,194.0,70.0,,,False,False,0.0,,False
ABHD14A,待新模態 (無已知遞送方式),activator,0.297029702970297,0,False,98.0,101.0,3.0,6.0,,,False,False,0.0,,False
ACACA,小分子 (胞內可成藥口袋),mixed,0.43811610076670315,0,True,909.0,4.0,4.0,913.0,,,False,False,,DRUGGABLE GENOME;ENZYME,True
ACAD9,待新模態 (無已知遞送方式),mixed,0.4876441515650741,0,True,606.0,1.0,5.0,607.0,,,False,False,,,True
ACLY,小分子 (胞內可成藥口袋),mixed,0.6016520117239542,0,True,2419.0,13.0,1321.0,2432.0,0.400071926771869,,False,False,,DRUGGABLE GENOME;ENZYME,True
ACOT7,待新模態 (無已知遞送方式),repressor,0.6899408284023668,0,True,843.0,2.0,5.0,845.0,,,,,,,True
ACSL3,小分子 (胞內可成藥口袋),mixed,0.37037037037037035,0,False,38.0,16.0,5.0,54.0,,,False,False,0.0,CLINICALLY ACTIONABLE,False
ACSS1,待新模態 (無已知遞送方式),repressor,0.680672268907563,0,False,353.0,357.0,5.0,4.0,,,False,False,,,False
ACTMAP,待新模態 (無已知遞送方式),mixed,0.3767123287671233,0,False,53.0,95.0,42.0,51.0,,,,,,,False
ACTR2,待新模態 (無已知遞送方式),repressor,0.6535985956699825,0,False,972.0,77.0,583.0,1049.0,,,False,False,,,False
ACTR3,待新模態 (無已知遞送方式),repressor,0.7300613496932515,0,False,177.0,32.0,209.0,117.0,,,False,False,,,False
ACTR5,待新模態 (無已知遞送方式),mixed,0.5530596436870643,0,False,253.0,332.0,585.0,374.0,,,,,,,False
ACYP2,待新模態 (無已知遞送方式),mixed,0.6467661691542289,0,False,389.0,13.0,14.0,402.0,,,,,,,False
ADAM19,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6937842778793418,0,False,206.0,243.0,402.0,449.0,,,True,True,497.0,DRUGGABLE GENOME;ENZYME;PROTEASE,False
ADAM9,CAR-T / ADC / 抗體 (細胞表面+胞外域),activator,0.28865979381443296,0,False,95.0,97.0,11.0,2.0,,,True,True,669.0,CELL SURFACE;DRUGGABLE GENOME;ENZYME;EXTERNAL SIDE OF PLASMA MEMBRANE;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ADCY4,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6983805668016194,0,False,271.0,273.0,2.0,221.0,,,True,True,27.0,DRUGGABLE GENOME;ENZYME,False
ADNP,待新模態 (無已知遞送方式),mixed,0.58,0,False,25.0,25.0,50.0,42.0,,,False,False,,,False
ADNP2,待新模態 (無已知遞送方式),mixed,0.5222672064777328,0,False,39.0,58.0,92.0,97.0,,,,,,,False
AEBP2,待新模態 (無已知遞送方式),mixed,0.4495575221238938,0,True,498.0,12.0,55.0,510.0,,,,,,,True
AHR,小分子 (胞內可成藥口袋),mixed,0.5731726404758178,0,False,1013.0,2790.0,1777.0,1822.0,0.5995461034933206,,False,False,,DRUGGABLE GENOME;ENZYME;NUCLEAR HORMONE RECEPTOR;TRANSCRIPTION FACTOR;TRANSCRIPTION FACTOR COMPLEX,False
AHSA1,待新模態 (無已知遞送方式),mixed,0.36507936507936506,0,False,59.0,63.0,4.0,18.0,,,,,,,False
AIP,待新模態 (無已知遞送方式),mixed,0.5853658536585366,0,False,199.0,104.0,303.0,249.0,,,,,,,False
AK3,待新模態 (無已知遞送方式),repressor,0.8571428571428571,0,False,266.0,324.0,213.0,58.0,,,,,,,False
AKAP10,待新模態 (無已知遞送方式),repressor,0.8571428571428571,0,False,23.0,34.0,56.0,11.0,,,False,False,,,False
AKAP17A,待新模態 (無已知遞送方式),mixed,0.3821656050955414,0,False,57.0,29.0,71.0,86.0,,,,,,,False
ALDH18A1,待新模態 (無已知遞送方式),repressor,0.7517006802721088,0,False,103.0,119.0,175.0,16.0,,,,,,,False
ALG13,待新模態 (無已知遞送方式),repressor,0.8172043010752689,0,False,151.0,35.0,186.0,4.0,,,,,,,False
ALG3,抗體 (表面但胞外域有限),repressor,0.9508196721311475,0,False,114.0,8.0,122.0,10.0,,,True,False,0.0,,False
ALG6,抗體 (表面但胞外域有限),repressor,0.6789115646258503,0,False,191.0,142.0,260.0,333.0,,,True,False,0.0,,False
ALG8,抗體 (表面但胞外域有限),mixed,0.5545517720639332,0,False,725.0,82.0,550.0,807.0,,,True,False,0.0,,False
ALKBH2,待新模態 (無已知遞送方式),repressor,0.7065026362038664,0,False,268.0,365.0,107.0,97.0,,,,,,,False
ALS2,待新模態 (無已知遞送方式),mixed,0.6078431372549019,0,False,101.0,102.0,6.0,1.0,,,False,False,,,False
AMBRA1,待新模態 (無已知遞送方式),mixed,0.43914473684210525,0,True,602.0,6.0,16.0,608.0,,,,,,,True
AMD1,小分子 (胞內可成藥口袋),mixed,0.635048231511254,0,False,412.0,16.0,194.0,428.0,,,False,False,,DRUGGABLE GENOME;ENZYME,False
AMER1,待新模態 (無已知遞送方式),mixed,0.6014492753623188,0,False,275.0,276.0,2.0,1.0,,,,,,,False
ANKAR,待新模態 (無已知遞送方式),repressor,0.9299065420560748,0,False,285.0,292.0,136.0,7.0,,,False,False,0.0,,False
ANKRD11,待新模態 (無已知遞送方式),mixed,0.4492753623188406,0,False,54.0,15.0,69.0,19.0,,,,,,,False
ANKRD61,待新模態 (無已知遞送方式),mixed,0.5011914217633042,0,True,1176.0,1.0,82.0,1177.0,,,,,,,True
ANP32B,待新模態 (無已知遞送方式),mixed,0.6403269754768393,0,False,181.0,93.0,274.0,31.0,,,,,,,False
AP1S2,待新模態 (無已知遞送方式),repressor,0.776566757493188,0,False,217.0,221.0,146.0,4.0,,,,,,,False
AP3D1,待新模態 (無已知遞送方式),repressor,0.75,0,False,71.0,72.0,1.0,2.0,,,False,False,,,False
APOBEC3B,待新模態 (無已知遞送方式),repressor,0.8355704697986577,0,False,72.0,113.0,185.0,47.0,,,,,,,False
APOBEC3G,待新模態 (無已知遞送方式),repressor,0.75,0,False,103.0,104.0,1.0,2.0,,,,,,,False
APPL2,待新模態 (無已知遞送方式),repressor,0.8847826086956522,0,False,458.0,2.0,460.0,9.0,,,,,,,False
ARF1,待新模態 (無已知遞送方式),repressor,0.6975717439293598,0,False,1746.0,1754.0,58.0,8.0,0.263708322947604,,,,,,False
ARF4,待新模態 (無已知遞送方式),repressor,0.8116883116883117,0,False,148.0,6.0,154.0,13.0,,,,,,,False
ARHGAP27,待新模態 (無已知遞送方式),repressor,0.7693069306930693,0,True,925.0,9.0,934.0,76.0,,,,,,,True
ARHGAP30,待新模態 (無已知遞送方式),mixed,0.5735578250069003,0,False,1541.0,1840.0,299.0,1484.0,0.4528866412654388,,,,,,False
ARHGAP45,待新模態 (無已知遞送方式),mixed,0.58,0,False,33.0,34.0,50.0,1.0,,,,,,,False
ARID2,小分子 (胞內可成藥口袋),mixed,0.6403061224489796,0,False,82.0,298.0,216.0,270.0,,,False,False,,CLINICALLY ACTIONABLE;NUCLEAR HORMONE RECEPTOR,False
ARID4B,待新模態 (無已知遞送方式),repressor,0.7933884297520661,0,False,234.0,8.0,242.0,18.0,,,,,,,False
ARIH1,待新模態 (無已知遞送方式),repressor,0.7072402938090241,0,False,437.0,434.0,601.0,871.0,,,,,,,False
ARL1,待新模態 (無已知遞送方式),repressor,0.6934306569343066,0,False,136.0,1.0,10.0,137.0,,,,,,,False
ARL6IP1,抗體 (表面但胞外域有限),activator,0.2711864406779661,0,False,117.0,1.0,1.0,118.0,,,True,False,0.0,,False
ARMC8,待新模態 (無已知遞送方式),repressor,0.8108108108108109,0,False,48.0,37.0,85.0,63.0,,,,,,,False
ARMH3,待新模態 (無已知遞送方式),mixed,0.4827586206896552,0,False,109.0,116.0,7.0,13.0,,,False,False,0.0,,False
ARNT,待新模態 (無已知遞送方式),mixed,0.5106194690265486,0,False,627.0,2320.0,2643.0,2947.0,0.3873464603285701,,,,,,False
ARPC1B,待新模態 (無已知遞送方式),mixed,0.5384615384615384,0,False,61.0,4.0,44.0,65.0,,,,,,,False
ARPC2,待新模態 (無已知遞送方式),repressor,0.7081951681667457,0,False,823.0,216.0,1039.0,856.0,,,,,,,False
ARPC3,待新模態 (無已知遞送方式),repressor,0.7322435174746336,0,False,758.0,148.0,906.0,720.0,,,,,,,False
ASXL1,待新模態 (無已知遞送方式),activator,0.33090909090909093,0,False,266.0,275.0,42.0,9.0,,,,,,,False
ATAD3A,待新模態 (無已知遞送方式),mixed,0.4444444444444444,0,True,718.0,2.0,7.0,720.0,,,False,False,0.0,,True
ATF4,待新模態 (無已知遞送方式),mixed,0.5710577547047372,0,False,976.0,86.0,1062.0,393.0,,,,,,,False
ATF7IP,待新模態 (無已知遞送方式),repressor,0.7027027027027027,0,False,66.0,8.0,6.0,74.0,,,,,,,False
ATF7IP2,待新模態 (無已知遞送方式),repressor,0.7953675730110775,0,False,1877.0,854.0,2731.0,1380.0,0.8461628384545281,,,,,,False
ATG14,待新模態 (無已知遞送方式),mixed,0.5318352059925093,0,False,248.0,19.0,6.0,267.0,,,,,,,False
ATM,小分子 (胞內可成藥口袋),repressor,0.6655948553054662,0,False,46.0,97.0,71.0,143.0,,,False,False,,CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;ENZYME;KINASE;PHOSPHATIDYLINOSITOL 3 KINASE;SERINE THREONINE KINASE;TUMOR SUPPRESSOR,False
ATP1B3,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.785007072135785,0,False,167.0,329.0,216.0,162.0,,,True,True,223.0,DRUGGABLE GENOME;ENZYME;TRANSPORTER,False
ATP23,待新模態 (無已知遞送方式),repressor,0.6605504587155964,0,False,43.0,54.0,67.0,97.0,,,,,,,False
ATP2A2,抗體 (表面但胞外域有限),repressor,0.673816656680647,0,False,1953.0,3519.0,3260.0,1566.0,0.2003169158021933,,True,False,0.0,DRUGGABLE GENOME;ENZYME;TRANSPORTER,False
ATP2A3,抗體 (表面但胞外域有限),repressor,0.65,0,False,72.0,8.0,80.0,5.0,,,True,False,0.0,DRUGGABLE GENOME;ENZYME;TRANSPORTER,False
ATP5F1E,待新模態 (無已知遞送方式),mixed,0.47183098591549294,0,False,402.0,24.0,4.0,426.0,,,,,,,False
ATP5ME,待新模態 (無已知遞送方式),mixed,0.5838198498748958,0,False,368.0,365.0,101.0,733.0,,,False,False,,,False
ATP5MF,待新模態 (無已知遞送方式),mixed,0.5197452229299363,0,False,593.0,96.0,12.0,689.0,,,False,False,0.0,,False
ATP5PO,待新模態 (無已知遞送方式),mixed,0.5268817204301075,0,False,734.0,423.0,94.0,1157.0,,,,,,,False
ATRX,小分子 (胞內可成藥口袋),repressor,0.6566091954022989,0,False,617.0,214.0,831.0,347.0,,,False,False,,CLINICALLY ACTIONABLE;DNA REPAIR;ENZYME,False
ATXN1L,待新模態 (無已知遞送方式),mixed,0.5,0,False,95.0,98.0,3.0,4.0,,,,,,,False
ATXN2L,待新模態 (無已知遞送方式),mixed,0.5308641975308642,0,False,32.0,118.0,120.0,86.0,,,,,,,False
ATXN7L3,待新模態 (無已知遞送方式),repressor,0.6802675585284281,0,False,1397.0,545.0,1942.0,503.0,,,,,,,False
AUP1,待新模態 (無已知遞送方式),mixed,0.5176151761517616,0,False,231.0,10.0,128.0,241.0,,,False,False,,,False
AVEN,待新模態 (無已知遞送方式),repressor,0.7388535031847133,0,False,154.0,3.0,157.0,1.0,,,,,,,False
B3GAT1,待新模態 (無已知遞送方式),activator,0.29743589743589743,0,False,188.0,195.0,7.0,8.0,,,False,False,0.0,,False
BAHD1,待新模態 (無已知遞送方式),repressor,0.885480572597137,0,False,362.0,31.0,96.0,393.0,,,,,,,False
BAZ1A,待新模態 (無已知遞送方式),mixed,0.43820224719101125,0,False,85.0,89.0,4.0,16.0,,,,,,,False
BBS10,待新模態 (無已知遞送方式),repressor,0.7848101265822784,0,False,35.0,44.0,79.0,23.0,,,False,False,,,False
BCAP29,抗體 (表面但胞外域有限),repressor,0.9523809523809523,0,False,104.0,1.0,105.0,15.0,,,True,False,0.0,,False
BCL10,待新模態 (無已知遞送方式),mixed,0.5725605966438782,1,True,3455.0,1.0,3456.0,2980.0,0.5462126708195334,,,,,,True
BCL6,待新模態 (無已知遞送方式),repressor,0.8823529411764706,0,False,52.0,16.0,28.0,68.0,,,,,,,False
BCLAF1,待新模態 (無已知遞送方式),mixed,0.5720720720720721,0,False,72.0,43.0,107.0,115.0,,,,,,,False
BEX3,待新模態 (無已知遞送方式),mixed,0.4565916398713826,0,False,298.0,311.0,16.0,13.0,,,,,,,False
BHLHE40,待新模態 (無已知遞送方式),mixed,0.433116413593637,0,False,1532.0,465.0,1997.0,1687.0,0.2171883786993017,,,,,,False
BICDL1,待新模態 (無已知遞送方式),mixed,0.4177215189873418,0,False,75.0,4.0,4.0,79.0,,,,,,,False
BLOC1S2,待新模態 (無已知遞送方式),repressor,0.9056603773584906,0,False,26.0,27.0,45.0,53.0,,,,,,,False
BLOC1S4,待新模態 (無已知遞送方式),mixed,0.47560975609756095,0,False,80.0,2.0,82.0,4.0,,,,,,,False
BLZF1,待新模態 (無已知遞送方式),repressor,0.6886120996441281,0,False,448.0,454.0,6.0,108.0,,,,,,,False
BPTF,待新模態 (無已知遞送方式),mixed,0.5122634898388227,0,False,167.0,437.0,604.0,386.0,,,,,,,False
BRAT1,待新模態 (無已知遞送方式),mixed,0.44077134986225897,0,False,198.0,219.0,21.0,144.0,,,False,False,,,False
BRD1,待新模態 (無已知遞送方式),mixed,0.38742393509127787,0,False,227.0,65.0,292.0,136.0,,,,,,,False
BRD10,待新模態 (無已知遞送方式),mixed,0.5056818181818182,0,False,118.0,119.0,57.0,1.0,,,,,,,False
BRD7,待新模態 (無已知遞送方式),mixed,0.6,0,False,72.0,80.0,45.0,8.0,,,,,,,False
BRK1,待新模態 (無已知遞送方式),repressor,0.6563440860215054,0,False,655.0,622.0,1277.0,426.0,,,,,,,False
BRPF1,待新模態 (無已知遞送方式),mixed,0.5429763560500696,0,False,783.0,1005.0,1788.0,802.0,,,,,,,False
BSG,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.6228070175438597,0,False,113.0,1.0,1.0,114.0,,,True,True,186.0,DRUGGABLE GENOME;TRANSPORTER,False
BTAF1,待新模態 (無已知遞送方式),mixed,0.5700156168662155,0,False,440.0,1053.0,1493.0,1296.0,,,False,False,,,False
BZW2,待新模態 (無已知遞送方式),mixed,0.6136363636363636,0,False,84.0,4.0,2.0,88.0,,,,,,,False
C11orf54,待新模態 (無已知遞送方式),mixed,0.4962365591397849,0,False,886.0,1045.0,159.0,656.0,,,,,,,False
C16orf87,待新模態 (無已知遞送方式),mixed,0.6202185792349727,0,False,74.0,129.0,182.0,55.0,,,,,,,False
C18orf32,待新模態 (無已知遞送方式),mixed,0.6351351351351351,0,False,40.0,34.0,74.0,40.0,,,False,False,,,False
C1D,待新模態 (無已知遞送方式),repressor,0.6919883769198838,0,False,405.0,555.0,960.0,894.0,,,,,,,False
C1orf21,待新模態 (無已知遞送方式),repressor,0.7105575326215896,0,False,834.0,843.0,9.0,9.0,,,,,,,False
C2CD2L,待新模態 (無已知遞送方式),repressor,0.9047619047619048,0,False,40.0,23.0,63.0,5.0,,,False,False,0.0,,False
C2CD5,待新模態 (無已知遞送方式),mixed,0.47540983606557374,0,False,59.0,2.0,61.0,2.0,,,False,False,,,False
C2orf15,待新模態 (無已知遞送方式),mixed,0.4756554307116105,0,False,259.0,8.0,14.0,267.0,,,,,,,False
C6orf120,小分子 (胞內可成藥口袋),mixed,0.5714285714285714,0,False,39.0,17.0,40.0,56.0,,,False,False,,DRUGGABLE GENOME,False
C8orf33,待新模態 (無已知遞送方式),mixed,0.6103151862464183,0,False,250.0,264.0,85.0,14.0,,,,,,,False
CAAP1,待新模態 (無已知遞送方式),activator,0.3076923076923077,0,False,58.0,7.0,5.0,65.0,,,,,,,False
CAB39,待新模態 (無已知遞送方式),repressor,0.8449612403100775,0,False,119.0,10.0,129.0,23.0,,,,,,,False
CABIN1,待新模態 (無已知遞送方式),mixed,0.6112600536193029,0,False,164.0,27.0,191.0,182.0,,,,,,,False
CALCOCO2,待新模態 (無已知遞送方式),repressor,0.7605782792665726,0,True,2347.0,5.0,2352.0,484.0,0.8696402064773731,,False,False,,,True
CALR,小分子 (胞內可成藥口袋),repressor,0.9682539682539683,0,False,50.0,63.0,13.0,35.0,,,False,False,,CELL SURFACE;CLINICALLY ACTIONABLE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;NUCLEAR HORMONE RECEPTOR,False
CAMK1,小分子 (胞內可成藥口袋),mixed,0.6065573770491803,0,False,16.0,46.0,30.0,61.0,,,False,False,,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,False
CAND1,待新模態 (無已知遞送方式),mixed,0.583732057416268,0,False,321.0,838.0,1159.0,929.0,,,False,False,,,False
CAP1,待新模態 (無已知遞送方式),repressor,0.717741935483871,0,False,110.0,190.0,102.0,80.0,,,False,False,,,False
CAPZA1,待新模態 (無已知遞送方式),mixed,0.6481481481481481,0,False,52.0,3.0,55.0,53.0,,,,,,,False
CARD6,待新模態 (無已知遞送方式),repressor,0.7593984962406015,0,False,32.0,55.0,23.0,78.0,,,False,False,,,False
CARM1,小分子 (胞內可成藥口袋),repressor,0.6536231884057971,0,False,271.0,108.0,203.0,379.0,,,False,False,,DRUGGABLE GENOME;ENZYME,False
CARMIL2,待新模態 (無已知遞送方式),mixed,0.5865025280281381,0,False,2459.0,86.0,2545.0,1918.0,,,,,,,False
CARNMT1,待新模態 (無已知遞送方式),mixed,0.5172413793103449,0,False,45.0,13.0,47.0,58.0,,,,,,,False
CASC3,待新模態 (無已知遞送方式),repressor,0.7266089778258518,0,False,211.0,1239.0,1431.0,1028.0,,,,,,,False
CASK,小分子 (胞內可成藥口袋),mixed,0.563573883161512,0,False,104.0,121.0,17.0,170.0,,,False,False,0.0,DRUGGABLE GENOME;ENZYME;ION CHANNEL;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR,False
CASP9,待新模態 (無已知遞送方式),mixed,0.46419098143236076,0,False,753.0,754.0,1.0,4.0,,,,,,,False
CATSPERG,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.6457399103139013,0,False,218.0,5.0,13.0,223.0,,,True,True,1030.0,,False
CAV1,待新模態 (無已知遞送方式),mixed,0.4842105263157895,0,False,94.0,95.0,1.0,10.0,,,False,False,0.0,,False
CBFA2T2,待新模態 (無已知遞送方式),repressor,0.6966666666666667,0,False,298.0,300.0,2.0,2.0,,,,,,,False
CBLB,待新模態 (無已知遞送方式),mixed,0.543046357615894,0,True,1022.0,6.0,1028.0,180.0,,,,,,,True
CBLL1,待新模態 (無已知遞送方式),mixed,0.6322701688555347,0,False,230.0,302.0,532.0,232.0,,,,,,,False
CBX3,待新模態 (無已知遞送方式),repressor,0.7559322033898305,0,False,66.0,66.0,97.0,132.0,,,,,,,False
CBX5,待新模態 (無已知遞送方式),mixed,0.4188679245283019,0,True,513.0,49.0,233.0,562.0,,,,,,,True
CCDC134,待新模態 (無已知遞送方式),mixed,0.5714285714285714,0,False,103.0,9.0,32.0,112.0,,,False,False,,,False
CCDC136,待新模態 (無已知遞送方式),mixed,0.43346007604562736,0,False,246.0,17.0,38.0,263.0,,,False,False,0.0,,False
CCDC138,待新模態 (無已知遞送方式),repressor,0.8271929824561404,0,False,784.0,178.0,962.0,16.0,,,,,,,False
CCDC22,待新模態 (無已知遞送方式),repressor,0.6857142857142857,0,False,503.0,116.0,1.0,619.0,,,,,,,False
CCDC6,待新模態 (無已知遞送方式),repressor,0.8217592592592593,0,False,83.0,102.0,185.0,145.0,,,,,,,False
CCDC90B,待新模態 (無已知遞送方式),mixed,0.36792452830188677,0,False,105.0,1.0,1.0,106.0,,,False,False,0.0,,False
CCDC93,待新模態 (無已知遞送方式),mixed,0.5862646566164154,0,False,301.0,102.0,92.0,403.0,,,,,,,False
CCL5,小分子 (胞內可成藥口袋),activator,0.3469387755102041,0,False,95.0,98.0,20.0,3.0,,,False,False,,CELL SURFACE;DRUGGABLE GENOME;ENZYME;G PROTEIN COUPLED RECEPTOR;KINASE,False
CCNA2,小分子 (胞內可成藥口袋),repressor,0.81725584182145,0,False,351.0,467.0,818.0,384.0,,,False,False,,DRUGGABLE GENOME;KINASE,False
CCNC,小分子 (胞內可成藥口袋),mixed,0.6076102496425823,0,False,1360.0,2731.0,2271.0,4091.0,,3.0,False,False,,,False
CCND2,小分子 (胞內可成藥口袋),activator,0.3178680981595092,0,False,1284.0,1287.0,1321.0,3.0,,,False,False,,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;KINASE;TRANSCRIPTION FACTOR,False
CCND3,小分子 (胞內可成藥口袋),mixed,0.385,1,False,199.0,1.0,1.0,200.0,,,False,False,,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;KINASE;TRANSCRIPTION FACTOR,True
CCNF,待新模態 (無已知遞送方式),mixed,0.4727854855923159,0,False,490.0,615.0,125.0,197.0,,,False,False,,,False
CCNK,待新模態 (無已知遞送方式),mixed,0.5059422750424448,0,False,514.0,148.0,662.0,368.0,,,False,False,,,False
CCNQ,待新模態 (無已知遞送方式),mixed,0.6235649546827795,0,False,311.0,466.0,777.0,412.0,,,False,False,,,False
CCR4,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5957820738137083,0,False,503.0,508.0,61.0,5.0,,,True,True,100.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;G PROTEIN COUPLED RECEPTOR,False
CD2,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.537394451145959,0,True,985.0,4.0,669.0,989.0,,,True,True,185.0,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE,True
CD247,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6880573865839472,1,True,4325.0,5.0,4330.0,828.0,0.6885845464824588,6.0,True,True,9.0,DRUGGABLE GENOME;ENZYME;KINASE,True
CD274,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.8550185873605948,0,False,143.0,24.0,167.0,102.0,,,True,True,220.0,CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE,False
CD28,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5420702179176755,1,True,1793.0,5.0,1506.0,1798.0,0.6754854307844184,,True,True,134.0,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;KINASE,True
CD3E,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6882280389201042,1,True,5707.0,4.0,5711.0,1586.0,0.7007847405093005,10.0,True,True,104.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;KINASE,True
CD5,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.6491340602950609,0,True,1193.0,8.0,358.0,1201.0,,,True,True,348.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE,True
CD99L2,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.3619631901840491,0,,,,50.0,113.0,,,True,True,160.0,,False
CDADC1,待新模態 (無已知遞送方式),repressor,0.8092485549132948,0,False,169.0,173.0,36.0,4.0,,,,,,,False
CDC25B,待新模態 (無已知遞送方式),repressor,0.6672077922077922,0,False,1225.0,1256.0,1208.0,31.0,,,,,,,False
CDCA3,待新模態 (無已知遞送方式),mixed,0.5571955719557196,0,False,57.0,127.0,74.0,70.0,,,,,,,False
CDIPT,抗體 (表面但胞外域有限),repressor,0.851063829787234,0,False,352.0,24.0,376.0,1.0,,,True,False,0.0,,False
CDK13,小分子 (胞內可成藥口袋),mixed,0.4410377358490566,0,False,332.0,558.0,672.0,890.0,,,False,False,,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TUMOR SUPPRESSOR,False
