gene,avoid_tier,n_avoid_flags,avoid_flags,loeuf,pli,breadth_max_de,is_ctx_specific
NFAT5,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.25); 劑量敏感(pLI 1.00),0.2512521224755644,1.0,1624.0,False
VAV1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.34); 劑量敏感(pLI 1.00),0.3444029706478581,0.9999999998734816,4898.0,True
SMARCB1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.22); 劑量敏感(pLI 1.00),0.22,0.9971,2130.0,False
BHLHE40,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.22); 劑量敏感(pLI 1.00),0.2171883786993017,0.99999860099106,1997.0,False
ELAVL1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.22); 劑量敏感(pLI 0.99),0.222,0.98849,2170.0,False
UBR5,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.07); 劑量敏感(pLI 1.00),0.073,1.0,1706.0,False
BTAF1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.13); 劑量敏感(pLI 1.00),0.128,1.0,1493.0,False
EIF4G2,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.12); 劑量敏感(pLI 1.00),0.1226951830624844,1.0,2530.0,False
UBE2L3,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.27); 劑量敏感(pLI 1.00),0.266852087256841,0.9990778906806628,2874.0,False
SMG1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.07); 劑量敏感(pLI 1.00),0.0748237416869631,1.0,2684.0,False
SMG7,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.22); 劑量敏感(pLI 1.00),0.219,0.99998,1765.0,False
TSC1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.12); 劑量敏感(pLI 1.00),0.118,1.0,1676.0,False
TRIP12,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.06); 劑量敏感(pLI 1.00),0.06,1.0,2013.0,False
CCNC,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.15); 劑量敏感(pLI 1.00),0.146,0.99914,4091.0,False
TRAF3,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.22); 劑量敏感(pLI 1.00),0.224,0.99869,1626.0,False
TNRC6A,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.26); 劑量敏感(pLI 1.00),0.2557160301054788,1.0,1547.0,False
CHD4,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.16); 劑量敏感(pLI 1.00),0.156,1.0,1517.0,False
CHD7,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.08); 劑量敏感(pLI 1.00),0.076,1.0,2278.0,False
TNPO1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.06); 劑量敏感(pLI 1.00),0.056,1.0,1449.0,False
SP2,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.22); 劑量敏感(pLI 1.00),0.219,0.99721,1671.0,False
STAT3,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.10); 劑量敏感(pLI 1.00),0.095,1.0,1593.0,True
CPSF6,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 1.00),0.2992907577699072,0.9999997861097684,2487.0,False
PTPRC,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.21); 劑量敏感(pLI 1.00),0.207,1.0,3226.0,False
CREBBP,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.11); 劑量敏感(pLI 1.00),0.1051924869763193,1.0,2969.0,False
INTS10,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.16); 劑量敏感(pLI 1.00),0.156,0.99999,2076.0,False
CSDE1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0.144,1.0,1814.0,False
STIP1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.20); 劑量敏感(pLI 1.00),0.201,0.99987,1446.0,False
SMARCA5,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.19); 劑量敏感(pLI 1.00),0.1901104812110659,1.0,2786.0,False
BRPF1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.18); 劑量敏感(pLI 1.00),0.176,1.0,1788.0,False
SIN3B,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.20); 劑量敏感(pLI 1.00),0.195,0.99999,1614.0,False
MAX,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.35); 劑量敏感(pLI 1.00),0.3484073260389697,0.9988528450920444,2223.0,False
SIK3,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.13); 劑量敏感(pLI 1.00),0.128,1.0,1810.0,False
MED12,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.10); 劑量敏感(pLI 1.00),0.0954812775147903,1.0,4142.0,False
ATXN7L3,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.20); 劑量敏感(pLI 1.00),0.196,0.99892,1942.0,False
RPRD2,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.06); 劑量敏感(pLI 1.00),0.064,1.0,2755.0,False
NCAPG2,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 0.98),0.303,0.97764,1697.0,False
ATP2A2,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.20); 劑量敏感(pLI 1.00),0.2003169158021933,0.9999999999999998,3519.0,False
ARF1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.26); 劑量敏感(pLI 1.00),0.263708322947604,0.99917045222594,1754.0,False
SETDB1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 1.00),0.3043910358837762,0.9999999999998964,2291.0,False
NSD1,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.10); 劑量敏感(pLI 1.00),0.095,1.0,2175.0,False
WAC,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.08); 劑量敏感(pLI 1.00),0.084,1.0,2476.0,False
YTHDF2,avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0.139,0.99943,2618.0,False
RALGAPB,high_risk,2,高遺傳約束(LOEUF 0.11); 劑量敏感(pLI 1.00),0.106,1.0,83.0,False
PUM1,high_risk,2,高遺傳約束(LOEUF 0.13); 劑量敏感(pLI 1.00),0.129,1.0,241.0,False
RAC2,high_risk,2,高遺傳約束(LOEUF 0.28); 劑量敏感(pLI 0.97),0.284,0.96627,1095.0,True
QRICH1,high_risk,2,高遺傳約束(LOEUF 0.28); 劑量敏感(pLI 1.00),0.275,0.99576,79.0,False
RC3H1,high_risk,2,高遺傳約束(LOEUF 0.29); 劑量敏感(pLI 0.99),0.287,0.99309,341.0,False
RNF111,high_risk,2,高遺傳約束(LOEUF 0.21); 劑量敏感(pLI 1.00),0.213,0.99987,319.0,False
RNF145,high_risk,2,高遺傳約束(LOEUF 0.31); 劑量敏感(pLI 0.98),0.309,0.98031,69.0,False
RANBP3,high_risk,2,高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0.141,0.99997,168.0,False
RNF8,high_risk,2,高遺傳約束(LOEUF 0.18); 劑量敏感(pLI 1.00),0.183,0.99943,233.0,False
RPTOR,high_risk,2,高遺傳約束(LOEUF 0.10); 劑量敏感(pLI 1.00),0.101,1.0,1029.0,True
RRAGC,high_risk,2,高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 0.98),0.3,0.97538,1319.0,True
PTPN2,high_risk,2,高遺傳約束(LOEUF 0.18); 劑量敏感(pLI 1.00),0.179,0.99953,414.0,False
PTPN11,high_risk,2,高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0.135,0.99998,60.0,False
RICTOR,high_risk,2,高遺傳約束(LOEUF 0.15); 劑量敏感(pLI 1.00),0.155,1.0,269.0,False
RB1CC1,high_risk,2,高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0.138,1.0,902.0,False
RIC8B,high_risk,2,高遺傳約束(LOEUF 0.20); 劑量敏感(pLI 1.00),0.196,0.99892,61.0,False
RASGRP1,high_risk,2,高遺傳約束(LOEUF 0.32); 劑量敏感(pLI 0.97),0.318,0.96554,993.0,False
RHEB,high_risk,2,高遺傳約束(LOEUF 0.25); 劑量敏感(pLI 0.98),0.247,0.98119,860.0,False
RBM15,high_risk,2,高遺傳約束(LOEUF 0.28); 劑量敏感(pLI 0.99),0.276,0.99474,64.0,False
RBM27,high_risk,2,高遺傳約束(LOEUF 0.21); 劑量敏感(pLI 1.00),0.206,0.99999,726.0,False
RBM33,high_risk,2,高遺傳約束(LOEUF 0.08); 劑量敏感(pLI 1.00),0.082,1.0,815.0,False
