gene,kinetic_archetype,de_Rest,de_Stim8hr,de_Stim48hr,is_ctx_specific
AASDH,other(其他),151.0,1.0,101.0,False
ABCC1,other(其他),88.0,54.0,37.0,False
ABHD12,other(其他),447.0,3.0,1.0,False
ABHD13,other(其他),214.0,194.0,70.0,False
ABHD14A,other(其他),101.0,3.0,6.0,False
ACACA,late_sustained(晚期持續),4.0,4.0,913.0,True
ACAD9,late_sustained(晚期持續),1.0,5.0,607.0,True
ACLY,late_sustained(晚期持續),13.0,1321.0,2432.0,True
ACOT7,late_sustained(晚期持續),2.0,5.0,845.0,True
ACSL3,late_sustained(晚期持續),16.0,5.0,54.0,False
ACSS1,other(其他),357.0,5.0,4.0,False
ACTMAP,other(其他),95.0,42.0,51.0,False
ACTR2,late_sustained(晚期持續),77.0,583.0,1049.0,False
ACTR3,other(其他),32.0,209.0,117.0,False
ACTR5,other(其他),332.0,585.0,374.0,False
ACYP2,late_sustained(晚期持續),13.0,14.0,402.0,False
ADAM19,late_sustained(晚期持續),243.0,402.0,449.0,False
ADAM9,other(其他),97.0,11.0,2.0,False
ADCY4,other(其他),273.0,2.0,221.0,False
ADNP,other(其他),25.0,50.0,42.0,False
ADNP2,late_sustained(晚期持續),58.0,92.0,97.0,False
AEBP2,late_sustained(晚期持續),12.0,55.0,510.0,True
AHR,other(其他),2790.0,1777.0,1822.0,False
AHSA1,other(其他),63.0,4.0,18.0,False
AIP,other(其他),104.0,303.0,249.0,False
AK3,other(其他),324.0,213.0,58.0,False
AKAP10,early_transient(早期瞬態),34.0,56.0,11.0,False
AKAP17A,late_sustained(晚期持續),29.0,71.0,86.0,False
ALDH18A1,early_transient(早期瞬態),119.0,175.0,16.0,False
ALG13,early_transient(早期瞬態),35.0,186.0,4.0,False
ALG3,early_transient(早期瞬態),8.0,122.0,10.0,False
ALG6,late_sustained(晚期持續),142.0,260.0,333.0,False
ALG8,late_sustained(晚期持續),82.0,550.0,807.0,False
ALKBH2,other(其他),365.0,107.0,97.0,False
ALS2,other(其他),102.0,6.0,1.0,False
AMBRA1,late_sustained(晚期持續),6.0,16.0,608.0,True
AMD1,late_sustained(晚期持續),16.0,194.0,428.0,False
AMER1,other(其他),276.0,2.0,1.0,False
ANKAR,other(其他),292.0,136.0,7.0,False
ANKRD11,early_transient(早期瞬態),15.0,69.0,19.0,False
ANKRD61,late_sustained(晚期持續),1.0,82.0,1177.0,True
ANP32B,early_transient(早期瞬態),93.0,274.0,31.0,False
AP1S2,other(其他),221.0,146.0,4.0,False
AP3D1,other(其他),72.0,1.0,2.0,False
APOBEC3B,early_transient(早期瞬態),113.0,185.0,47.0,False
APOBEC3G,other(其他),104.0,1.0,2.0,False
APPL2,early_transient(早期瞬態),2.0,460.0,9.0,False
ARF1,other(其他),1754.0,58.0,8.0,False
ARF4,early_transient(早期瞬態),6.0,154.0,13.0,False
ARHGAP27,early_transient(早期瞬態),9.0,934.0,76.0,True
ARHGAP30,other(其他),1840.0,299.0,1484.0,False
ARHGAP45,early_transient(早期瞬態),34.0,50.0,1.0,False
ARID2,other(其他),298.0,216.0,270.0,False
ARID4B,early_transient(早期瞬態),8.0,242.0,18.0,False
ARIH1,late_sustained(晚期持續),434.0,601.0,871.0,False
ARL1,late_sustained(晚期持續),1.0,10.0,137.0,False
ARL6IP1,late_sustained(晚期持續),1.0,1.0,118.0,False
ARMC8,other(其他),37.0,85.0,63.0,False
ARMH3,other(其他),116.0,7.0,13.0,False
ARNT,late_sustained(晚期持續),2320.0,2643.0,2947.0,False
ARPC1B,late_sustained(晚期持續),4.0,44.0,65.0,False
ARPC2,other(其他),216.0,1039.0,856.0,False
ARPC3,other(其他),148.0,906.0,720.0,False
ASXL1,other(其他),275.0,42.0,9.0,False
ATAD3A,late_sustained(晚期持續),2.0,7.0,720.0,True
ATF4,early_transient(早期瞬態),86.0,1062.0,393.0,False
ATF7IP,late_sustained(晚期持續),8.0,6.0,74.0,False
ATF7IP2,other(其他),854.0,2731.0,1380.0,False
ATG14,late_sustained(晚期持續),19.0,6.0,267.0,False
ATM,late_sustained(晚期持續),97.0,71.0,143.0,False
ATP1B3,other(其他),329.0,216.0,162.0,False
ATP23,late_sustained(晚期持續),54.0,67.0,97.0,False
ATP2A2,other(其他),3519.0,3260.0,1566.0,False
ATP2A3,early_transient(早期瞬態),8.0,80.0,5.0,False
ATP5F1E,late_sustained(晚期持續),24.0,4.0,426.0,False
ATP5ME,late_sustained(晚期持續),365.0,101.0,733.0,False
ATP5MF,late_sustained(晚期持續),96.0,12.0,689.0,False
ATP5PO,late_sustained(晚期持續),423.0,94.0,1157.0,False
ATRX,early_transient(早期瞬態),214.0,831.0,347.0,False
ATXN1L,other(其他),98.0,3.0,4.0,False
ATXN2L,other(其他),118.0,120.0,86.0,False
ATXN7L3,early_transient(早期瞬態),545.0,1942.0,503.0,False
AUP1,late_sustained(晚期持續),10.0,128.0,241.0,False
AVEN,early_transient(早期瞬態),3.0,157.0,1.0,False
B3GAT1,other(其他),195.0,7.0,8.0,False
