gene,is_ctx_specific,delivery_modality,polarity,kinetic_archetype,avoid_tier,n_avoid_flags,avoid_flags,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,pli,breadth_max_de
AASDH,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,150.0,151.0,1.0,101.0,0.828,1.6629e-13,151.0
ABCC1,False,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,other(其他),clear,0,,0,False,51.0,88.0,54.0,37.0,0.397,0.0011727,88.0
ABHD12,False,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,other(其他),clear,0,,0,False,446.0,447.0,3.0,1.0,0.763,1.9476e-05,447.0
ABHD13,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,144.0,214.0,194.0,70.0,0.406,0.8946,214.0
ABHD14A,False,待新模態 (無已知遞送方式),activator,other(其他),clear,0,,0,False,98.0,101.0,3.0,6.0,1.395,6.4241e-06,101.0
ACACA,True,小分子 (胞內可成藥口袋),mixed,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.22); 劑量敏感(pLI 1.00),0,True,909.0,4.0,4.0,913.0,0.216,1.0,913.0
ACAD9,True,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,True,606.0,1.0,5.0,607.0,0.814,4.5256e-08,607.0
ACLY,True,小分子 (胞內可成藥口袋),mixed,late_sustained(晚期持續),high_risk,2,泛效應(breadth top10%); 劑量敏感(pLI 1.00),0,True,2419.0,13.0,1321.0,2432.0,0.400071926771869,0.9999997939567736,2432.0
ACOT7,True,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),clear,0,,0,True,843.0,2.0,5.0,845.0,0.434,0.75926,845.0
ACSL3,False,小分子 (胞內可成藥口袋),mixed,late_sustained(晚期持續),clear,0,,0,False,38.0,16.0,5.0,54.0,0.55,0.00034758,54.0
ACSS1,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,353.0,357.0,5.0,4.0,0.759,3.0776e-07,357.0
ACTMAP,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,53.0,95.0,42.0,51.0,,,95.0
ACTR2,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.20); 劑量敏感(pLI 1.00),0,False,972.0,77.0,583.0,1049.0,0.195,0.99896,1049.0
ACTR3,False,待新模態 (無已知遞送方式),repressor,other(其他),high_risk,2,高遺傳約束(LOEUF 0.12); 劑量敏感(pLI 1.00),0,False,177.0,32.0,209.0,117.0,0.118,0.99986,209.0
ACTR5,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,253.0,332.0,585.0,374.0,1.006,1.1352e-09,585.0
ACYP2,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,389.0,13.0,14.0,402.0,1.836,6.5331e-05,402.0
ADAM19,False,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,late_sustained(晚期持續),clear,0,,0,False,206.0,243.0,402.0,449.0,0.501,6.8e-05,449.0
ADAM9,False,CAR-T / ADC / 抗體 (細胞表面+胞外域),activator,other(其他),clear,0,,0,False,95.0,97.0,11.0,2.0,0.417,0.029431,97.0
ADCY4,False,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,other(其他),clear,0,,0,False,271.0,273.0,2.0,221.0,0.892,1.0791e-18,273.0
ADNP,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.12); 劑量敏感(pLI 1.00),0,False,25.0,25.0,50.0,42.0,0.123,1.0,50.0
ADNP2,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,39.0,58.0,92.0,97.0,0.392,0.69573,97.0
AEBP2,True,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.14); 劑量敏感(pLI 1.00),0,True,498.0,12.0,55.0,510.0,0.145,0.99921,510.0
AHR,False,小分子 (胞內可成藥口袋),mixed,other(其他),caution,1,泛效應(breadth top10%),0,False,1013.0,2790.0,1777.0,1822.0,0.5995461034933206,0.0016710447041249,2790.0
AHSA1,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.15); 劑量敏感(pLI 1.00),0,False,59.0,63.0,4.0,18.0,0.15,0.99896,63.0
AIP,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,199.0,104.0,303.0,249.0,0.518,0.36163,303.0
AK3,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,266.0,324.0,213.0,58.0,1.391,0.0001135,324.0
AKAP10,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,23.0,34.0,56.0,11.0,0.441,0.10782,56.0
AKAP17A,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,57.0,29.0,71.0,86.0,0.524,0.50167,86.0
ALDH18A1,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,103.0,119.0,175.0,16.0,0.519,0.00081212,175.0
