target,pass_fraction,in_baseline,stability_class
A1BG,0.0,False,NEVER
A2M,0.0,False,NEVER
AAAS,0.0,False,NEVER
AACS,0.0,False,NEVER
AAGAB,0.2,False,BOUNDARY
AAK1,0.0,False,NEVER
AAMDC,0.0,False,NEVER
AAR2,0.0,False,NEVER
AARS2,0.0,False,NEVER
AARSD1,0.0,False,NEVER
AASDH,1.0,True,CORE
AASDHPPT,0.0,False,NEVER
AASS,0.0,False,NEVER
ABAT,0.0,False,NEVER
ABCA1,0.0,False,NEVER
ABCA2,0.0,False,NEVER
ABCA3,0.1667,False,BOUNDARY
ABCA5,0.2,False,BOUNDARY
ABCA7,0.0,False,NEVER
ABCB1,0.0,False,NEVER
ABCB6,0.0,False,NEVER
ABCB7,0.0,False,NEVER
ABCB8,0.0,False,NEVER
ABCB9,0.0,False,NEVER
ABCC1,0.8,True,BOUNDARY
ABCC10,0.0,False,NEVER
ABCC2,0.0,False,NEVER
ABCC3,0.0,False,NEVER
ABCC4,0.0667,False,FRAGILE
ABCC5,0.0,False,NEVER
ABCC8,0.0,False,NEVER
ABCD2,0.0,False,NEVER
ABCD3,0.0,False,NEVER
ABCD4,0.0,False,NEVER
ABCE1,0.0,False,NEVER
ABCF2,0.0,False,NEVER
ABCF3,0.0,False,NEVER
ABCG1,0.0,False,NEVER
ABHD10,0.0,False,NEVER
ABHD11,0.0,False,NEVER
ABHD12,0.8333,True,BOUNDARY
ABHD13,0.6,True,BOUNDARY
ABHD14A,1.0,True,CORE
ABHD14B,0.0,False,NEVER
ABHD15,0.0,False,NEVER
ABHD16A,0.0,False,NEVER
ABHD16B,0.0,False,NEVER
ABHD17A,0.0,False,NEVER
ABHD17B,0.0,False,NEVER
ABHD18,0.0,False,NEVER
ABHD2,0.0,False,NEVER
ABHD3,0.0,False,NEVER
ABHD4,0.0,False,NEVER
ABHD5,0.0,False,NEVER
ABHD6,0.0,False,NEVER
ABHD8,0.0,False,NEVER
ABI1,0.0,False,NEVER
ABI2,0.0,False,NEVER
ABI3,0.0,False,NEVER
ABITRAM,0.0,False,NEVER
ABL1,0.0,False,NEVER
ABL2,0.0,False,NEVER
ABLIM3,0.0,False,NEVER
ABRACL,0.0,False,NEVER
ABRAXAS1,0.0,False,NEVER
ABRAXAS2,0.0,False,NEVER
ABT1,0.0,False,NEVER
ABTB1,0.0,False,NEVER
ABTB2,0.0,False,NEVER
ABTB3,0.0,False,NEVER
ACAA1,0.0,False,NEVER
ACAA2,0.0,False,NEVER
ACACA,1.0,True,CORE
ACACB,0.0,False,NEVER
ACAD10,0.0,False,NEVER
ACAD11,0.0,False,NEVER
ACAD8,0.0,False,NEVER
ACAD9,1.0,True,CORE
ACADM,0.0,False,NEVER
ACADS,0.1667,False,BOUNDARY
ACADSB,0.0,False,NEVER
ACADVL,0.0,False,NEVER
ACAP1,0.0,False,NEVER
ACAP2,0.0,False,NEVER
ACAP3,0.0,False,NEVER
ACAT1,0.0,False,NEVER
ACAT2,0.0,False,NEVER
ACBD3,0.0,False,NEVER
ACBD4,0.0,False,NEVER
ACBD5,0.0,False,NEVER
ACBD6,0.0,False,NEVER
ACCS,0.0,False,NEVER
ACD,0.0,False,NEVER
ACE,0.0,False,NEVER
ACER1,0.0,False,NEVER
ACER2,0.0,False,NEVER
ACER3,0.0,False,NEVER
ACIN1,0.0,False,NEVER
ACKR3,0.0,False,NEVER
ACLY,0.8333,True,BOUNDARY
ACO1,0.0,False,NEVER
ACO2,0.0,False,NEVER
ACOT13,0.0,False,NEVER
ACOT2,0.0,False,NEVER
ACOT4,0.0,False,NEVER
ACOT7,1.0,True,CORE
ACOT8,0.0,False,NEVER
ACOT9,0.0,False,NEVER
ACOX1,0.0,False,NEVER
ACOX3,0.0,False,NEVER
ACP1,0.0,False,NEVER
ACP2,0.0,False,NEVER
ACP5,0.0,False,NEVER
ACP6,0.0,False,NEVER
ACRBP,0.0,False,NEVER
ACSF2,0.0,False,NEVER
ACSF3,0.0,False,NEVER
ACSL1,0.3333,False,BOUNDARY
ACSL3,0.6,True,BOUNDARY
ACSL4,0.0,False,NEVER
ACSL5,0.0,False,NEVER
ACSL6,0.0,False,NEVER
ACSM3,0.0,False,NEVER
ACSS1,1.0,True,CORE
ACSS2,0.0,False,NEVER
ACTA2,0.0,False,NEVER
ACTB,0.0,False,NEVER
ACTG1,0.0,False,NEVER
ACTMAP,0.6667,True,BOUNDARY
ACTN1,0.0,False,NEVER
ACTN4,0.0,False,NEVER
ACTR1A,0.0,False,NEVER
ACTR1B,0.0,False,NEVER
ACTR2,0.6667,True,BOUNDARY
ACTR3,0.6667,True,BOUNDARY
ACTR3B,0.0,False,NEVER
ACTR3C,0.0,False,NEVER
ACTR5,1.0,True,CORE
ACTR8,0.3333,False,BOUNDARY
ACVR1,0.0,False,NEVER
ACVR1B,0.0,False,NEVER
ACVR1C,0.0,False,NEVER
ACVR2A,0.0,False,NEVER
ACVR2B,0.0,False,NEVER
ACY1,0.0,False,NEVER
ACYP1,0.0,False,NEVER
ACYP2,1.0,True,CORE
ADA,0.0,False,NEVER
ADA2,0.0,False,NEVER
ADAM10,0.0,False,NEVER
ADAM12,0.0,False,NEVER
ADAM15,0.0,False,NEVER
ADAM17,0.0,False,NEVER
ADAM19,0.6667,True,BOUNDARY
ADAM22,0.0,False,NEVER
ADAM23,0.0,False,NEVER
ADAM28,0.0,False,NEVER
ADAM8,0.0,False,NEVER
ADAM9,0.6667,True,BOUNDARY
ADAMTS1,0.0,False,NEVER
ADAMTS10,0.0,False,NEVER
ADAMTS17,0.0,False,NEVER
ADAMTS6,0.0,False,NEVER
ADAMTSL5,0.0,False,NEVER
ADAP1,0.0,False,NEVER
ADAR,0.0,False,NEVER
ADARB1,0.0,False,NEVER
ADARB2,0.0,False,NEVER
ADAT1,0.0,False,NEVER
ADAT2,0.0,False,NEVER
ADAT3,0.0,False,NEVER
ADCK1,0.0,False,NEVER
ADCK2,0.0,False,NEVER
ADCK5,0.0,False,NEVER
ADCY1,0.0,False,NEVER
ADCY3,0.0,False,NEVER
ADCY4,1.0,True,CORE
ADCY7,0.0,False,NEVER
ADCY9,0.0,False,NEVER
