gene,breadth_max_de,ctx_specific_de,ctx_specific_eff,max_abs_effect,passes_gate,de_Rest,de_Stim8hr,de_Stim48hr,eff_Rest,eff_Stim8hr,eff_Stim48hr,loeuf,pli,druggability_tractability,n_concept_modules,stimulation_gated
AASDH,151.0,150.0,2.513618796617445,9.8218918958629,True,151.0,1.0,101.0,-7.308273099245454,-8.384237143972667,-9.8218918958629,,,,0,False
ABCC1,88.0,51.0,5.95537383783417,25.20890566642898,True,88.0,54.0,37.0,-19.25353182859481,-25.20890566642898,-19.15717134086624,,,,0,False
ABHD12,447.0,446.0,0.7835388481268346,13.256184913307983,True,447.0,3.0,1.0,-13.256184913307983,-12.529303009105716,-12.472646065181149,,,,0,False
ABHD13,214.0,144.0,2.2779877453145456,12.601001868074416,True,214.0,194.0,70.0,-10.32301412275987,-12.601001868074416,-8.610639786678513,,,,0,False
ABHD14A,101.0,98.0,0.2204932197762605,6.765228932556235,True,101.0,3.0,6.0,-6.765228932556235,-6.544735712779975,-6.657966273209876,,,,0,False
ACACA,913.0,909.0,15.551081046204128,25.676848121599715,True,4.0,4.0,913.0,-10.125767075395588,-25.676848121599715,-20.43050566625164,,,,0,True
ACAD9,607.0,606.0,5.061869339847346,20.77282953759597,True,1.0,5.0,607.0,-15.710960197748625,-20.77282953759597,-13.76778940119318,,,,0,True
ACLY,2432.0,2419.0,3.8653418951546215,20.366812167232048,True,13.0,1321.0,2432.0,-16.501470272077427,-20.366812167232048,-17.329000580256267,0.400071926771869,0.9999997939567736,,0,True
ACOT7,845.0,843.0,2.6203206454764025,12.624177366531471,True,2.0,5.0,845.0,-10.98832680375662,-12.624177366531471,-8.368006158280217,,,,0,True
ACSL3,54.0,38.0,5.230856713167871,17.20115780026036,True,16.0,5.0,54.0,-11.97030108709249,-17.20115780026036,-16.87301689443855,,,,0,False
ACSS1,357.0,353.0,2.8416658680801152,13.133535308140695,True,357.0,5.0,4.0,-13.133535308140695,-10.29186944006058,-10.920534253360252,,,,0,False
ACTMAP,95.0,53.0,4.202616183369681,9.797592912671371,True,95.0,42.0,51.0,-5.59497672930169,-5.047581621321965,-9.797592912671371,,,,0,False
ACTR2,1049.0,972.0,3.4931834139177944,21.039374180530096,True,77.0,583.0,1049.0,-21.039374180530096,-18.894150489878704,-17.546190766612302,,,,0,False
ACTR3,209.0,177.0,4.743402402231755,11.295896606919264,True,32.0,209.0,117.0,-11.295896606919264,-9.826204141173958,-6.552494204687509,,,,0,False
ACTR5,585.0,253.0,6.7504655792131665,17.366357008528972,True,332.0,585.0,374.0,-10.615891429315806,-17.366357008528972,-10.505817096565808,,,,0,False
ACYP2,402.0,389.0,4.458714890713285,9.793757184220471,True,13.0,14.0,402.0,-9.793757184220471,-5.335042293507186,-7.496609350266064,,,,0,False
ADAM19,449.0,206.0,6.267307001119269,12.50759849595869,True,243.0,402.0,449.0,-12.50759849595869,-11.408513199886094,-6.240291494839422,,,,0,False
ADAM9,97.0,95.0,6.164897219108879,11.095574250497508,True,97.0,11.0,2.0,-4.930677031388629,-6.807238891439407,-11.095574250497508,,,,0,False
ADCY4,273.0,271.0,0.7064346023000226,1.0074706364046295,True,273.0,2.0,221.0,-0.3010360341046069,-0.2222995025751557,-1.0074706364046295,,,,0,False
ADNP,50.0,25.0,5.187943673150659,24.71793717915088,True,25.0,50.0,42.0,-19.52999350600022,-24.71793717915088,-19.242256682901903,,,,0,False
