gene,ensembl,loeuf,pli,n_safety,safety_events,n_tractability,n_literature,n_evidence_axes,risk_score,loss_intolerant
CD3E,ENSG00000198851,0.701,0.048,0,,10,10,5,0.0,False
LAT,ENSG00000213658,0.497,0.985,0,,7,10,5,0.172,True
TADA2B,ENSG00000173011,0.599,0.65,0,,2,0,4,0.002,True
SENP5,ENSG00000119231,0.407,1.0,0,,2,0,4,0.321,True
PLCG1,ENSG00000124181,0.487,0.721,1,Angioedema,7,8,5,0.589,True
VAV1,ENSG00000141968,0.344,1.0,0,,5,10,5,0.426,True
SGF29,ENSG00000176476,0.606,0.49,0,,3,1,5,0.0,False
UBXN1,ENSG00000162191,0.719,0.004,0,,2,0,4,0.0,False
CD247,ENSG00000198821,0.689,0.164,0,,6,9,5,0.0,False
MED12,ENSG00000184634,0.096,1.0,0,,2,1,5,0.841,True
CCNC,ENSG00000112237,0.558,0.724,0,,3,1,5,0.07,True
SUPT20H,ENSG00000102710,0.802,0.0,0,,2,0,4,0.0,False
TADA1,ENSG00000152382,0.829,0.0,0,,2,0,4,0.0,False
DENR,ENSG00000139726,0.387,0.999,0,,3,0,4,0.354,True
PMVK,ENSG00000163344,0.893,0.03,0,,2,0,4,0.0,False
