flagship,direction,query_size,pathway_id,pathway_name,pathway_size_bg,overlap,p_value,fdr,expression_artifact_flag
BCL10,down,2037,R-HSA-8953854,Metabolism of RNA,452,252,2.6482225171300264e-67,2.8521356509490383e-64,True
BCL10,down,2037,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,196,114,9.160189146491224e-33,4.932761855385524e-30,True
BCL10,down,2037,R-HSA-72766,Translation,144,88,1.0210192412247188e-27,3.665459075996741e-25,True
BCL10,down,2037,R-HSA-72163,mRNA Splicing - Major Pathway,138,83,1.5755379086094258e-25,4.2421358189308786e-23,True
BCL10,down,2037,R-HSA-72172,mRNA Splicing,142,83,2.4181448844868903e-24,5.208684081184762e-22,True
BCL10,down,2037,R-HSA-72312,rRNA processing,59,46,8.144243605368518e-22,1.4618917271636491e-19,True
BCL10,down,2037,R-HSA-72306,tRNA processing,87,57,1.6156730106447635e-20,2.485828332092015e-18,True
BCL10,down,2037,R-HSA-8868773,rRNA processing in the nucleus and cytosol,42,34,2.2463394618647072e-17,3.024134500535362e-15,True
BCL10,down,2037,R-HSA-1430728,Metabolism,1379,393,4.419356223392825e-17,5.288496280660081e-15,False
BCL10,down,2037,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,37,31,9.005095639161273e-17,9.698488003376692e-15,True
BCL10,down,2037,R-HSA-194441,Metabolism of non-coding RNA,38,31,3.961738340376107e-16,3.5556601604875566e-14,False
BCL10,down,2037,R-HSA-191859,snRNP Assembly,38,31,3.961738340376107e-16,3.5556601604875566e-14,True
BCL10,down,2037,R-HSA-9824446,Viral Infection Pathways,679,220,7.195217765219098e-16,5.960961179339207e-14,False
BCL10,down,2037,R-HSA-1268020,Mitochondrial protein import,56,39,7.942253361282917e-16,6.109862050072645e-14,False
BCL10,down,2037,R-HSA-72187,mRNA 3'-end processing,100,55,5.644304306496456e-15,4.0526104920644554e-13,True
BCL10,down,2037,R-HSA-9770562,mRNA Polyadenylation,84,49,7.475138672426621e-15,5.031702718877168e-13,True
BCL10,down,2037,R-HSA-9918481,Dengue Virus-Host Interactions,161,75,1.085511896963782e-14,6.87703713547055e-13,False
BCL10,down,2037,R-HSA-6784531,tRNA processing in the nucleus,40,30,7.242250923503538e-14,4.3332801358962826e-12,True
BCL10,down,2037,R-HSA-71291,Metabolism of amino acids and derivatives,170,75,3.6309929841377494e-13,2.0581997073243975e-11,False
BCL10,down,2037,R-HSA-168273,Influenza Viral RNA Transcription and Replication,35,27,4.077605980231729e-13,2.195790820354786e-11,False
BCL10,down,2037,R-HSA-9839923,Dengue Virus Infection,246,97,6.107783369758099e-13,3.132420328204511e-11,False
BCL10,down,2037,R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,28,23,2.158143688224695e-12,1.0105742400947808e-10,True
BCL10,down,2037,R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,28,23,2.158143688224695e-12,1.0105742400947808e-10,True
BCL10,down,2037,R-HSA-162909,Host Interactions of HIV factors,94,49,2.5625433376950583e-12,1.1499413227906573e-10,False
BCL10,down,2037,R-HSA-162906,HIV Infection,163,71,3.2869911064761373e-12,1.41603576866992e-10,False
BCL10,down,2037,R-HSA-3371556,Cellular response to heat stress,78,43,4.753608498796123e-12,1.96909090507824e-10,False
BCL10,down,2037,R-HSA-3371453,Regulation of HSF1-mediated heat shock response,65,38,7.318040905377287e-12,2.871006555450126e-10,False
BCL10,down,2037,R-HSA-168325,Viral Messenger RNA Synthesis,31,24,7.464083895320662e-12,2.871006555450126e-10,False
BCL10,down,2037,R-HSA-177243,Interactions of Rev with host cellular proteins,27,22,9.035011513224296e-12,3.2435691332475217e-10,False
BCL10,down,2037,R-HSA-165054,Rev-mediated nuclear export of HIV RNA,27,22,9.035011513224296e-12,3.2435691332475217e-10,False
BCL10,down,2037,R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,32,24,2.4238618468216518e-11,8.420965190409416e-10,True
BCL10,down,2037,R-HSA-9907900,Proteasome assembly,44,29,3.521116221683348e-11,1.1850756783603018e-09,False
BCL10,down,2037,R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,26,21,3.7513269342604246e-11,1.1882879729995522e-09,True
