target_contrast_gene_name,culture_condition,n_cells_target,n_total_de_genes,ontarget_effect_size,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation,has_crossdonor,has_crossguide,low_crossdonor,low_crossguide,low_cells
A2M,Rest,366.0,122,0.0,False,-0.0276187515757076,-0.4660861832343115,True,True,True,True,False
A2M,Stim8hr,292.0,164,0.0,False,0.1713608657284728,0.0871815022865176,True,True,True,True,False
AASDH,Rest,651.0,151,-7.308273099245454,False,0.6127212399168732,,True,False,False,False,False
AASDH,Stim48hr,515.0,101,-9.8218918958629,False,0.6748159405986055,0.790772204627277,True,True,False,False,False
ABCA3,Stim48hr,120.0,185,-3.590194404121922,False,0.0166625801573003,,True,False,True,False,True
ABCB7,Stim8hr,26.0,231,-2.501646014124962,False,,,False,False,False,False,True
ABCC1,Rest,634.0,88,-19.25353182859481,False,0.1823622558466086,0.0844800120611531,True,True,True,True,False
ABCC1,Stim8hr,578.0,54,-25.20890566642898,False,0.3426701102439309,0.236320630903909,True,True,False,False,False
ABHD12,Rest,362.0,447,-13.256184913307983,False,0.2677715910186439,0.4907601787149974,True,True,False,False,False
ABHD13,Rest,578.0,214,-10.32301412275987,True,0.1597046196363877,-0.3015267537752877,True,True,True,True,False
ABHD13,Stim48hr,706.0,70,-8.610639786678513,False,0.4969254054154919,0.5543982154017626,True,True,False,False,False
ABHD13,Stim8hr,640.0,194,-12.601001868074416,True,0.1564783260249898,0.0277425750875321,True,True,True,True,False
ABHD14A,Rest,591.0,101,-6.765228932556235,False,0.8097620243311923,0.9587949619448304,True,True,False,False,False
ABHD17A,Stim48hr,439.0,67,0.0,False,0.4267914972420812,0.1664500815112666,True,True,False,True,False
ABHD17A,Stim8hr,441.0,123,0.0,False,0.1978093621350648,-0.1641629747940821,True,True,True,True,False
ABI3,Rest,41.0,1036,-3.2319428105331567,False,,,False,False,False,False,True
ABI3,Stim8hr,122.0,129,-5.44091023261793,True,0.5399263494163155,0.6767222555807155,True,True,False,False,True
ABT1,Stim8hr,70.0,53,0.0,False,0.0781251041968602,,True,False,True,False,True
ACACA,Stim48hr,904.0,913,-20.43050566625164,False,0.6688183740082098,0.915542950681722,True,True,False,False,False
ACAD11,Rest,501.0,610,-6.992464519773006,True,0.4800166617203278,0.6160282278807707,True,True,False,False,False
ACAD11,Stim48hr,366.0,170,-8.946814157951534,True,0.5502058720674433,0.8872316808279287,True,True,False,False,False
ACAD11,Stim8hr,378.0,411,-7.961079723779544,True,0.5041059539918894,0.4961544906623941,True,True,False,False,False
ACAD9,Stim48hr,688.0,607,-13.76778940119318,False,0.5880237121343609,0.8211816839465469,True,True,False,False,False
ACLY,Stim48hr,282.0,2432,-17.329000580256267,False,0.5895239131438289,0.7156443039767082,True,True,False,False,False
ACLY,Stim8hr,396.0,1321,-20.366812167232048,False,0.5383187474103898,0.7029417751051704,True,True,False,False,False
ACO2,Stim8hr,172.0,59,-2.8636806537558903,False,-0.2797887562969605,,True,False,True,False,True
ACOT7,Stim48hr,448.0,845,-8.368006158280217,False,0.4301467833457322,-0.1080481730840308,True,True,False,True,False
ACSL1,Stim48hr,191.0,110,-5.863651083620514,False,0.4121281361990106,0.2311310532567705,True,True,False,False,True
ACSL3,Stim48hr,585.0,54,-16.87301689443855,False,0.5222084830537157,0.9276681864404068,True,True,False,False,False
ACSL6,Rest,99.0,290,-3.319490041577084,False,0.4101089569013822,,True,False,False,False,True
ACSS1,Rest,964.0,357,-13.133535308140695,False,0.6581351838410221,,True,False,False,False,False
ACTB,Rest,535.0,213,0.0,False,0.5968633953949639,0.4992799437666621,True,True,False,False,False
ACTB,Stim48hr,705.0,94,0.0,False,0.4931794006632131,0.5499844122219418,True,True,False,False,False
ACTMAP,Rest,366.0,95,-5.59497672930169,False,,,False,False,False,False,False
ACTMAP,Stim48hr,430.0,51,-9.797592912671371,True,,,False,False,False,False,False
ACTR2,Rest,241.0,77,-21.039374180530096,False,0.599137633564233,0.3953191118313399,True,True,False,False,False
ACTR2,Stim48hr,164.0,1049,-17.546190766612302,False,0.4308878697436192,0.3662507505761537,True,True,False,False,True
ACTR2,Stim8hr,255.0,583,-18.894150489878704,False,0.5691382980639496,0.5472361088978289,True,True,False,False,False
ACTR3,Stim48hr,207.0,117,-6.552494204687509,False,0.3751085284315897,-0.2715446699848832,True,True,False,True,False
