target_contrast_gene_name,culture_condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation
CD3E,Stim8hr,234.0,3833,1878,5711,-17.891807119280895,True,340.9247386460533,False,0.7880160711069452,
LAT,Stim8hr,469.0,3734,1802,5536,-17.262825348106805,True,276.4419176203508,False,0.696844881625302,
TADA2B,Stim48hr,1178.0,3626,1634,5260,-17.33454831744466,True,31.26569550479424,False,0.7112656433906571,0.8695910071863481
SENP5,Stim8hr,2188.0,3363,1809,5172,-38.700746284832434,True,67.01293433471305,False,0.6487386775502312,0.1569622695112595
PLCG1,Stim8hr,421.0,3339,1694,5033,-14.101124295570235,True,97.9299000267981,False,0.735351086294003,0.8216743876295012
ZAP70,Stim8hr,144.0,3321,1701,5022,-12.174402170204049,True,290.76530274686684,False,0.7835501162583993,
LCP2,Stim8hr,153.0,3454,1528,4982,-7.147499177948063,True,205.2374623241206,False,0.7656418390628641,
VAV1,Stim8hr,504.0,3303,1595,4898,-15.097187610756944,True,72.46662038046257,False,0.6880584530316985,
SGF29,Stim48hr,993.0,3242,1627,4869,-10.869262510845196,True,13.97592437210439,False,0.6415564772244192,0.8547149976107745
UBXN1,Rest,592.0,2726,1714,4440,-6.741071079478915,True,49.59543117596324,False,0.1224822614962317,
CD247,Stim8hr,412.0,2971,1359,4330,-11.933472010237974,True,167.5185768467658,False,0.7169121804958944,0.7065782713786124
MED12,Stim8hr,219.0,2523,1619,4142,-8.788787110955338,True,48.63979043485457,False,0.7370848851627493,0.7760337300577285
CCNC,Stim48hr,3051.0,2454,1637,4091,-43.159386311488575,True,160.42707347149587,False,0.4126232658457596,0.4169825401144647
SGF29,Stim8hr,1062.0,2863,1185,4048,-15.133699051276723,True,24.076009232785083,False,0.6011538143897565,0.8270021147115773
SUPT20H,Stim8hr,934.0,2723,1225,3948,-18.60351722439309,True,45.01440370533524,False,0.6104108113162073,0.7964564555257438
BCAT2,Stim8hr,198.0,2736,942,3678,-5.669235678926915,True,48.06703588579499,False,0.6478241416562976,0.0609063093763718
TADA1,Stim8hr,510.0,2656,993,3649,-8.596299314782403,True,16.881763526885862,False,0.5805318701849504,0.7638765068828811
DENR,Stim8hr,806.0,2568,1069,3637,-30.85673328752525,True,132.83446773879405,False,0.4918727422626431,0.6679128292376592
VAV1,Stim48hr,321.0,1911,1664,3575,-10.859022341003556,True,79.07309734310732,False,0.6607359154750968,
PMVK,Stim48hr,212.0,1902,1626,3528,-10.625338298747694,True,66.85112572592892,False,0.6739181551185093,
ATP2A2,Rest,268.0,2361,1158,3519,-10.057253422470598,True,66.02400858983408,False,0.6598386913323104,0.7560757020787457
TAF6L,Stim48hr,672.0,2404,1082,3486,-5.318725007044031,True,6.338136487184944,False,0.5449062381046539,0.8196352335950897
