target_gene,directionality_index,binom_fdr,binom_p,footprint_class,signed_net,primary_rank,n_hits,neglog10fdr
FOXN2,0.9446640316205532,9.52013448931219e-186,3.0707281091689863e-188,net_derepressed_on_KO,717,1.0,759,185.0213569163683
MGA,0.9290322580645162,3.3205152792757253e-72,5.293974226474061e-74,net_derepressed_on_KO,288,2.0,310,71.47879451702434
SIK2,0.9183673469387756,3.305093447770672e-44,9.716383834106022e-46,net_derepressed_on_KO,180,3.0,196,43.480816256820574
ZNF274,0.9140271493212668,1.7852977703006805e-98,1.8756238670562856e-100,net_derepressed_on_KO,404,4.0,442,97.74828933741554
TMEM131L,0.912568306010929,9.452048347831532e-122,6.184641348226326e-124,net_derepressed_on_KO,501,5.0,549,121.02447406558996
TBC1D10A,0.8955223880597015,2.917611978659654e-28,1.2744890589666172e-29,net_derepressed_on_KO,120,6.0,134,27.53497246663453
THAP5,0.8881987577639752,3.067789599932497e-33,1.1591500654062512e-34,net_derepressed_on_KO,143,7.0,161,32.513174429182534
NFATC2IP,0.8863636363636364,4.24216240814798e-18,2.6897131479179897e-19,net_derepressed_on_KO,78,8.0,88,17.37241270884814
UBL7,0.8859060402684564,4.138024458180652e-61,8.504095974327576e-63,net_derepressed_on_KO,264,9.0,298,60.383206946724535
ALG3,0.8857142857142857,1.0609074580806552e-28,4.5561042803943e-30,net_derepressed_on_KO,124,10.0,140,27.97432249752915
TYK2,-0.8803418803418803,1.2866235886982649e-23,6.3673105440140825e-25,net_reduced_on_KO,-103,11.0,117,22.890548490594924
ZNF790,0.8785714285714286,3.2816066237815024e-56,7.530366319432256e-58,net_derepressed_on_KO,246,12.0,280,55.483913480370134
ZNF200,0.8677685950413223,1.456367029739022e-23,7.2744533233669705e-25,net_derepressed_on_KO,105,13.0,121,22.836729161490695
BCAP29,0.8677685950413223,1.456367029739022e-23,7.2744533233669705e-25,net_derepressed_on_KO,105,14.0,121,22.836729161490695
ZNF627,0.8620689655172413,3.5497556175879444e-11,3.169950413273171e-12,net_derepressed_on_KO,50,15.0,58,10.44980154485655
EOLA1,0.8615384615384616,7.3823753588257265e-25,3.4901470455051125e-26,net_derepressed_on_KO,112,16.0,130,24.131803876761282
CALR,0.8558558558558559,6.6139508164855654e-21,3.681528239938514e-22,net_derepressed_on_KO,95,17.0,111,20.17953903896697
ITM2A,0.8541666666666666,5.1179546922740496e-18,3.2591527899376733e-19,net_derepressed_on_KO,82,18.0,96,17.290903563111293
ANKAR,0.8482758620689655,7.412920489501956e-80,9.564177205144903e-82,net_derepressed_on_KO,369,19.0,435,79.13001065806735
RFX1,0.8470948012232415,1.2529957914891599e-119,8.429517351277177e-122,net_derepressed_on_KO,554,20.0,654,118.90205038769388
ERN1,-0.841726618705036,4.005912293394085e-75,5.90679169609302e-77,net_reduced_on_KO,-351,21.0,417,74.39729856350773
TMEM205,0.8360655737704918,1.694576999196318e-32,6.559048379526805e-34,net_derepressed_on_KO,153,22.0,183,31.7709386926476
PLA2G4A,0.835820895522388,8.409731116463007e-24,4.138601434145467e-25,net_derepressed_on_KO,112,23.0,134,23.075217889636473
TRIM39,-0.8320610687022901,5.008036107530333e-23,2.5614782413411992e-24,net_reduced_on_KO,-109,24.0,131,22.30033254855868
MAN2A1,0.8319327731092437,6.3310016994226105e-21,3.518195580823734e-22,net_derepressed_on_KO,99,25.0,119,20.198527569901405
WASL,0.8319327731092437,6.3310016994226105e-21,3.518195580823734e-22,net_derepressed_on_KO,99,26.0,119,20.198527569901405
KRCC1,0.8272425249169435,4.7986579108782905e-52,1.2249822516941172e-53,net_derepressed_on_KO,249,27.0,301,51.318880209166004
TP53RK,0.8271604938271605,4.1508780534286394e-14,3.167382755726581e-15,net_derepressed_on_KO,67,28.0,81,13.38186002535455
C2CD2L,0.8241758241758241,1.0677442396296029e-15,7.576841438713428e-17,net_derepressed_on_KO,75,29.0,91,14.971532762868899
MAGEH1,0.8214285714285714,4.007014819778049e-19,2.411372847954166e-20,net_derepressed_on_KO,92,30.0,112,18.39717905134421
DIPK1A,0.8194444444444444,2.173615683896314e-24,1.045643154542324e-25,net_derepressed_on_KO,118,31.0,144,23.66281724089259
PDIA6,0.8168316831683168,1.1067515191328584e-67,1.9481111432529343e-69,net_derepressed_on_KO,330,32.0,404,66.95594987323385
IFNGR2,-0.8157894736842105,7.807327351662163e-13,6.417967005513454e-14,net_reduced_on_KO,-62,33.0,76,12.107497610818477
TMEM131,0.8088235294117647,2.3718573202531075e-22,1.2393725007681432e-23,net_derepressed_on_KO,110,34.0,136,21.624911439629226
PCGF6,0.808,1.639345409991432e-20,9.245962500366384e-22,net_derepressed_on_KO,101,35.0,125,19.785329530963576
CYLD,0.8055555555555556,1.969719604200168e-23,9.874919036815883e-25,net_derepressed_on_KO,116,36.0,144,22.705595592628097
KLHDC10,0.8034682080924855,9.059463777621068e-56,2.1122885777699111e-57,net_derepressed_on_KO,278,37.0,346,55.04289750710377
ZNF589,0.8,6.582975734694517e-13,5.375095844566712e-14,net_derepressed_on_KO,64,38.0,80,12.181577745744576
NPHP4,0.7992277992277992,2.8953052492208527e-41,9.15205695772512e-43,net_derepressed_on_KO,207,39.0,259,40.53830564227723
GPR15,0.7975308641975308,4.226562415205235e-64,8.06283678875204e-66,net_derepressed_on_KO,323,40.0,405,63.37401271325427
LIN37,0.7939110070257611,7.610703589259127e-67,1.3536685952695704e-68,net_derepressed_on_KO,339,41.0,427,66.1185751920063
ELOC,0.7897897897897898,1.474954987218955e-51,3.792391866501598e-53,net_derepressed_on_KO,263,42.0,333,50.83122123331342
EXTL2,0.7857142857142857,5.300730759627519e-13,4.308584029113881e-14,net_derepressed_on_KO,66,43.0,84,12.275664254362072
UBAC1,0.7843137254901961,1.121246025192057e-15,7.966829650936098e-17,net_derepressed_on_KO,80,44.0,102,14.95029908351549
AKAP10,0.7821782178217822,1.98297661827951e-15,1.423591176518052e-16,net_derepressed_on_KO,79,45.0,101,14.702682406627805
KIF16B,0.7816377171215881,7.420687231728403e-61,1.5592265126108891e-62,net_derepressed_on_KO,315,46.0,403,60.12955587273624
PPDPF,0.7800095648015304,1.0201735e-313,1.03418196e-316,net_derepressed_on_KO,1631,47.0,2091,300.0
SPSB2,0.7777777777777778,1.340021917742721e-13,1.0521598690598086e-14,net_derepressed_on_KO,70,48.0,90,12.872888098144989
WDFY1,0.7777777777777778,2.9186502604828373e-12,2.4557438833479224e-13,net_derepressed_on_KO,63,49.0,81,11.534817943053255
BAHD1,0.7769230769230769,2.559981863642259e-77,3.515227146647282e-79,net_derepressed_on_KO,404,50.0,520,76.59176311146472
SLC17A5,0.7760314341846758,1.7054231974670243e-75,2.4832445415149744e-77,net_derepressed_on_KO,395,51.0,509,74.76816783396242
GNPAT,0.7748917748917749,2.931541696598139e-34,1.0833547325922528e-35,net_derepressed_on_KO,179,52.0,231,33.532903924275125
TRIB2,0.7735849056603774,2.4834134255276005e-31,9.841192267780556e-33,net_derepressed_on_KO,164,53.0,212,30.604950975379246
DIS3L2,0.7707362534948742,1.5675397360516168e-156,7.511940491630637e-159,net_derepressed_on_KO,827,54.0,1073,155.804781441292
EGLN1,0.7704918032786885,5.7691339365596434e-18,3.6844620938492617e-19,net_derepressed_on_KO,94,55.0,122,17.238889378318067
UBE2G2,0.7639198218262806,2.980837626029434e-64,5.631478327675182e-66,net_derepressed_on_KO,343,56.0,449,63.52566168047191
APPL2,0.7622080679405521,4.8826338076981535e-67,8.639440522330158e-69,net_derepressed_on_KO,359,57.0,471,66.31134584611515
R3HCC1L,0.7613636363636364,6.362202961018432e-75,9.439818235406575e-77,net_derepressed_on_KO,402,58.0,528,74.19639248055334
LRIG1,0.7588652482269503,5.051580602326836e-20,2.937560925323227e-21,net_derepressed_on_KO,107,59.0,141,19.29657271307632
NABP1,0.7579365079365079,8.409406638098185e-71,1.3949803657337326e-72,net_derepressed_on_KO,382,60.0,504,70.07523464663858
DCAF11,0.7575757575757576,2.7142654255696e-23,1.3707653241287816e-24,net_derepressed_on_KO,125,61.0,165,22.566347685333675
TMEM79,0.7571884984025559,2.0228048872588944e-131,1.1744236282122414e-133,net_derepressed_on_KO,711,62.0,939,130.6940460057479
P4HB,0.7566909975669099,1.42791623438633e-57,3.1713926134651693e-59,net_derepressed_on_KO,311,63.0,411,56.845297268757896
HDHD3,0.755656108597285,5.9860437831199104e-31,2.3997134325473787e-32,net_derepressed_on_KO,167,64.0,221,30.222860110967623
KLF10,0.7520661157024794,6.999947565604984e-17,4.715659082533631e-18,net_derepressed_on_KO,91,65.0,121,16.154905213136274
