flagship,direction,pathway_name,overlap,query_size,p_value,fdr,expression_artifact_flag,pathway_size_bg
BCL10,down,Metabolism of RNA,252,2037,2.6482225171300264e-67,2.8521356509490383e-64,True,452
BCL10,down,Processing of Capped Intron-Containing Pre-mRNA,114,2037,9.160189146491224e-33,4.932761855385524e-30,True,196
BCL10,down,Translation,88,2037,1.0210192412247188e-27,3.665459075996741e-25,True,144
BCL10,down,mRNA Splicing - Major Pathway,83,2037,1.5755379086094258e-25,4.2421358189308786e-23,True,138
BCL10,down,mRNA Splicing,83,2037,2.4181448844868903e-24,5.208684081184762e-22,True,142
BCL10,down,rRNA processing,46,2037,8.144243605368518e-22,1.4618917271636491e-19,True,59
BCL10,down,tRNA processing,57,2037,1.6156730106447635e-20,2.485828332092015e-18,True,87
BCL10,down,rRNA processing in the nucleus and cytosol,34,2037,2.2463394618647072e-17,3.024134500535362e-15,True,42
BCL10,down,Metabolism,393,2037,4.4193562233928245e-17,5.288496280660081e-15,False,1379
BCL10,down,Major pathway of rRNA processing in the nucleolus and cytosol,31,2037,9.005095639161273e-17,9.698488003376692e-15,True,37
BCL10,down,Metabolism of non-coding RNA,31,2037,3.9617383403761073e-16,3.5556601604875566e-14,False,38
BCL10,down,snRNP Assembly,31,2037,3.9617383403761073e-16,3.5556601604875566e-14,True,38
BCL10,down,Viral Infection Pathways,220,2037,7.195217765219098e-16,5.960961179339207e-14,False,679
BCL10,down,Mitochondrial protein import,39,2037,7.942253361282917e-16,6.109862050072645e-14,False,56
BCL10,down,mRNA 3'-end processing,55,2037,5.6443043064964556e-15,4.0526104920644554e-13,True,100
BCL10,down,mRNA Polyadenylation,49,2037,7.475138672426621e-15,5.031702718877168e-13,True,84
BCL10,down,Dengue Virus-Host Interactions,75,2037,1.085511896963782e-14,6.87703713547055e-13,False,161
BCL10,down,tRNA processing in the nucleus,30,2037,7.242250923503538e-14,4.3332801358962826e-12,True,40
BCL10,down,Metabolism of amino acids and derivatives,75,2037,3.63099298413775e-13,2.0581997073243975e-11,False,170
BCL10,down,Influenza Viral RNA Transcription and Replication,27,2037,4.077605980231729e-13,2.195790820354786e-11,False,35
BCL10,down,Dengue Virus Infection,97,2037,6.107783369758099e-13,3.132420328204511e-11,False,246
BCL10,down,Transport of Mature mRNA Derived from an Intronless Transcript,23,2037,2.158143688224695e-12,1.0105742400947808e-10,True,28
BCL10,down,Transport of Mature mRNAs Derived from Intronless Transcripts,23,2037,2.158143688224695e-12,1.0105742400947808e-10,True,28
