id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
Non-Targeting,593,-1.11E-97,3.66E-06,8.25E-04,1,0,0,4.46E-33,3.66E-06,4.50E-04,1,0,0
FOXO1,4,1,1,0.999996,1351,0,1.8202,2.09E-12,3.66E-06,4.50E-04,2,4,1.8202
PTEN,4,1,1,0.999996,1350,0,1.1306,8.68E-11,3.66E-06,4.50E-04,3,4,1.1306
GATA3,4,1,1,0.999996,1349,0,1.3949,5.77E-10,3.66E-06,4.50E-04,4,4,1.3949
NFKB2,4,1,1,0.999996,1348,0,0.97018,1.01E-09,3.66E-06,4.50E-04,5,4,0.97018
STAT5A,4,1,1,0.999996,1347,0,1.0031,1.66E-09,3.66E-06,4.50E-04,6,4,1.0031
ATXN7L3,4,1,1,0.999996,1346,0,0.99349,2.32E-09,3.66E-06,4.50E-04,7,4,0.99349
FOXP3,4,1,1,0.999996,1345,0,1.6654,3.15E-09,3.66E-06,4.50E-04,8,4,1.6654
STAT5B,4,1,1,0.999996,1344,0,0.95471,1.03E-08,3.66E-06,4.50E-04,9,4,0.95471
IKZF1,4,1,1,0.999996,1343,0,0.92887,1.57E-08,3.66E-06,4.50E-04,10,4,0.92887
FOXP1,4,1,1,0.999996,1342,0,0.61769,1.90E-08,3.66E-06,4.50E-04,11,4,0.61769
NR4A3,4,1,1,0.999996,1341,0,0.56291,2.43E-06,1.10E-05,0.001238,12,4,0.56291
IRF4,4,1,1,0.999996,1340,0,0.82918,4.46E-06,1.83E-05,0.001768,13,4,0.82918
YY1,4,0.93444,0.93473,0.999996,1218,0,0.64879,4.77E-06,1.83E-05,0.001768,14,3,0.64879
BCL11B,4,0.99938,0.99945,0.999996,1325,0,0.59279,7.05E-06,3.30E-05,0.00297,15,4,0.59279
ZBTB32,4,0.98443,0.98476,0.999996,1297,0,0.38503,1.08E-05,5.50E-05,0.004641,16,3,0.38503
GABPA,4,0.99999,1,0.999996,1339,0,0.57008,1.46E-05,7.70E-05,0.005472,17,4,0.57008
SETDB1,4,0.99998,0.99999,0.999996,1338,0,0.31383,1.85E-05,7.70E-05,0.005472,18,4,0.31383
