gene_name,Category
CCL20,Cytokine
CCL3,Cytokine
CCL4,Cytokine
CCL5,Cytokine
CD40LG,Cytokine
CSF1,Cytokine
CSF2,Cytokine
CXCL13,Cytokine
CXCL8,Cytokine
IFNG,Cytokine
IL10,Cytokine
IL13,Cytokine
IL16,Cytokine
IL17A,Cytokine
IL17F,Cytokine
IL2,Cytokine
IL21,Cytokine
IL22,Cytokine
IL23A,Cytokine
IL24,Cytokine
IL3,Cytokine
IL31,Cytokine
IL32,Cytokine
IL4,Cytokine
IL5,Cytokine
IL6,Cytokine
LTA,Cytokine
LTB,Cytokine
MYDGF,Cytokine
TGFB1,Cytokine
TNF,Cytokine
TNFSF10,Cytokine
TNFSF14,Cytokine
TNFSF8,Cytokine
VEGFA,Cytokine
VEGFB,Cytokine
GZMB,Others
PRF1,Others
AHR,Receptor
ANXA1,Receptor
BTLA,Receptor
CCR4,Receptor
CCR6,Receptor
CCR7,Receptor
CCR8,Receptor
CD274,Receptor
CD38,Receptor
CD4,Receptor
CD5,Receptor
CD69,Receptor
CD8A,Receptor
CTLA4,Receptor
CXCR3,Receptor
CXCR4,Receptor
CXCR5,Receptor
FGFR1,Receptor
ICOS,Receptor
IFNGR1,Receptor
IFNGR2,Receptor
IL12RB1,Receptor
IL17RA,Receptor
IL17RB,Receptor
IL1R1,Receptor
IL21R,Receptor
IL2RA,Receptor
IL2RG,Receptor
IL4R,Receptor
IL6R,Receptor
IL7R,Receptor
ITGA4,Receptor
LAG3,Receptor
NOTCH1,Receptor
NOTCH2,Receptor
PDCD1,Receptor
SLAMF7,Receptor
TGFBR2,Receptor
TIGIT,Receptor
TNFRSF14,Receptor
TNFRSF18,Receptor
TNFRSF1B,Receptor
TNFRSF25,Receptor
TNFRSF4,Receptor
TNFRSF9,Receptor
DPP4,Receptor
ATXN7L3,TF
BATF,TF
BCL6,TF
CBFB,TF
ETS1,TF
FOXK1,TF
FOXP1,TF
FOXP3,TF
GATA3,TF
HIVEP2,TF
IKZF1,TF
IKZF2,TF
IRF1,TF
IRF4,TF
JAK3,TF
JUN,TF
KLF2,TF
KMT2A,TF
MAF,TF
MBD2,TF
MED12,TF
MYB,TF
NFIL3,TF
RORC,TF
RUNX3,TF
SATB1,TF
TBX21,TF
TCF7,TF
YY1,TF
ZNF217,TF
FOXO1,TF
BCL11B,TF
BACH2,TF
