"query","pmid","title","journal","pubdate","doi"
"Perturb-seq single-cell CRISPR screen","27984732","Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens.","Cell","2016 Dec 15","10.1016/j.cell.2016.11.038"
"Perturb-seq single-cell CRISPR screen","27984733","A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response.","Cell","2016 Dec 15","10.1016/j.cell.2016.11.048"
"Perturb-seq single-cell CRISPR screen","35688146","Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq.","Cell","2022 Jul 7","10.1016/j.cell.2022.05.013"
"Perturb-seq single-cell CRISPR screen","32231336","Combinatorial single-cell CRISPR screens by direct guide RNA capture and targeted sequencing.","Nature biotechnology","2020 Aug","10.1038/s41587-020-0470-y"
"Perturb-seq single-cell CRISPR screen","31422865","CRISPR Interference-Based Platform for Multimodal Genetic Screens in Human iPSC-Derived Neurons.","Neuron","2019 Oct 23","10.1016/j.neuron.2019.07.014"
"Perturb-seq single-cell CRISPR screen","38772369","Massively parallel in vivo Perturb-seq reveals cell-type-specific transcriptional networks in cortical development.","Cell","2024 Jun 20","10.1016/j.cell.2024.04.050"
"Perturb-seq single-cell CRISPR screen","32483332","Targeted Perturb-seq enables genome-scale genetic screens in single cells.","Nature methods","2020 Jun","10.1038/s41592-020-0837-5"
"Perturb-seq single-cell CRISPR screen","41544628","Single-cell screens identify ADAM12 as a fibroblast checkpoint impeding anti-tumor immunity.","Cancer cell","2026 Feb 9","10.1016/j.ccell.2025.12.018"
"SCEPTRE single-cell CRISPR screen","34930414","SCEPTRE improves calibration and sensitivity in single-cell CRISPR screen analysis.","Genome biology","2021 Dec 20","10.1186/s13059-021-02545-2"
"SCEPTRE single-cell CRISPR screen","38760839","Robust differential expression testing for single-cell CRISPR screens at low multiplicity of infection.","Genome biology","2024 May 17","10.1186/s13059-024-03254-2"
"SCEPTRE single-cell CRISPR screen","42229614","Enhancing statistical accuracy in gene perturbation studies.","Bio Systems","2026 Jun 1","10.1016/j.biosystems.2026.105819"
"SCEPTRE single-cell CRISPR screen","38659821","Robust differential expression testing for single-cell CRISPR screens at low multiplicity of infection.","bioRxiv : the preprint server for biology","2024 Apr 18","10.1101/2023.05.15.540875"
"Mixscape single-cell CRISPR screen","34930414","SCEPTRE improves calibration and sensitivity in single-cell CRISPR screen analysis.","Genome biology","2021 Dec 20","10.1186/s13059-021-02545-2"
"Mixscape single-cell CRISPR screen","38760839","Robust differential expression testing for single-cell CRISPR screens at low multiplicity of infection.","Genome biology","2024 May 17","10.1186/s13059-024-03254-2"
"Mixscape single-cell CRISPR screen","42229614","Enhancing statistical accuracy in gene perturbation studies.","Bio Systems","2026 Jun 1","10.1016/j.biosystems.2026.105819"
"Mixscape single-cell CRISPR screen","38659821","Robust differential expression testing for single-cell CRISPR screens at low multiplicity of infection.","bioRxiv : the preprint server for biology","2024 Apr 18","10.1101/2023.05.15.540875"
"single-cell RNA-seq batch correction integration benchmark","31948481","A benchmark of batch-effect correction methods for single-cell RNA sequencing data.","Genome biology","2020 Jan 16","10.1186/s13059-019-1850-9"
"single-cell RNA-seq batch correction integration benchmark","37961672","Integrating single-cell RNA-seq datasets with substantial batch effects.","bioRxiv : the preprint server for biology","2024 Feb 10","10.1101/2023.11.03.565463"
"single-cell RNA-seq batch correction integration benchmark","33839756","iSMNN: batch effect correction for single-cell RNA-seq data via iterative supervised mutual nearest neighbor refinement.","Briefings in bioinformatics","2021 Sep 2","10.1093/bib/bbab122"
"single-cell RNA-seq batch correction integration benchmark","41168710","Integrating single-cell RNA-seq datasets with substantial batch effects.","BMC genomics","2025 Oct 30","10.1186/s12864-025-12126-3"
"single-cell RNA-seq batch correction integration benchmark","36944632","Benchmarking integration of single-cell differential expression.","Nature communications","2023 Mar 21","10.1038/s41467-023-37126-3"
"single-cell RNA-seq batch correction integration benchmark","38287014","Semi-supervised integration of single-cell transcriptomics data.","Nature communications","2024 Jan 29","10.1038/s41467-024-45240-z"
"single-cell RNA-seq batch correction integration benchmark","40537825","scExtract: leveraging large language models for fully automated single-cell RNA-seq data annotation and prior-informed multi-dataset integration.","Genome biology","2025 Jun 19","10.1186/s13059-025-03639-x"
"single-cell RNA-seq batch correction integration benchmark","34903266","CIDER: an interpretable meta-clustering framework for single-cell RNA-seq data integration and evaluation.","Genome biology","2021 Dec 13","10.1186/s13059-021-02561-2"
"Perturb-CITE-seq single-cell CRISPR","33649592","Multimodal pooled Perturb-CITE-seq screens in patient models define mechanisms of cancer immune evasion.","Nature genetics","2021 Mar","10.1038/s41588-021-00779-1"
