landmark_gene,SENP5,PLCG1,CCNC,PMVK
PSME1,0.27674842,-0.20066991,-0.24924003,-0.72325
ATF1,0.0024636388,0.09137577,-1.0821457,-1.0966
RHEB,0.19473988,0.06655,-0.07949786,-0.8957
FOXO3,-0.06173026,0.005617507,-0.026094913,0.71075
RHOA,-0.5015825,-0.30972502,0.08873716,-0.83455
IL1B,0.24767187,0.072050005,0.37900385,0.7845
ASAH1,-0.14412652,-0.10634595,0.02780135,-0.42174995
RALA,0.082547754,-0.3690613,0.21419516,-0.64909995
ARHGEF12,0.05043082,-0.13697912,0.27132455,-0.45990002
SOX2,0.07931869,0.041020807,0.7956814,0.46194997
SERPINE1,-0.014735833,0.14054684,-0.20801689,-0.36515
HLA-DMA,0.11184309,0.15092649,0.109161705,0.14005
EGF,0.2894785,0.32289404,0.6241115,1.05305
APP,-0.047445904,0.06339645,0.32054108,0.060450017
NOS3,-0.06759882,-0.19334835,0.23026787,0.88715005
CSNK1A1,0.11220093,0.27630377,-0.56887984,0.2839
NFATC4,-0.08071789,-0.062621936,0.60593015,0.16184999
TBP,0.060550645,0.35657498,-0.377043,-0.6499
BRCA1,-0.1023719,0.115150005,0.0028394908,0.27960002
PSMD4,-0.1422641,-0.6346462,-0.34642917,-0.14389998
ETV1,-0.09534029,-0.014834538,0.3276054,0.13505
TERT,0.08206046,-0.11295516,0.47745752,0.7232
EED,-0.044967547,0.16016337,0.39183378,-0.52954996
PTK2B,-0.091917574,0.03233224,0.45149782,0.64605
HSPB1,-0.23034456,0.093524985,-0.33511806,1.1423
PIK3C3,-0.05815377,0.067239754,-0.11038257,0.16489998
CBLB,0.620141,-0.27915,0.8884646,0.63725
DFFB,0.20669505,0.22936893,0.54406786,0.5068
TGFB3,0.043974288,0.019600004,0.13879395,0.016000003
PRKX,0.03412573,0.17455716,0.684698,0.85415006
CCND1,-0.5401968,0.210265,-0.8063977,0.03274998
NFKBIB,-0.15055558,-0.06047125,0.7975524,0.6792
GLI2,0.39392564,-0.32179308,0.2613998,0.15754999
PIK3CA,0.2765075,-0.047275,0.79710305,0.61245
RPS6,0.023630975,-0.050357297,-0.052091666,0.0
DFFA,-0.08356169,-0.11658394,0.23820037,0.5008
SUZ12,-1.1498132,-0.16960001,-1.4443707,0.1345
TICAM1,0.1746892,0.046937786,0.24042076,-0.37420002
EDN1,0.19397819,0.29783374,0.3522182,0.44715002
SQSTM1,-0.02586269,-0.2818594,-0.77612925,0.22625
HIF1A,-0.3610962,-0.088423036,0.036206696,0.051100016
PTGS2,0.03212565,0.14805475,0.4203118,0.39124995
PLA2G4A,-0.19943386,0.200575,0.27115124,0.17959999
MAT2A,0.1855168,0.46922806,-0.11212146,0.74865
EIF4G1,0.21795858,-0.13112727,-0.063332744,0.0291
BTK,0.06591332,-0.03702207,0.1008044,-0.19870001
MYL9,0.079402104,-0.06419167,0.38555193,0.67355
PSMD2,-0.296238,0.03374839,-0.2758167,0.36735
CLTC,-0.3073765,-0.24632147,0.33130646,-0.30229998
ALDOA,-0.5440477,-0.4601,-0.15717965,-0.61574996
STAT5B,0.2876786,0.010624766,-0.056434184,0.14335
ETS1,0.16365312,0.07624969,-0.014967438,0.49855
HSPD1,-0.080604255,-0.09340429,-0.25831407,-1.4851501
CEBPA,-0.21715064,-0.0009249989,0.12555772,-0.35895002
PSMF1,-0.026318759,0.08062499,0.6302954,1.36965
ATF6,0.31041405,-0.14053465,0.05268214,0.16250002
RALB,-0.05285138,0.17189986,-0.7561454,-0.50119996
PPARD,0.2894538,-0.052736983,0.255839,0.3315
STAT3,-0.15089083,-0.49104735,0.0,0.0076999962
