target_contrast_gene_name,max_de,mean_de,conditions_with_gt10,max_cells,any_offtarget,ontarget_sig_conditions,target_class
ZAP70,5022,2530.3333333333335,3,144.0,False,3,kinase
ATP2A2,3519,2781.6666666666665,3,268.0,False,3,transporter
SMG1,2684,2141.0,3,484.0,False,3,kinase
LCK,2414,1213.0,3,116.0,False,3,kinase
SLC24A1,1971,1938.0,3,658.0,False,0,transporter
SIK3,1810,915.3333333333334,3,344.0,False,3,kinase
SLC35B1,1542,759.3333333333334,3,156.0,False,3,transporter
INSR,1366,607.6666666666666,3,2084.0,False,2,kinase
SLC31A1,1344,810.0,3,308.0,True,3,transporter
SLC5A6,1272,655.0,3,543.0,True,1,transporter
STK11,1171,887.3333333333334,3,218.0,False,3,kinase
ATP5F1A,1021,410.6666666666667,3,399.0,True,3,transporter
CDK13,890,706.6666666666666,3,752.0,False,3,kinase
SCYL3,882,547.6666666666666,3,304.0,False,3,kinase
XPR1,814,394.0,3,547.0,False,3,transporter
NRBP1,751,588.0,3,329.0,False,3,kinase
IL12RB2,751,380.3333333333333,3,1115.0,False,3,cytokine_receptor
RELL2,739,559.0,3,166.0,True,2,cytokine_receptor
ATP5ME,733,399.6666666666667,3,252.0,True,3,transporter
SFXN1,713,315.0,3,875.0,False,3,transporter
ATP5MF,689,265.6666666666667,3,269.0,False,3,transporter
ATP8B1,662,426.6666666666667,3,404.0,False,0,transporter
LTB4R,643,384.3333333333333,3,1511.0,True,3,gpcr
LMTK2,600,233.33333333333334,3,614.0,False,3,kinase
RAB11FIP1,588,341.6666666666667,3,1642.0,False,3,gpcr
CSK,548,307.6666666666667,3,1247.0,False,3,kinase
ATP2B1,486,190.33333333333334,3,254.0,False,2,transporter
LRRC8A,448,159.33333333333334,3,1611.0,False,3,ion_channel
RIPK1,438,253.66666666666666,3,392.0,False,3,kinase
RXRB,422,282.0,3,470.0,False,2,nuclear_receptor
TNK1,416,168.0,3,284.0,False,0,kinase
SLC9A5,415,276.6666666666667,3,559.0,True,0,transporter
IL21,402,210.33333333333334,3,651.0,False,2,cytokine
LETM2,386,150.33333333333334,3,491.0,False,2,transporter
WNK1,377,269.3333333333333,3,569.0,False,3,kinase
GDF9,351,169.66666666666666,3,192.0,True,0,cytokine
PAN3,350,208.33333333333334,3,806.0,False,3,kinase
DAPK2,350,124.66666666666667,3,138.0,False,1,kinase
KCNA2,332,125.66666666666667,3,911.0,False,1,ion_channel
ATP1B3,329,235.66666666666666,3,228.0,False,3,transporter
GPR15,321,135.0,3,1447.0,False,3,gpcr
SLC25A10,315,214.0,3,296.0,False,1,transporter
PDPK1,310,187.33333333333334,3,158.0,False,3,kinase
SLC39A6,289,141.0,3,1340.0,True,3,transporter
NR2C2,285,253.66666666666666,3,463.0,False,3,nuclear_receptor
