"search_term","nctId","status","phases","title","conditions","interventions","url"
"abatacept","NCT00547521","COMPLETED","PHASE3","Phase IIIB Subcutaneous Abatacept Monotherapy Study","Rheumatoid Arthritis (RA)","abatacept; Methotrexate (MTX)","https://clinicaltrials.gov/study/NCT00547521"
"abatacept","NCT01299961","COMPLETED","PHASE3","Ultrasound Scores as Indication of Response to Subcutaneous Abatacept in Subjects With Rheumatoid Arthritis","Rheumatoid Arthritis","abatacept","https://clinicaltrials.gov/study/NCT01299961"
"abatacept","NCT01714817","TERMINATED","PHASE3","Efficacy and Safety Study of Abatacept to Treat Lupus Nephritis","Lupus Nephritis","BMS-188667; Mycophenolate mofetil; Prednisone; Placebo matching with BMS-188667","https://clinicaltrials.gov/study/NCT01714817"
"abatacept","NCT01773707","COMPLETED","PHASE2","CTLA4-Ig (Abatacept)for Prevention of Abnormal Glucose Tolerance and Diabetes in Relatives At -Risk for Type 1","Abnormal Glucose Tolerance; Type 1 Diabetes","CTLA4-Ig (Abatacept); Placebo","https://clinicaltrials.gov/study/NCT01773707"
"abatacept","NCT02103855","COMPLETED","PHASE4","Switch From Calcineurin Inhibitor to Belatacept in Pancreas Transplant Recipients","Nephrotoxicity","Belatacept","https://clinicaltrials.gov/study/NCT02103855"
"abatacept","NCT02281058","UNKNOWN","PHASE1","Open-label Pilot Study of Abatacept for the Treatment of Vitiligo","Vitiligo","Abatacept","https://clinicaltrials.gov/study/NCT02281058"
"abatacept","NCT02314403","COMPLETED","PHASE1","Renal Allograft Tolerance Through Mixed Chimerism (Belatacept)","Kidney Failure, Chronic; Renal Insufficiency","Belatacept; ATG; Rituximab; Total Body Irradiation; Thymic Irradiation; Combined Bone Marrow/Kidney Transplantation","https://clinicaltrials.gov/study/NCT02314403"
"abatacept","NCT04177095","COMPLETED","PHASE4","Immune Monitoring to Facilitate Belatacept Monotherapy","Kidney Transplant Rejection; Immunosuppression","Allosure; Immunosuppression reduction; Trugraf","https://clinicaltrials.gov/study/NCT04177095"
"abatacept","NCT04251741","UNKNOWN","PHASE4","Using Adalimumab Serum Concentration to Choose a Subsequent Biological DMARD in Rheumatoid Arthritis Patients Failing Adalimumab Treatment","Rheumatoid Arthritis","Adalimumab trough concentration; Usual care","https://clinicaltrials.gov/study/NCT04251741"
"abatacept","NCT04909801","ACTIVE_NOT_RECRUITING","PHASE3","A Study to Compare the Response to Treatment With Abatacept vs Adalimumab, on Background Methotrexate, in Adults With Early, Seropositive, and Shared Epitope-positive Rheumatoid Arthritis and an Inadequate Response to Methotrexate","Rheumatoid Arthritis","Abatacept; Adalimumab; Methotrexate","https://clinicaltrials.gov/study/NCT04909801"
"amlitelimab","NCT05131477","COMPLETED","PHASE2","Study Testing Response Effect of KY1005 Against Moderate-to-Severe Atopic Dermatitis, The STREAM-AD Study","Eczema; Atopic Dermatitis","Amlitelimab; Placebo","https://clinicaltrials.gov/study/NCT05131477"
"amlitelimab","NCT05492578","ENROLLING_BY_INVITATION","PHASE2;PHASE3","Long-Term Safety and Efficacy Evaluation of Amlitelimab in Participants of Previous Amlitelimab Moderate to Severe Atopic Dermatitis Clinical Trials","Dermatitis Atopic","Amlitelimab; Topical corticosteroids; Topical calcineurin inhibitors; Oral corticosteroids","https://clinicaltrials.gov/study/NCT05492578"
