variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
TMEM62,155.34097070194693,-2.0324392232284705,0.05319427839849397,-38.207854010216494,0.0,0.0,Th2_vs_Th1,-38.207854010216494
STOM,1518.8267745628552,-3.762299190387865,0.07399870007574266,-50.842774083016295,0.0,0.0,Th2_vs_Th1,-50.842774083016295
TIAM1,1241.828778877987,1.9685996676273172,0.051734518171084425,38.0519571307733,0.0,0.0,Th2_vs_Th1,38.05195713077331
LYAR,416.14575817958735,-2.60552119094972,0.056090248352648545,-46.45230262787183,0.0,0.0,Th2_vs_Th1,-46.45230262787184
GBP5,2429.9526099959817,-2.782547551310654,0.0746503735208464,-37.27439555990456,4.266396841175615e-304,1.747460478732064e-300,Th2_vs_Th1,-37.27439555990456
CBLB,819.5025528116262,-1.298024212384559,0.03482372309251354,-37.27413662623599,4.307803472777182e-304,1.747460478732064e-300,Th2_vs_Th1,-37.274136626235986
IKZF3,1740.0715747694974,-1.7354148350089933,0.04658785460844527,-37.25037028630213,1.0450527115276846e-303,3.6336482779817595e-300,Th2_vs_Th1,-37.25037028630213
DENND5A,1132.772589539144,2.118524288762779,0.05731591334107952,36.962235534060454,4.632498084654363e-299,1.4093796360300317e-295,Th2_vs_Th1,36.96223553406045
IFNGR2,382.9555104992332,2.096782314663224,0.05795525284011772,36.17933167244837,1.286949362816044e-286,3.480340060175522e-283,Th2_vs_Th1,36.17933167244836
PKIA,666.6463141621858,1.857916449249124,0.05195908711419005,35.75729583481705,5.095700052124504e-280,1.240242435686583e-276,Th2_vs_Th1,35.75729583481705
CCR4,795.2792589768769,5.271283164934343,0.1505873891637563,35.00481145338196,1.9008500112399075e-268,4.2058898566880093e-265,Th2_vs_Th1,35.00481145338196
YARS,997.317880062985,-1.198389315484925,0.034657723385430446,-34.57784292861859,5.440355865097863e-262,1.103440178338474e-258,Th2_vs_Th1,-34.57784292861858
AP002884.3,150.77004260134052,3.632220208542727,0.10525485726060178,34.50881320896829,5.916651426121304e-261,1.1077336850797418e-257,Th2_vs_Th1,34.50881320896829
IFNG-AS1,86.19123732051816,-8.612078083669589,0.25442457611121233,-33.84923821158352,3.7240651865452926e-251,6.474287326808991e-248,Th2_vs_Th1,-33.849238211583526
GZMK,752.977273980614,-9.83285805562494,0.29142746619361576,-33.740327169753726,1.4821411575470576e-249,2.4049222422358553e-246,Th2_vs_Th1,-33.740327169753726
TBX21,285.557570155754,-7.244325140131206,0.21544566845631816,-33.62483540299164,7.27458169271862e-248,1.1066002738692405e-244,Th2_vs_Th1,-33.62483540299164
BTBD11,371.57611085622597,-2.577705153352813,0.07669903836222464,-33.608050484011926,1.2796017764148203e-247,1.8320133903623713e-244,Th2_vs_Th1,-33.608050484011926
ZC2HC1A,168.42615149013406,2.581587294342739,0.07719740480664017,33.44137410848147,3.435351385962573e-245,4.645167632385726e-242,Th2_vs_Th1,33.44137410848146
GZMA,852.4946286208731,-5.4179000871657275,0.1658809426680178,-32.6613774917395,5.524551619818094e-234,7.076950624986978e-231,Th2_vs_Th1,-32.6613774917395
LAG3,104.3358094418425,-3.9169422407643513,0.12234295640711669,-32.01608295070187,6.513384643084091e-225,7.926463441401186e-222,Th2_vs_Th1,-32.01608295070187
SNED1,187.8635727231439,2.9705111155241113,0.09510992304001573,31.232399528641448,3.871143134550313e-214,4.486654892943813e-211,Th2_vs_Th1,31.232399528641444
IL6R,1420.1877407329637,1.1849874613966502,0.038935489822563285,30.434636029927244,1.9132232426946624e-203,2.1166336592702448e-200,Th2_vs_Th1,30.434636029927248
C1orf162,1312.9838272133265,1.837153996711505,0.060646319549513605,30.292918191211808,1.4210063717027294e-201,1.5037336556901187e-198,Th2_vs_Th1,30.292918191211808
CCR10,56.858546593464084,4.253773197523443,0.14124362089330955,30.116568597010072,2.94060442797825e-199,2.9821404655234426e-196,Th2_vs_Th1,30.116568597010076
ADRB2,152.1163452464553,-6.79048353159588,0.22594924993497528,-30.05313597433971,1.9867397179493365e-198,1.934210319806756e-195,Th2_vs_Th1,-30.05313597433971
SEMA5A,86.75434753258443,8.01715565498192,0.2698807372921557,29.7062907691076,6.368552625743626e-194,5.961700090691312e-191,Th2_vs_Th1,29.706290769107603
DNAJC1,188.743715253959,-1.5014178013592636,0.05071656854373479,-29.604088850461856,1.323735796943801e-192,1.1932742800672287e-189,Th2_vs_Th1,-29.604088850461856
PAM,469.6454081394928,-1.9841568985582343,0.06711496655443823,-29.563553413214425,4.3974203710052695e-192,3.82245765749633e-189,Th2_vs_Th1,-29.563553413214425
