variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
PALLD,2319.437223926235,-2.524291512821568,0.16164038607287914,-15.616712964812121,5.602013139710018e-55,5.493334084799644e-51,Th2
KCNN4,4360.986659445633,-0.8732095531396601,0.0648304716903713,-13.469122318129767,2.3767438875674625e-41,1.1653175280743268e-37,Th2
KCTD15,725.5279538488942,-1.9590720991583832,0.15312649810034068,-12.793815070952926,1.7753975947564793e-37,5.803182938060678e-34,Th2
SEMA5A,434.23358974546505,7.267460454248237,0.5709469066619977,12.728785057680671,4.0915630060223004e-37,1.003046670926367e-33,Th2
ACOXL,261.3286599175412,3.6726837173148073,0.2944313708402784,12.473819304082058,1.0373238043686613e-35,2.0343994451278186e-32,Th2
SCPEP1,6651.202378128004,1.6570092606589308,0.1341826169874656,12.348911489881859,4.937494931294054e-35,8.069512549378249e-32,Th2
IKZF2,522.3230162667426,2.1272525533367355,0.17509850155925075,12.148890678067309,5.814922275906994e-34,8.145875405363427e-31,Th2
ABHD6,1598.1045409026997,1.7770737470053544,0.1507617058050639,11.78730193795449,4.538484253193263e-32,5.563047073351642e-29,Th2
MAST4,6858.404233632555,-1.1323814437887276,0.09875965818086628,-11.466032433151083,1.9541509053310712e-30,2.1291559752973875e-27,Th2
GDPGP1,1244.8132044148301,0.9292817768242893,0.08191206949150406,11.344869963524417,7.86430628032002e-30,7.711738738481812e-27,Th2
OGDHL,251.716006459291,4.6667601543028105,0.42204183286020747,11.057577213793822,2.0146603950185553e-28,1.7959781666865412e-25,Th2
AUH,4142.015707922007,1.3849790340474601,0.12600129997555568,10.991783690455154,4.185711408586701e-28,3.420423839383432e-25,Th2
EOMES,1219.1838196979961,3.9646245514971903,0.3744226650763555,10.588633972488523,3.3646594821083875e-26,2.5379885293503726e-23,Th2
IFNG,29184.11224734922,-2.9337904205916794,0.2809535361059116,-10.442261952829535,1.5897676202941563e-25,1.1135186631860355e-22,Th2
FAT1,222.959461647987,5.502698579044512,0.5393606297293831,10.202262226305647,1.93707134157839e-24,1.2234254153495213e-21,Th2
