variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
PALLD,786.3241949535367,-2.6704220391303553,0.17958473387615015,-14.869983553123177,5.162602073170788e-50,4.660797151658587e-46,Th2
SEMA5A,148.63897454894771,6.7915405322203455,0.5586551802691939,12.156945414786575,5.269232772278203e-34,2.3785316734063807e-30,Th2
MYL9,172.03431322349115,2.6615133787064646,0.22321247596697769,11.923676609815539,8.90884562443232e-33,2.6809686099125e-29,Th2
ABHD6,548.3396354206375,1.8437852532586334,0.1604123416007898,11.494036149956402,1.413499431307661e-30,3.1902682164613908e-27,Th2
SCPEP1,2212.8866834933183,1.6501172312438452,0.14449803584235768,11.419651634878038,3.3356832134409985e-30,6.022909610189067e-27,Th2
EOMES,388.1489753452049,3.929638688755282,0.3514471041709211,11.18130905652351,5.0341869930511456e-29,7.574773362210957e-26,Th2
MAST4,2312.250143361437,-1.1929168724362345,0.11090323926874848,-10.756375380032633,5.530277756275102e-27,7.132478226235946e-24,Th2
IKZF2,171.5620817497575,2.012639291977412,0.19179982336711762,10.493436629110375,9.25978475985734e-26,1.0449667101499009e-22,Th2
KCNN4,1445.1964731424596,-0.859772571368172,0.08372145520385682,-10.269441319129921,9.676338977761905e-25,9.706443143470497e-22,Th2
TNF,1101.0172929688993,-1.6175437700356095,0.1617175983836031,-10.002274249699813,1.4893667382379076e-23,1.344600291281183e-20,Th2
ASB9,558.2997163427171,-1.8740298800022703,0.1880895315429724,-9.963499109327703,2.201741669593251e-23,1.807029435735261e-20,Th2
PECAM1,267.4491020600447,2.1282677617178725,0.2142476492063305,9.933680810977071,2.9708207581771525e-23,2.235047483735278e-20,Th2
PPP1R14C,204.30813472919627,-2.7387119809879934,0.27849494709916234,-9.833973684315476,8.038299641413808e-23,5.582289935591067e-20,Th2
KIAA1217,543.0489112392802,-3.2157507144061594,0.3300763239456376,-9.742445856055348,1.9871296705830388e-22,1.281414761858834e-19,Th2
KCTD15,230.005395996542,-1.9233231660907988,0.20036319083879328,-9.599184151734995,8.057969875597776e-22,4.849823469126448e-19,Th2
LIMA1,6283.836603387423,1.5648678179371096,0.16355498847212258,9.567839125884175,1.091633362821835e-21,6.159541249722205e-19,Th2
ABCG2,766.0011779506423,1.8503229014945954,0.19574578818869892,9.452683087673305,3.302546219718981e-21,1.753846310095468e-18,Th2
CD9,1543.7934691476498,-1.4821699008642237,0.161507928776693,-9.177072061356988,4.4297185312084984e-20,2.221749938875018e-17,Th2
CYP7B1,209.99152575518283,4.348636273322529,0.4768071914813536,9.120324422566076,7.489977760387087e-20,3.5458665967013376e-17,Th2
BCAR3,149.5560004630217,2.4383277020414775,0.2675023837054444,9.115162520295147,7.855264946170443e-20,3.5458665967013376e-17,Th2
AUH,1359.8606368065923,1.3749531241972401,0.1520508570506328,9.042718672341204,1.5282279372607244e-19,6.569924675042772e-17,Th2
