variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
INAVA,2692.798411171362,10.155596922667971,0.35379755437340554,28.704542462578857,3.348344678571956e-181,3.348344678571956e-177,Treg
FNBP1L,967.8681661886576,7.920543595318927,0.29064249668303765,27.251842678590585,1.5803573194122248e-163,7.901786597061124e-160,Treg
APOD,15161.27248671783,10.769330142271754,0.5313936705983072,20.266199501673288,2.556544212090307e-91,8.521814040301024e-88,Treg
CYS1,684.1183971417968,5.587264899707523,0.2793506920991763,20.000898718818664,5.4088991760878456e-89,1.3522247940219615e-85,Treg
CYTH3,409.8154915913155,3.4855721554767998,0.17817317836916885,19.562833123259505,3.207507069205047e-85,6.415014138410094e-82,Treg
HOPX,18566.196549057986,-4.136394920484487,0.2160180704308017,-19.14837454216369,9.985516243536826e-82,1.6642527072561378e-78,Treg
COL6A1,486.2389979428207,6.385697782833234,0.35639037353392544,17.91770557524716,8.5794387255088e-72,1.2256341036441143e-68,Treg
CFH,384.7923503655503,-4.433599076764403,0.2483064624606869,-17.855351136768547,2.626238222975745e-71,3.2827977787196812e-68,Treg
PPP1R14C,621.9201495237311,-5.33166605938711,0.3010095350291819,-17.71261517968267,3.351330461726727e-70,3.723700513029696e-67,Treg
SMAD3,11388.302660781934,-4.721127438668579,0.27293453158209974,-17.297655270302233,4.899265629436408e-67,4.899265629436408e-64,Treg
IKZF4,6140.231547971132,2.4176200957591214,0.14283878981379927,16.92551511330126,2.917831320125919e-64,2.652573927387199e-61,Treg
CD9,4736.231338166044,2.6123790523897994,0.15564871102344457,16.783814239208898,3.205683601388686e-63,2.671403001157238e-60,Treg
BCR,9853.69544432741,-1.355577307888217,0.08604175597152137,-15.75487729860946,6.358265163957424e-56,4.890973203044172e-53,Treg
SEC14L2,934.6075432588902,2.2462762855425145,0.14412561061640375,15.585545663505089,9.128056405851321e-55,6.520040289893801e-52,Treg
FLNB,8188.426391258585,-2.262322425998331,0.14571938623754713,-15.525198701498539,2.342772900783729e-54,1.561848600522486e-51,Treg
RTKN,569.0747411768159,3.663497465957546,0.23605208717036852,15.51986898261759,2.5457022137311275e-54,1.5910638835819547e-51,Treg
COL5A2,350.33174393205417,3.6238973764923337,0.23598373326657637,15.356555836832358,3.2013612330021713e-53,1.8831536664718654e-50,Treg
CEP112,243.26154237298584,3.4152182703357425,0.22452286164739924,15.211004551060617,2.9892076307690752e-52,1.6606709059828195e-49,Treg
CAPG,33693.29898625899,2.421428486355763,0.16018130149583884,15.11679867589705,1.2549697979086739e-51,6.605104199519336e-49,Treg
SEMA4A,2004.1592914172786,3.3158161202683223,0.22062041959371592,15.029506907722194,4.704949301939421e-51,2.3524746509697104e-48,Treg
TNFSF4,2990.188802866101,5.0292342672728045,0.3380322615041688,14.877971247163877,4.581835460046293e-50,2.181826409545854e-47,Treg
GPR157,1848.1950692399287,4.782081826562385,0.3245883348181356,14.73275935575981,3.971525576446605e-49,1.8052388983848205e-46,Treg
GPR25,354.0676507717028,9.665407720138305,0.6670510603679011,14.489756923266874,1.4063963402861065e-47,6.114766696896116e-45,Treg
COL6A2,899.2938474869444,6.013942429077855,0.41950709013105225,14.335734891153148,1.3085400887029373e-46,5.452250369595572e-44,Treg
IL4,747.2838523766266,-5.418800846399013,0.38594405756108896,-14.0403790141044,8.82394500385294e-45,3.529578001541176e-42,Treg
SLC14A1,344.14754692594295,4.870385769099222,0.34862326003286126,13.970340844842477,2.364921456600057e-44,9.095851756154067e-42,Treg
VASH1,1438.6045322285047,4.727469485493282,0.3387171126790566,13.95698448212944,2.8524991190871297e-44,1.0564811552174555e-41,Treg
NEK6,6134.282419617869,2.220000532417446,0.15924380787405798,13.940890776570665,3.574508849437596e-44,1.2428423693235188e-41,Treg
SMAGP,281.9680827714686,-3.723887987507871,0.26713113103711994,-13.940299556439223,3.604242871038204e-44,1.2428423693235188e-41,Treg
GRK6,6940.812446948521,-1.7531074200440575,0.12578364913706985,-13.937482590711364,3.7493300491576707e-44,1.2497766830525569e-41,Treg
TMEM273,11243.072990605053,-1.6883779413006605,0.12212667860335506,-13.824808474356377,1.805924849768852e-43,5.825564031512426e-41,Treg
PMEPA1,189.6068209385777,8.750193387272363,0.6347738669474218,13.784741059601844,3.1489441991879882e-43,9.840450622462463e-41,Treg
CTSL,9177.302406765353,6.894433699851397,0.5024091391246258,13.722747384460275,7.419957584606337e-43,2.248471995335253e-40,Treg
CD300A,3922.5670417365895,-7.517456730995696,0.5574240025264433,-13.486065718239464,1.8891584979958665e-41,5.5563485235172546e-39,Treg
CCDC88A,621.9868200420212,2.6176675857911484,0.19553505277565536,13.387203719399078,7.183468880029777e-41,2.0524196800085079e-38,Treg
TNFSF13B,3261.351397095603,3.9070412328534685,0.29286807828272976,13.34061825980802,1.3434073308222424e-40,3.7316870300617844e-38,Treg
RAB31,699.3723990617004,3.179546786800327,0.2390332853632139,13.30169052384888,2.262932998401094e-40,6.116035130813767e-38,Treg
ASB9,1667.5745714106258,-2.779367538195018,0.2090292552076786,-13.296548061818475,2.4240371593534577e-40,6.379045156193309e-38,Treg
IL26,863.8111486517626,-5.119660904916782,0.3870235738937078,-13.228292151327315,6.024066989376744e-40,1.5446325613786523e-37,Treg
QPCT,1333.9621123971235,7.35274948304981,0.5634220240875688,13.050163409847505,6.341124673263795e-39,1.585281168315949e-36,Treg
ZC2HC1A,3692.577905932025,2.1789949033866,0.16720407481421834,13.031948568285175,8.05246038771224e-39,1.9640147287103025e-36,Treg
FKBP11,7077.720592639404,-1.5511898826484958,0.11913663500624809,-13.020259322979403,9.385163579423094e-39,2.2345627570054987e-36,Treg
MMP2,659.9546714088053,7.733000547870788,0.5948996854228318,12.99883112625025,1.2422749083656066e-38,2.889011414803736e-36,Treg
RGS20,67.26587339039709,6.155529933608875,0.47689055607965,12.90763646948962,4.0762148153900307e-38,9.264124580431888e-36,Treg
BCAR3,444.6702966002708,3.271920098597084,0.2555109667916981,12.805399860838355,1.5293598797023395e-37,3.3985775104496433e-35,Treg
COL15A1,176.5793911094612,5.126061332079184,0.4022353114071269,12.743936662713296,3.369536984757843e-37,7.325080401647485e-35,Treg
SEMA7A,2496.969271943933,3.8085660893569773,0.2991861900820764,12.729752293420244,4.041192297326508e-37,8.598281483673421e-35,Treg
METTL9,15915.836833890871,-0.8836236161078246,0.06968903806124833,-12.67952092165808,7.679983081087073e-37,1.5999964752264736e-34,Treg
KCNJ13,949.4462157127923,-7.093512579607515,0.5618600343853081,-12.625052763128156,1.5363843771554336e-36,3.1354783207253746e-34,Treg
RNF157,14266.337832998981,-2.5858117570705037,0.20552723612973053,-12.581358100092961,2.6739299340454254e-36,5.347859868090851e-34,Treg
ARSG,543.140803516098,-1.6628581411655219,0.13232447427022717,-12.566519915051442,3.22614945663972e-36,6.3257832483131764e-34,Treg
UEVLD,8329.458747733048,0.8989558040533481,0.07178262442954945,12.523306457478744,5.5666900762325874e-36,1.0705173223524208e-33,Treg
FHL3,2175.689931737793,1.9676512160889184,0.15879748382983952,12.390947064358826,2.9256768102160803e-35,5.5201449249360006e-33,Treg
AGBL5,2093.7901830052615,-0.9296152346446316,0.07536509525192263,-12.334824649756099,5.881682705696834e-35,1.0892005010549692e-32,Treg
