variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
INAVA,914.5648820997667,10.020761978556015,0.496435522629875,20.185424937907083,1.3149213416576628e-90,1.2890173912270067e-86,Treg
FNBP1L,328.15381042906864,8.258305380322689,0.420813754509984,19.624608967306838,9.530753992786287e-86,4.6714990695641983e-82,Treg
IKZF4,2031.8640016452798,2.489883566362717,0.12891700962404615,19.313848293749853,4.107924808018038e-83,1.3423328964333607e-79,Treg
HOPX,6076.491532594923,-4.195685196767322,0.22411619114825762,-18.721026692764855,3.3365761864504508e-78,8.177114088943442e-75,Treg
APOD,4923.408681330809,11.20315289945586,0.6329710129290119,17.699314298160918,4.244435582501024e-70,8.321640403051508e-67,Treg
CD9,1543.7934691476498,2.7031846987041197,0.15587508737226508,17.34199315794641,2.267363586219411e-67,3.704494205951481e-64,Treg
SMAD3,3778.809384873958,-4.552716121573595,0.26754877496237034,-17.016396812932207,6.207497439539673e-65,8.69315677140106e-62,Treg
CYS1,232.72546176220402,5.827131305317758,0.3486531618986505,16.71326103450523,1.0493660962849686e-62,1.2858669802351933e-59,Treg
COL6A1,152.59866632883893,5.987930462248552,0.3744804723409348,15.989967179909492,1.5011006982040783e-57,1.6350322382771754e-54,Treg
CAPG,11282.096752886595,2.4712060081488425,0.15745999665594296,15.694183034618861,1.657629387806187e-55,1.624974088866405e-52,Treg
GRK6,2284.8310884030225,-1.7226626913616006,0.11065445183531403,-15.567947450730884,1.2020293430536591e-54,1.0712266954504563e-51,Treg
SEMA4A,672.2332029355335,3.38964586522246,0.22573200894945994,15.016239305172629,5.747747327071431e-51,4.695430587273436e-48,Treg
RAB31,230.65518028302824,3.468080123976883,0.23160694655807654,14.973990096222117,1.086050435580761e-50,8.189655707690923e-48,Treg
PPP1R14C,204.30813472919627,-5.483491047563135,0.3680166314061574,-14.90011749363398,3.2900045050962266e-50,2.303708154532736e-47,Treg
TNFSF4,981.961310892367,5.022668805178354,0.33936655477880573,14.80012904763717,1.4620185686200576e-49,9.55477868545495e-47,Treg
BCR,3290.656295436803,-1.339817495874251,0.0926564782198212,-14.46005202891076,2.1663401623702294e-47,1.3272895382322099e-44,Treg
FLNB,2710.926739656539,-2.220293583974116,0.15410770326461257,-14.407414664805776,4.647853478337233e-47,2.680171038125876e-44,Treg
CEP112,87.09651935043733,3.2566330791773495,0.2285063190413635,14.251829414782371,4.366896877938022e-46,2.3782605608014683e-43,Treg
GPR157,616.1728778213114,4.845325652961517,0.3410495737105384,14.207100745635081,8.278243208152206e-46,4.271137798395583e-43,Treg
ZC2HC1A,1221.5031733764852,2.2366478901336593,0.158300325471276,14.129142713225214,2.511834685117074e-45,1.2311757709101337e-42,Treg
ASB9,558.2997163427171,-2.6855091099575192,0.19525899334076238,-13.753574491039284,4.847411527145859e-43,2.2628178666957548e-40,Treg
VASH1,494.0010896267956,4.598399791630265,0.33678482443892993,13.653821247115323,1.9156401818288546e-42,8.535918501121937e-40,Treg
TMEM273,3743.103185686609,-1.6934957708381926,0.12763343098485208,-13.2684341223984,3.5287751345443184e-40,1.5040253323451284e-37,Treg
NEK6,2062.964801880172,2.213102858374752,0.16766238016585258,13.199758086372972,8.801725537225147e-40,3.5951381433924213e-37,Treg
PRKD3,1115.2322062597202,1.6919558821708862,0.1284284631601886,13.174306073105559,1.2335642000010395e-39,4.837051941044076e-37,Treg
QPCT,447.51323104185855,7.396202648965586,0.562282839559732,13.153882936845129,1.6165493014407725e-39,6.095012616163036e-37,Treg
ZNF704,124.56705121274805,3.1158443040225148,0.23833343561071232,13.073466993996822,4.668814860928368e-39,1.695125632654844e-36,Treg
RNF157,4736.5947281564395,-2.6154535254048916,0.20319908420973,-12.871384413845961,6.52225196968667e-38,2.2834870021013723e-35,Treg
SLC38A1,13177.963003614128,-0.7228157132747972,0.05648067427074865,-12.797575854173957,1.6914939512988977e-37,5.717832829166584e-35,Treg
IL13,9465.773479782922,-2.5899737313995317,0.20281703636084544,-12.77000087306046,2.411517601405461e-37,7.880035682192578e-35,Treg
SEC14L2,312.7042937539563,2.3510732099009335,0.18441767035818393,12.748633063928082,3.1725942339095186e-37,9.895697130406255e-35,Treg
COL6A2,311.0951955141452,5.737258538842129,0.4500788928317165,12.747228608623683,3.230259187728248e-37,9.895697130406255e-35,Treg
FKBP11,2341.3942453548375,-1.5760911181298325,0.12441924047253843,-12.667583503515312,8.942698351950257e-37,2.6565233922475265e-34,Treg
TNFSF13B,1087.6799794069193,3.867304288513914,0.30994525520925936,12.477378580623553,9.919905276407046e-36,2.860142100724067e-33,Treg
CYTH3,130.45567105558646,3.1803518278379728,0.25536173789348754,12.454300530976614,1.325081216358711e-35,3.711363189704127e-33,Treg
SEMA7A,806.0518620991726,3.7547549205277626,0.30487847260267775,12.315579018991663,7.46772762705215e-35,2.0335037202220062e-32,Treg
SLC14A1,118.8288321361761,4.470767721068601,0.364715451413922,12.25823502606323,1.517695677678837e-34,4.0210731698069294e-32,Treg
UEVLD,2781.1227372149006,0.9344411227852202,0.07684122073688292,12.16067514055902,5.034091158554354e-34,1.2986630428239033e-31,Treg
BCOR,3377.13511154026,0.8287817002638301,0.06828431100287871,12.13721992785269,6.706615821095126e-34,1.6857680742101417e-31,Treg
RTKN,197.25105737152603,3.5430367262223355,0.29450669702392135,12.030411403291627,2.4593222721268307e-33,6.02718405841483e-31,Treg
TYMP,7529.103814139456,2.3354175167029436,0.19422378003645063,12.024364453542445,2.6461635284585773e-33,6.3269124559705935e-31,Treg
SLC39A10,1078.265330520698,-1.0799078148821055,0.09060871411544562,-11.918365969813703,9.495256438659125e-33,2.2162380682898907e-30,Treg
INPP5F,1939.9867722173635,2.023918721382184,0.17022355309718637,11.889768980598475,1.337760930327024e-32,3.0497838139525157e-30,Treg
NDUFV2,13182.065373955818,-0.8892822132076641,0.07482406680332328,-11.884975666254043,1.4167632856223666e-32,3.1564842020354676e-30,Treg
BCAR3,149.5560004630217,3.123524191448901,0.26670719174935115,11.711435942021236,1.1137718220889869e-31,2.4262900382085196e-29,Treg
NOTCH1,2327.8652438140566,1.1357812716015399,0.09732520050183353,11.669960768076121,1.8150692820343013e-31,3.8680704721265773e-29,Treg
CFH,133.95453039593735,-3.811619629278439,0.3268761065394693,-11.660747154727252,2.02259698872699e-31,4.218620910742698e-29,Treg
FHL3,722.3526702847455,1.9532876198778595,0.16771882019473047,11.64620415055382,2.399089010796154e-31,4.8996394943405615e-29,Treg
KIF5A,276.6475223827564,3.3097542942964475,0.2879056741283899,11.495967574506647,1.3822342283325702e-30,2.7653147225192214e-28,Treg
IL26,277.4820130271559,-4.9972422888171995,0.43598768314210445,-11.461888677227641,2.04995079607857e-30,4.019133530791644e-28,Treg
ZBTB18,581.1496731339595,2.207807058167731,0.19323932127612525,11.425247426805704,3.1276352626630476e-30,6.011805584291344e-28,Treg
LMCD1,730.4024007491624,4.356494385963751,0.3840453400882023,11.343698077323921,7.970365049192976e-30,1.5025670880238222e-27,Treg
SLC15A4,2197.7057631805483,1.2963829975024708,0.11491622964553574,11.281113220484366,1.6267426550653652e-29,3.0088600467180706e-27,Treg
HDAC7,6034.294487934049,1.037286021534754,0.09212497803498641,11.259552443429865,2.0781141704604823e-29,3.772546891300761e-27,Treg
RASGRP3,837.3240530827453,2.3574958883745696,0.21150067788616048,11.146516937612294,7.446443966546594e-29,1.3272270946192047e-26,Treg
IL4,261.4696234387952,-5.143274082607328,0.46349383420790863,-11.09674757895532,1.3009222373060935e-28,2.2773108379127917e-26,Treg
NPL,388.71549382893136,2.0644543722744855,0.18665523127427305,11.060254556921343,1.9554177206713548e-28,3.3629754238142616e-26,Treg
IL6,904.5436319468697,-2.614936832133439,0.23741822694317632,-11.014052567915511,3.269582397756579e-28,5.52615797331168e-26,Treg
CTSL,3089.8735571061325,7.238508676184562,0.6594407137868521,10.976739113691169,4.944511016238991e-28,8.215430761388277e-26,Treg
PTGIS,2032.3827260660385,-4.250031652824279,0.39570531881043386,-10.740395569108573,6.57620109056213e-27,1.0744416548463427e-24,Treg
FASLG,721.346370842474,1.9395093403051464,0.18071230368289326,10.73258046507182,7.156920530756589e-27,1.150152327262407e-24,Treg
FXYD6,125.82004796577787,8.093374838005515,0.7544242628651782,10.727882487856661,7.530193281229535e-27,1.1906207215466635e-24,Treg
MARCKSL1,864.5233184407834,-1.4940586342517066,0.1400159302300432,-10.670633204357534,1.3967129738295055e-26,2.173329727373118e-24,Treg
SMAGP,93.75111294845138,-3.5756465968065574,0.3355962122552096,-10.654609516532323,1.6593958056941938e-26,2.5417276692531534e-24,Treg
SASH1,94.42923751426196,-4.642681482346544,0.4376623202204351,-10.607907667281452,2.738119535357047e-26,4.1295055084777124e-24,Treg
CD300A,1260.8213124508616,-7.297498943411442,0.6891357078392701,-10.589349616336332,3.339036820718112e-26,4.959481508106008e-24,Treg
CD2,38572.81714167991,1.6375594872809676,0.15471093058826124,10.584639889724883,3.5112829851686476e-26,5.137478672180336e-24,Treg
PLAU,577.5176014960308,2.303783770894482,0.21789448291312682,10.572933009106919,3.9785354477648334e-26,5.735526910946862e-24,Treg
LAG3,5108.853521804677,4.350981385462671,0.41205830370123453,10.559140166284278,4.608638364096412e-26,6.5476060700343666e-24,Treg
CD101,107.82385776492372,2.6485251714722575,0.25120816735289014,10.543149131579327,5.463806248750833e-26,7.65167037950063e-24,Treg
METTL9,5279.244029043941,-0.8493160159858759,0.0806270224756428,-10.533887894005412,6.029168019245721e-26,8.324497759530395e-24,Treg
NRIP1,512.0378577424028,1.410644958687632,0.13403755510506452,10.52425163665442,6.679006484627992e-26,9.093652856778918e-24,Treg
CCDC88A,204.67421229361418,2.6968525718898246,0.25650438450373203,10.513865394962037,7.457296988413381e-26,1.0014230462659777e-23,Treg
