variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
IL5,6528.636949002914,-3.9647676961951492,0.37085446804979455,-10.690899093233524,1.1227722556664216e-26,5.404225809039068e-23,Th1
CHDH,3718.52524995988,-2.637540024530001,0.24680037990981993,-10.686936646911766,1.1717748935470658e-26,5.404225809039068e-23,Th1
IFNG,29184.11224734922,2.5035698916168476,0.2800562722817599,8.939524443494872,3.908486975739057e-19,1.1375854759050314e-15,Th1
NEK6,6134.282419617869,-1.4371947952908342,0.16123332465428505,-8.91375773818752,4.933154709041766e-19,1.1375854759050314e-15,Th1
RCAN2,218.71918067351982,2.4241516187150136,0.2828974574550479,8.569011685445101,1.0437694494341924e-17,1.925545880316198e-14,Th1
RIPK2,459.28598966432764,1.3225196157401877,0.1554328492923059,8.508623638836259,1.760101480641583e-17,2.7058626762396602e-14,Th1
GATA3,23161.400270061367,-0.9339774893899049,0.1112784955082719,-8.393153458122352,4.7327320757093093e-17,6.236388666620382e-14,Th1
HS3ST1,296.1675938336274,-2.3689232643524294,0.2920613195020474,-8.111047599152627,5.018519013689178e-16,5.786352422783623e-13,Th1
IL13,28169.69742859466,-1.7091953824504817,0.21579036307385696,-7.920628883067814,2.363122846762278e-15,2.4219383487261394e-12,Th1
HTR2B,109.40338782079299,-2.7255778658437277,0.3890672267248013,-7.005416233045013,2.462526332023304e-12,2.271434288658296e-09,Th1
EDARADD,1785.572159415282,-0.8018236150310196,0.11837840189542874,-6.773394489134276,1.2579532684303597e-11,1.054850995272876e-08,Th1
STOM,4960.440384762641,0.6397171113444807,0.094954474966252,6.7370928181304155,1.615869665932551e-11,1.2420651498801542e-08,Th1
SHISA2,595.7344960587118,1.812624366826577,0.2721800609004804,6.659651558713342,2.7447753136245553e-11,1.9475236532979153e-08,Th1
SMKR1,494.3916872288885,-1.3116184968355387,0.20129422592880636,-6.515927075322227,7.224206802712597e-11,4.759720253444357e-08,Th1
TNFSF11,2653.2495975132983,-1.7792205474580338,0.2797698004224332,-6.3595875779713635,2.0229616542352073e-10,1.24398655324437e-07,Th1
TLR5,170.57271205320436,-2.1614000840494567,0.34671806530060695,-6.233883666187132,4.5501103822205416e-10,2.6231386353501423e-07,Th1
IL18RAP,834.6166430240153,1.7249624697786436,0.2819076249114731,6.118892563903975,9.422790414877685e-10,5.11269522275481e-07,Th1
FBLN5,638.459211445123,-2.6539933287506643,0.43853904108529407,-6.051897505368224,1.4314954261604927e-09,7.335618783835769e-07,Th1
JUP,237.61416598060654,-2.0545450688035105,0.34757435510932744,-5.911095104117407,3.398407379687554e-09,1.5682651839312686e-06,Th1
KBTBD11,142.20813043238164,2.086276208558348,0.35294818843250914,5.91099848910908,3.4004015263037045e-09,1.5682651839312686e-06,Th1
CACNA1D,437.9995302194818,-2.1204697659787537,0.36355440074712514,-5.832606513966182,5.456814835071795e-09,2.396840954223916e-06,Th1
PLPP1,11018.423471638696,-0.8910085478577551,0.15466345590458036,-5.760950721335639,8.36414594454678e-09,3.5068582814772497e-06,Th1
BACE2,362.35561538510336,-1.398751495460306,0.25083738199878053,-5.576327915378682,2.456486795475824e-08,9.851580087595217e-06,Th1
PTGDR2,1589.7824309425919,-2.8642572545676153,0.5211846317711311,-5.495667139750588,3.8923608467029515e-08,1.495964018749501e-05,Th1
CD9,4736.231338166044,0.8518588464730259,0.15622794258229505,5.452666356559733,4.962011552794969e-08,1.8307837825192317e-05,Th1
KCNN4,4360.986659445633,0.3476257315977284,0.06439700335887003,5.3981662727454625,6.732545931347235e-08,2.388500141182573e-05,Th1
GZMB,21999.043957398888,1.8060009184514234,0.34096483410794143,5.296736606801176,1.1789055285440245e-07,4.027490590848178e-05,Th1
IL18R1,3785.354266863173,0.7540621601864406,0.15089687578630315,4.997201938457142,5.816814692825404e-07,0.00019162249545221977,Th1
PLA2G4A,828.7343209387593,-1.9442383121477276,0.3904591940623113,-4.97936363572337,6.379368242431168e-07,0.0002029079057523624,Th1
LAMC2,55.645191213288925,2.1976074391870166,0.45090964258528043,4.873720212739482,1.0951606404518248e-06,0.0003335514915969272,Th1
NCOA3,23965.747442803186,-0.4823958619824594,0.09907262288110927,-4.869113665854511,1.1209991586626998e-06,0.0003335514915969272,Th1
RORA,4929.208148137833,1.0254791969319133,0.21318746911952854,4.810222670062068,1.5076224949108554e-06,0.0004345721841580541,Th1
IL17RB,12724.340785246251,-3.1875006732915576,0.6723207996667356,-4.7410412928940735,2.126225881960584e-06,0.0005943123495516493,Th1
CYSLTR2,751.2035166779468,-1.1394450082358591,0.2406464933981111,-4.734932938959679,2.191275408511254e-06,0.0005944801284737591,Th1
PDE7B,860.6339131447758,-1.7666151592782788,0.37537200927169767,-4.706304987166975,2.522470555326129e-06,0.0006647790972093775,Th1
CPD,5043.9860954315045,0.5117589742770762,0.10980602131586649,4.660572964436597,3.1533035030410917e-06,0.000801454308410741,Th1
RGS6,134.58032713654552,1.2964050185746652,0.27840205614227975,4.656592830306276,3.2148535788375346e-06,0.000801454308410741,Th1
TIFA,3282.0741373480564,0.9738454473708487,0.21025731364894068,4.6316840564074,3.6270335271909665e-06,0.0008804146646002493,Th1
PECAM1,812.1378523170217,-0.9765823242831524,0.21454538555422945,-4.5518682294675,5.31716356802943e-06,0.001257577352602653,Th1
MYL9,521.5903585124636,-1.343357121996358,0.29566085433877093,-4.543574512089879,5.53082423036679e-06,0.0012614970181631308,Th1
CDCP1,547.1463064211674,-1.2582369733173222,0.2771030953515079,-4.5406817694376045,5.607261247255894e-06,0.0012614970181631308,Th1
CAPG,33693.29898625899,-0.7235291967392338,0.1603669194019139,-4.511711015199553,6.430676390329761e-06,0.001412299024390517,Th1
KIAA1217,1697.1106848331215,1.4791584799581128,0.3291151656277838,4.494349195779639,6.9783035830879124e-06,0.0014969272616372768,Th1
ENPP2,2369.7247900045463,1.7712477260466604,0.3990811363149415,4.438314830919121,9.066593607984305e-06,0.0019006877145465277,Th1
ANKRD18A,123.25960956074093,1.345919903126256,0.304965511430349,4.413351191135101,1.017826868537067e-05,0.0020863188967524234,Th1
ANKRD18B,177.29457913948266,1.0687831357773954,0.24586257517372248,4.347075332722805,1.3796484430243523e-05,0.0027664950518383967,Th1
GZMK,1168.7374119743831,2.5474683433631764,0.5888967517550913,4.325831881006215,1.519572891971365e-05,0.0029822426288391214,Th1
PTPRK,4887.347288696273,-0.9212927742737135,0.21387809309141073,-4.307560259946568,1.650651342641295e-05,0.003172001663442355,Th1
TIMD4,1813.9876759331455,0.9654309359204758,0.2248144520819019,4.294345523519818,1.752094249177877e-05,0.0032982280315136197,Th1
CYP4F22,107.15215317869277,-1.4025541467988616,0.3297200213114394,-4.253773068497011,2.101983278493858e-05,0.003877738752165469,Th1
IRAG2,2671.1884438988354,0.40256776564651797,0.0948972674024847,4.242142863177718,2.2139567918576217e-05,0.004004223029038178,Th1
PDE4A,2005.9544287215074,-0.6599058758025244,0.1577701777320982,-4.1827035076494505,2.8806296239992902e-05,0.005109793779186434,Th1
KIT,125.14317924671604,-2.4131343867976636,0.5784302811398986,-4.171867320020242,3.021135473014371e-05,0.005257915774166898,Th1
G0S2,4422.072043309665,1.4379967267510037,0.34602683885131635,4.15573754777124,3.242398602413404e-05,0.005538497168270599,Th1
RAB38,1421.3227782207891,0.6542346648638491,0.157903893224763,4.143245942217527,3.424243760893736e-05,0.00574276808190615,Th1
PLEKHH2,295.4794425128395,-1.647431545244652,0.3981459517425029,-4.137757870033833,3.507161862907346e-05,0.005776796611331672,Th1
PRSS23,1887.6683478077018,1.3983014619226157,0.3387878782819583,4.127365680890361,3.6694263315555664e-05,0.0059380330670646565,Th1
FURIN,52737.27024360841,0.5443891932614492,0.13265042977044403,4.103938405654115,4.061756457714265e-05,0.006459593373440756,Th1
GABARAPL1,536.9102683273063,-0.9658571173468641,0.23854538782446513,-4.04894484087697,5.144906771762136e-05,0.007902771605330264,Th1
SETBP1,913.0031497412258,1.3218095170931246,0.3265110088211216,4.048284686833561,5.1594367149366025e-05,0.007902771605330264,Th1
TMEM178B,488.0605213020754,0.7559286108914641,0.18686720363425416,4.045271701988998,5.2262474840106907e-05,0.007902771605330264,Th1
MAST4,6858.404233632555,0.3953974530010008,0.09829712846011145,4.022472061952974,5.759048716874416e-05,0.008567978284588646,Th1
CLEC4D,30.385390444552435,-3.108123935228348,0.7742825973257884,-4.0141983637023015,5.9648168508000754e-05,0.008733249306631729,Th1
OSBPL1A,134.503248860295,1.0397593903116882,0.2604091433602942,3.992791408530185,6.53000080449786e-05,0.00941136365948254,Th1
IGF2BP3,1316.3100352761235,-1.1514102433488824,0.2894696455345366,-3.9776545178776193,6.959839496824711e-05,0.00972308286441365,Th1
SLC4A8,1247.3299170711534,-0.5399649838044507,0.1358061981101735,-3.9759966136921174,7.008512244845146e-05,0.00972308286441365,Th1
CEBPD,520.3945788889847,1.886089530845246,0.474736749920718,3.9729166346616873,7.099790265468697e-05,0.00972308286441365,Th1
SH3RF2,681.0563577957721,1.4577352594117763,0.3671283707594129,3.9706418122805918,7.167927523635387e-05,0.00972308286441365,Th1
COL15A1,176.5793911094612,1.6443754244319426,0.4173075060030615,3.9404405642775067,8.133210073451403e-05,0.010778041652627695,Th1
ELOVL7,380.78942487252687,-1.1814686238749688,0.29993490259727174,-3.9390834932650343,8.179346440632466e-05,0.010778041652627695,Th1
SUSD4,171.49340050116285,-1.74222045929625,0.4438773757000849,-3.9250039643232864,8.672830966978344e-05,0.011267351104142006,Th1
NCF1,120.90239678781313,-0.9653824473448566,0.24624358208623948,-3.920436988310055,8.838854564221801e-05,0.011323554791719707,Th1
SAMD5,44.86628453062065,-2.259786227818582,0.5813346882312709,-3.887237891642167,0.00010139137594172329,0.012811425365567885,Th1
XKR9,172.16879547991803,-1.253045460722463,0.3240946090483105,-3.866295290754683,0.00011050113344236351,0.013773816957734608,Th1
GZMH,508.25642886605186,2.4380781122780992,0.632118488855006,3.856995413461701,0.00011478931538617861,0.01411755526829482,Th1
AHI1,5485.727749694079,-0.5722900120292995,0.14882547928880036,-3.845376576404323,0.0001203674398791217,0.01460880612427656,Th1
HPGDS,837.0271702984797,-0.986872501157538,0.2590620598050752,-3.8094057535869426,0.0001393011925319876,0.016687197401494203,Th1
FGFBP2,210.78158178594546,2.748103952221611,0.7223552847021525,3.804366093001911,0.00014216779271909112,0.016812252821037134,Th1
PKD2,4804.968313524544,-0.602862901899173,0.15876516532174675,-3.79719884193385,0.00014634040051368324,0.01708663106757233,Th1
DUSP23,2564.882947788232,-0.35778523344845364,0.09440343116019798,-3.7899600581393034,0.00015067151046894466,0.017288702310553926,Th1
APBB2,730.4531271310076,1.1068828713178263,0.29220202694269226,3.788073898388501,0.00015181969721973852,0.017288702310553926,Th1
TDRKH,1714.1000249659892,0.38894562940457894,0.1029538776215292,3.7778628487835078,0.00015817994492369148,0.01779331478019671,Th1
CREG1,9578.969208254286,0.39863716762253,0.10651467020499718,3.7425564652767216,0.00018215758370125317,0.020168034317081317,Th1
HS6ST2,15.929104876673438,2.2167528125035854,0.5926374325696597,3.740487337918912,0.0001836637990714257,0.020168034317081317,Th1
