variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
LYAR,221.19423305876572,-2.8867680523633217,0.17925998424158307,-16.10380623749757,2.3988300741719298e-58,2.990621453470145e-54,Th2_vs_Th1,-16.103806237497572
GBP5,7265.045023980632,-3.3037191657154756,0.24217863699122896,-13.641662232309645,2.2634191262858596e-42,1.4109023123702905e-38,Th2_vs_Th1,-13.641662232309645
SEMA5A,65.97265512766334,5.74166785600314,0.44920886645715663,12.781733141838492,2.073958212358648e-37,8.618679011158423e-34,Th2_vs_Th1,12.781733141838492
TMEM62,287.7923463537302,-2.0957460741414824,0.1671169033148406,-12.540599021232415,4.475992900022597e-36,1.3950550871145427e-32,Th2_vs_Th1,-12.540599021232415
TBX21,204.06978321474168,-5.444901277332468,0.4760167686847624,-11.438465271668408,2.6859474468095313e-30,6.697141363874886e-27,Th2_vs_Th1,-11.438465271668408
F2R,119.18658992467745,-3.949583746474091,0.35313663759412006,-11.18429334713656,4.86767570775933e-29,1.0114218841439261e-25,Th2_vs_Th1,-11.18429334713656
NCALD,134.7976528669739,-2.8268154942858206,0.2567078751778423,-11.01179888746092,3.3524227097117303e-28,5.970664845996591e-25,Th2_vs_Th1,-11.01179888746092
PAM,262.0896205563862,-1.6701669013344511,0.16088669420182858,-10.381013231829264,3.0254693305610068e-25,4.714815768013009e-22,Th2_vs_Th1,-10.381013231829264
CCR4,3984.2647446231354,2.501821573829196,0.2438046046031816,10.261584591075223,1.0496988848023282e-24,1.4540662218700695e-21,Th2_vs_Th1,10.261584591075223
IL11RA,1886.4065047618756,0.8676109120378389,0.08569909409580014,10.123921625915505,4.327222181300198e-24,5.394747893426957e-21,Th2_vs_Th1,10.123921625915507
STOM,622.8304490217681,-2.4066450509846673,0.23810781938720477,-10.1073751260182,5.123867902366326e-24,5.807205558072817e-21,Th2_vs_Th1,-10.1073751260182
CBLB,886.7930536495828,-0.854702214397962,0.08890415183928095,-9.613749152492616,6.995439912246384e-22,7.267679115497973e-19,Th2_vs_Th1,-9.613749152492614
PACSIN1,28.51280118094812,-5.729279921530678,0.608343041045966,-9.417844102695632,4.604446842526643e-21,4.4156645219830504e-18,Th2_vs_Th1,-9.417844102695632
BTBD11,384.4256891366918,-2.6396720038900297,0.28236861232115523,-9.348319496955165,8.905131811527512e-21,7.930019878165249e-18,Th2_vs_Th1,-9.348319496955163
SYNM,81.82661452878374,-2.7594245801909825,0.2969628068450441,-9.292155504277869,1.5119482458738087e-20,1.2566305854205848e-17,Th2_vs_Th1,-9.29215550427787
NCAPH,152.0314680704221,2.7270011167610537,0.3000518157319964,9.08843397633956,1.0047576675754712e-19,7.828946151039625e-17,Th2_vs_Th1,9.088433976339562
PKIA,296.99832581986004,1.5970733952033922,0.1771362282028344,9.016074302850246,1.9495020277173983e-19,1.4296730458560474e-16,Th2_vs_Th1,9.016074302850246
GBP4,1006.1767798631645,-1.0402767122990575,0.11704385165466148,-8.887922753673552,6.226194138756123e-19,4.312331240437366e-16,Th2_vs_Th1,-8.887922753673552
CCR5,176.71115787728382,-4.713559451211918,0.5407222600773491,-8.717154441797259,2.852808804316058e-18,1.8718930191267523e-15,Th2_vs_Th1,-8.71715444179726
GALT,977.3994907339253,0.772166748021948,0.08897087019477415,8.678871481548153,3.9971506029775306e-18,2.4916238283660436e-15,Th2_vs_Th1,8.678871481548153
CTSW,352.942004863196,-1.4533938207351749,0.168355800852264,-8.632870464680694,5.983118012259569e-18,3.551977726611431e-15,Th2_vs_Th1,-8.632870464680694
CXCR3,218.43734945012676,-9.482448200809333,1.117111432580877,-8.488363760544381,2.0956672393308178e-17,1.1875765214880592e-14,Th2_vs_Th1,-8.48836376054438
MRC2,165.49918501022088,2.278358384677646,0.27309174572203937,8.342831375784696,7.253255906168416e-17,3.931580060095724e-14,Th2_vs_Th1,8.342831375784696
TRPS1,223.6790169932366,-2.0487064987437402,0.24628179065501368,-8.318546382560314,8.904865227034363e-17,4.625706449393226e-14,Th2_vs_Th1,-8.318546382560312
