,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
0,NKG7,524.167231880658,5.711736031558788,0.41328148181819035,13.820449942326425,1.9186682315998006e-43,2.164833365714055e-39,cytotoxic_vs_rest,13.820449942326423
1,CCL5,1959.6641967309602,3.834830789832542,0.34567808641125264,11.093647357415218,1.3468197210141435e-28,7.5980834561012905e-25,cytotoxic_vs_rest,11.093647357415218
2,GZMH,252.43709087255465,5.588469279368225,0.5731737857565958,9.750043386913418,1.843894485136098e-22,6.934887158596865e-19,cytotoxic_vs_rest,9.750043386913418
3,CCL4,1538.3752614709135,4.435027467979709,0.470943969017089,9.417314499718705,4.6277239187800856e-21,1.3053652243898926e-17,cytotoxic_vs_rest,9.417314499718705
4,GZMK,867.7550786920337,3.7548812300411702,0.4186804272341265,8.968370589584397,3.0093304505255667e-19,6.790855094655994e-16,cytotoxic_vs_rest,8.968370589584396
5,PRF1,164.2182610869704,2.5340560999897246,0.30354027694506763,8.348335599787037,6.923162452362005e-17,1.301900699166675e-13,cytotoxic_vs_rest,8.348335599787037
6,MAGEH1,133.62694979567567,-2.839929179398192,0.354266634665269,-8.01636084663044,1.0892419914271014e-15,1.7557024841817122e-12,cytotoxic_vs_rest,-8.01636084663044
7,IL2RA,209.27233060493285,-3.761573979436419,0.4861507014085692,-7.737464881851788,1.014186827386155e-14,1.4303837466747484e-11,cytotoxic_vs_rest,-7.737464881851788
8,AOAH,26.851039474639695,2.513750139832905,0.3281898925481658,7.659438017165572,1.8674845134714306e-14,2.3412030850553504e-11,cytotoxic_vs_rest,7.659438017165573
9,EOMES,15.148338980766022,4.576714009544179,0.6245185560904738,7.328387547352799,2.329382981829287e-13,2.6282428183979844e-10,cytotoxic_vs_rest,7.328387547352799
10,ENC1,12.135435022729348,3.6887165700606634,0.5654387615152894,6.52363584020216,6.862320424040598e-11,6.663874796510141e-08,cytotoxic_vs_rest,6.52363584020216
11,CRTAM,88.70549080687263,5.183594337500126,0.7951765091338466,6.51879711983243,7.087343575123788e-11,6.663874796510141e-08,cytotoxic_vs_rest,6.51879711983243
12,F2R,51.64204435329225,2.0668920839092007,0.32108227141533235,6.437266295639211,1.2164441173003502e-10,1.0557799211922962e-07,cytotoxic_vs_rest,6.437266295639212
13,SRRT,54.609860456477115,2.01756931084189,0.31956721332563826,6.313442764812018,2.728952814830203e-10,2.1993410435520842e-07,cytotoxic_vs_rest,6.313442764812019
14,FGFBP2,49.57867600906534,9.141304785488858,1.4784810667062784,6.182902839502448,6.29334519493257e-10,4.7338542556282794e-07,cytotoxic_vs_rest,6.182902839502448
15,SLAMF7,10.434808364616822,4.198553817980509,0.6809495719942017,6.165733837947489,7.015700783648568e-10,4.947384496369175e-07,cytotoxic_vs_rest,6.165733837947488
16,SLA2,54.67293594444947,1.1990599585585822,0.19800385656501698,6.055740425262153,1.397732381389473e-09,9.276832034833779e-07,cytotoxic_vs_rest,6.055740425262153
17,CTSW,112.50951712865226,2.6947323426418768,0.44740559625217535,6.023018856301967,1.71193489535577e-09,1.0730978569055085e-06,cytotoxic_vs_rest,6.023018856301967
18,IL1R2,49.42663718898758,-4.968506340084334,0.8404877919795353,-5.9114556897755755,3.3909748927546856e-09,2.0137036692079537e-06,cytotoxic_vs_rest,-5.9114556897755755
