,coef_mean_oh,coef_sem_oh,coef_mean_yazar,coef_sem_yazar
ABHD5,0.00017174038687076533,4.455947681200671e-05,0.0007346524703131317,0.00039794226058254847
TRIO,-0.00031742047303894906,8.990465455306703e-05,-0.001456508677512798,0.00022369435592828275
CDON,-0.0005314364995070781,5.2939552417836995e-05,-0.0010811781246343392,0.00011397076006351158
ITCH,0.00018477946557344626,6.909301556022459e-05,0.00027558837556141525,0.0002362688782124809
COL16A1,0.00014386212212564282,5.361335000529891e-05,-0.0007449553015286714,0.0003504875801891391
CDHR5,-1.0572353858862588e-05,4.542521157227675e-05,0.00031548096893790976,0.0003759498068927869
LRP5L,1.8282581846432165e-05,0.00010466880527078821,-0.00021297308053142683,0.00020715660855488043
SCML2,-0.0005645829989119502,6.790709159416083e-05,-0.004293101185982805,0.0004437315866425434
IKBKB,0.00022465646729239195,3.80677121238787e-05,-0.0008219514337010198,0.00024409563722264376
MAN2B1,6.288003787858905e-05,3.0067465121146542e-05,0.0003575180368653896,0.0002777923199089699
GORASP1,7.608000682177008e-05,2.2505356175104596e-05,0.002300443041790106,0.00022666830134236777
COQ10B,-0.00017699183216726412,5.97350755211995e-05,-0.0011695178009731866,0.00022516941070869592
NDUFB3,0.0005921564761366074,7.093674171474462e-05,0.004200238437070132,0.0003710074787163037
ITPR2,-0.00031598761780232747,6.18435674567834e-05,0.0004376560594149529,0.00021058333993146327
DPF2,-0.00029053267998658893,5.64158633774957e-05,-0.0027329701637287722,9.89335808483447e-05
CD36,-0.00035385038670162505,6.512657192187066e-05,-0.0011599706279717382,0.00014686137532023857
CEP350,-0.00037707259684557475,9.828190199691957e-05,0.002378320709993817,0.0003768675499930105
FLOT1,0.00013450949093692568,7.381782135368834e-05,0.00016880442841488039,0.00015643113275017756
PELI2,0.0011297315614905842,9.44113085008216e-05,0.004258092617712489,0.0005194745226285987
TPM1,2.554578908229772e-05,2.1968529837550516e-05,2.616134415780208e-05,7.384974650486089e-05
TIMM29,0.0003342267361181276,1.933003653039136e-05,0.0006023389766091484,0.00014828757119202164
WTAP,7.823426951184166e-05,6.672821047689099e-05,-0.001968943739349163,0.0001514164142788679
NUBPL,-0.000298672272097864,4.497794199018816e-05,-0.004638326802510489,0.00043922997071655783
TMEM237,0.00018405729649551434,6.534011634757529e-05,-0.0002604419628964522,0.00013092167160142355
EYA3,-0.0002504137981969529,2.7488103919654733e-05,0.0015824581071696019,0.000384201175676118
DEDD,-0.00022256885216009507,9.714887363706083e-05,-0.0021707931211348355,0.00036639232808406724
SCGB3A1,6.65706837143978e-05,2.6878336689701715e-05,0.0015026504086594838,0.00021308004118317876
GLB1L,1.8841867356970661e-06,4.465567805937283e-05,-0.0006026623196560785,0.00010759860003553429
ICA1L,0.00010041947634621334,3.894758568347743e-05,-0.000525156525480426,0.0003482982070863784
GJB2,0.0008223349846327909,7.423199246411224e-05,0.002220417002994167,0.00018427372467264106
IFI27,0.00025960825401331454,4.301501709168748e-05,0.003581981052390777,0.0003332515284553397
RILP,-0.000497283577216918,6.545190953430315e-05,0.0011062069459323346,0.00036013124732874155
TK1,0.00010696006936421017,4.736722338933732e-05,-0.0006336527547669783,0.00035807271692540546
STX8,0.0008094555776170118,3.5253795550992165e-05,0.006119001558777487,0.0002730100719553013
DRC3,4.667943405002101e-05,5.033226970031669e-05,-3.957087592167947e-05,0.000539562630334606
ZNF417,0.0005549301180013754,5.873946918033924e-05,0.004206622866667071,0.00040301480147169667
MB21D2,-8.548486355919275e-05,4.73247592130552e-05,0.0016754355297331658,0.00017242971075652727
CLN8,-0.0003234901358620686,8.838435804432025e-05,-0.004413456081364011,0.00024521345785211406
SLC35E2B,0.00012165764193092441,2.0318692293112232e-05,-0.0001124567566535192,0.00021056593671551197
SDHAF3,0.0008090444266385215,5.0013318358996924e-05,0.0014811428503099986,0.00029588519056862096
ZNF69,-0.0007720687165105064,5.993244624821456e-05,-0.006142250649281597,0.0003073660178977128
TSEN15,-0.0011305756969703343,6.080625736522502e-05,-0.007047633568496111,0.00016310945397127478
TMEM170B,-0.00010314054234258931,5.357769804093455e-05,-0.00044881752301962295,0.00021293125952742155
ACAD11,0.000957241590040865,0.00014087924101578836,0.006903587961595388,0.0003826671898185902
APOBEC3D,-0.00036293560248250675,8.424072155903383e-05,-0.0016963036505272117,0.0005385486385838852
USP51,-0.000740825265338374,4.626276216798458e-05,-0.0003848831682415262,0.0001825594144423368
FSBP,-0.00015386864866482813,8.062598605130844e-05,-0.0017750271390515383,0.0002751399613360735
AARSD1,0.00022879511569906535,4.483362359757494e-05,0.0008703961256718905,0.0001420902020921745
ZNF587B,-0.00010584417389630117,5.6690509052827385e-05,-0.0017724340892476716,0.00043659193138203433
F8A3,0.00013687933975790368,5.932099801520401e-05,-0.002497984045825059,0.00018918666325876756
FAM136A,-0.0004480831842114615,3.864365355277734e-05,-0.0032581882460512453,0.0003054172902602234
CTNS,-0.00035393055365727744,1.913652080819065e-05,-0.0011581152075123842,0.00019289999668335904
RARB,-0.0002582368741442707,4.122829302934285e-05,-0.0012283318461738912,0.0003527563496081238
KCNK6,8.873788675140185e-05,7.470714102388817e-05,0.0017354047130455816,0.0002942211603052241
PTK6,-1.0452622944960838e-05,5.781384457675168e-05,-0.0007533193677155653,0.000131974165851206
SARS2,-2.087365554663507e-05,2.6210771998130215e-05,-0.0007935394409272153,0.0001485048565389472
EIF4H,-0.00034363324863670105,5.400091336444672e-05,0.00016062514144773714,0.00040466802258808614
PTGDS,-0.00038847962707445617,7.828923458571268e-05,-0.0021236636805846815,0.0002673701650938649
APOC3,0.00023260450888894988,2.219153375479477e-05,-0.00048803668897418474,0.0002885881437161758
C12orf49,-0.0006070026529654752,3.24934830728135e-05,-0.002078617618635686,0.00038779553807937606
PODXL2,0.0006480488884757793,4.035604486046501e-05,0.007152537775860371,0.0005762922209220463
IL1A,-0.000207593054057477,8.050386951425141e-05,0.001061204826039032,0.00011887183190536615
POMC,-0.0006702475599667749,3.482911890450124e-05,-0.0025934628217027405,0.00018086998926601194
CYTIP,-0.0005282131628130215,6.976632755727783e-05,-0.0017403720775243498,0.0002642144606444584
DPH5,-8.277004953885457e-05,9.938465884897785e-05,0.0036014307600702885,0.0005501322603987253
DCLRE1B,-0.00037792870900626345,5.6354990194909265e-05,-0.0034837081625326513,0.0002016086208614758
DCAF4,-0.0001915569912131447,2.699711686715165e-05,-0.000703528573144401,9.895783381556773e-05
IDE,-0.0001686623084337367,2.6412770242880382e-05,-0.0012732817738653202,0.0002381115291001257
ARMH3,-0.0008988099522464863,8.12277096253043e-05,-0.0023835095283592533,0.00035896100048680497
DESI2,-0.00043311433322057463,6.042576083148115e-05,0.0004830473500439597,0.0003067390194065405
ECHS1,-0.000200158165406099,4.7484648140069665e-05,-0.00015064971512267845,0.0002980650618711219
BCL2A1,-0.0007716871540387677,5.3110578390468845e-05,-0.0021004642599246766,0.0003618654479803764
RRNAD1,-0.00038365475315319973,7.25027253885114e-05,0.00017663319472799955,0.00025262660973230717
CCDC122,-7.592676159647957e-05,4.5216403651937025e-05,0.0013738352625552292,0.00033113017921947233
VBP1,-0.000556204991857101,8.152229928648146e-05,-0.005359610167357642,0.00025355712128662637
MED19,-0.0009576009169506323,7.009860069567805e-05,-0.006584931729394987,0.00041235253228308414
ZNF19,-0.0004207024631525965,3.373652142901014e-05,-0.003928632676809731,0.00028189823586373603
NIPBL,-0.00025011219560384874,0.00011021905643155542,0.0024674217309858517,0.00039590803725223547
ANKS6,-0.0001127984224415236,5.761736526802405e-05,-0.0006344387826354948,0.0002343538605250412
ENTR1,-0.0005138210822736361,3.472528237762689e-05,-0.003628167213486521,0.00041493670642128987
ANKDD1A,7.353971830716681e-05,8.426105481792724e-05,-0.001170756641908372,0.00020293178393675858
FBXO22,-0.00022048493670167292,5.2768319940108986e-05,-0.0018325194280111022,0.00032976889204464733
