,coef_mean_ota,coef_sem_ota,coef_mean_Diff043,coef_sem_Diff043
ABHD5,-0.0071886436104322575,0.0004044904476773615,-0.00481791269658888,0.00015984132666318208
TRIO,-0.001147814734224578,0.00038955640265344156,-0.004218432023682405,0.00031022279116112454
CDON,0.002401129368678794,0.0002523800034626361,-0.003735427550583549,0.000224173890998078
ITCH,-0.0041612005048927165,0.0005887806940212769,0.0030710566066863175,0.00041218979612077193
COL16A1,0.00040320377459584047,0.00036347003358996335,0.010955864382229721,0.0004937715177315064
CDHR5,0.0015329163642718619,0.000503895711867447,0.003563195536857132,0.00037795135112090163
LRP5L,0.0005125615805317458,0.0005229249772535593,-0.0003437429097737254,0.0004239517092153127
SCML2,0.008867712282245043,0.0006080868248252232,0.00107338721431451,0.00019205671032820245
IKBKB,-0.00840331773491607,0.0003658202013479081,-0.0028797356756546126,0.0002540229286600796
MAN2B1,-0.008096039775112357,0.0003619263408528271,-0.0023338267357668114,0.00023997145272685073
GORASP1,-0.009651376903961614,0.00035331992919948883,-0.0014716587848109038,0.0003192353496509669
COQ10B,-0.0014387890433926152,0.00020066891551684849,0.0012246587575933739,0.00034564437424656287
NDUFB3,-0.004478525716107111,0.0004383907398781643,-0.0008927535048461911,0.00030199058935122757
ITPR2,-0.0015988567292542061,0.0003825350556586833,-0.00207962912730753,0.00010953268929785569
DPF2,-0.000471147675677253,0.0003624964697536408,0.0012502020461556454,0.00025578457541533035
CD36,0.005224151165271333,0.0004501154247762938,-0.0027095537924412922,0.00020020138502832008
CEP350,0.0006952161402996408,0.000527190339263946,-0.0008169994524079456,0.00031038824426139815
FLOT1,-0.0025054456134359073,0.00033530960603795793,-0.0034182898083679643,0.0004146781499585284
PELI2,0.0013334706020569217,0.000355691673221734,-0.005089472011173617,0.00020563809388238075
TPM1,0.00016070360144465316,0.0005998358324342578,-0.00021027255217424034,0.0002948327864352704
TIMM29,-0.00232753200361247,0.00033315210016254544,0.0011342086296225627,0.0002332266551190065
WTAP,0.002971246103105063,0.00024833659510224736,-0.0032593404202971117,0.00032398843375052756
NUBPL,0.007647581241554992,0.0002865204586005033,-0.0029022601878521672,0.00029260149821117785
TMEM237,0.0034492899630287955,0.00033391307825607797,0.0007886440700536994,0.0002334599176467595
EYA3,-0.001403456501830099,0.00031610497615392776,0.0011688713376064026,0.00015989049201095042
DEDD,0.005849167701127443,0.0006585092238986302,0.00036849468602953567,0.00037952563471333107
SCGB3A1,-0.006190588962548942,0.0002709404541430954,-0.0032986605870276263,0.00022718943792244316
GLB1L,0.0033863125995673453,0.0002370686774327787,0.0022864756081711424,0.00021887811410153265
ICA1L,0.002881103889989428,0.0004906330140638883,-0.001190791905684255,0.00033460828079917777
GJB2,-0.0006258298190616235,0.00037219929566270393,-0.0015105386968755233,0.0002768250081205164
IFI27,-0.006904883850147413,0.0005052785472834775,0.003730105339162988,0.00043849510458120476
RILP,5.66575882214758e-05,0.0006882421609588378,0.00053149433880487,0.0002006104756715174
TK1,-0.005320453540540981,0.00047169610737201733,-0.0005641890858349513,0.0001590668966469478
STX8,-0.0044547315171827775,0.0002390132145998806,-0.004016059535863544,0.0002844543744265716
DRC3,0.0020613838504088475,0.0006566085867085882,-0.0010449680315986706,0.0003816674883571907
ZNF417,-0.008506696307579869,0.0002216157716307312,-0.0029004988418725878,0.00037892195941253135
MB21D2,-0.0008723700846949873,0.0003693013549177202,-0.0015110256374670952,0.0001632431426494133
