,coef_mean,coef_sem,r2,state
NIPA2,-0.008120650708501504,0.00021108426787495795,0.04641809777635684,Th1
GATA3,0.009467027342227846,0.0002535455108879078,0.042887766471772,Th1
OTUD4,0.007608774638021154,9.551455679965172e-05,0.035552385193378895,Th1
TXLNB,0.0032142107492148715,0.00024352604719867982,0.031241448066359194,Th1
EIF4B,-0.0064258823661205115,0.00010478160742624739,0.02996252541874646,Th1
BEGAIN,-0.005918613707273234,0.00023912037893736776,0.029107256654743327,Th1
PLEKHF2,-0.005193954852629023,0.00025538777552737576,0.028972518026741157,Th1
STAT3,-0.00871228279388305,0.0003547292762930364,0.02713086265788519,Th1
BBS10,0.007118116114463738,0.00018962072064996488,0.026896976515291063,Th1
WRN,0.004310455678038105,0.0002371224973882963,0.026432414472992594,Th1
ACBD5,-0.003156427109220695,0.00021811919373504663,0.026247182008193256,Th1
PCBD1,-0.006559588510798775,0.00023530710811868344,0.02593398627337918,Th1
PHF2,-0.005639866267537782,0.00013878361197643173,0.02364959941182129,Th1
NOL4L,0.0080253893127178,0.0005981138267683283,0.02348568411058236,Th1
CITED4,-0.005288471937953438,0.00012936138554731257,0.023396482092222278,Th1
LAT2,0.003685103467019924,0.00034721727469771285,0.022288250739995904,Th1
PTPN11,0.0038768059664299514,0.00029286524506820245,0.0213935476263946,Th1
PPM1F,0.006841708933962375,0.0002620656680047059,0.020644752034778502,Th1
NLRP1,-0.005624754580656726,0.0003432733316314747,0.020324262560026417,Th1
RPGR,0.0018772060104924853,0.00013748914549270596,0.019172510641349734,Th1
ZBTB7A,0.004173457179502092,6.204807421966871e-05,0.01909117949957346,Th1
RNF169,0.005990764201327653,0.00014925836858023958,0.019046742615467162,Th1
ZBTB42,-0.0029192889508965797,0.00025610803468248644,0.018914590096348865,Th1
IL12RB2,0.0040460935927842554,0.0001767140699292479,0.018857458034107384,Th1
C20orf96,0.005813150656643852,0.0002450067526461169,0.018496210309156384,Th1
TNFSF14,-0.004758948141453398,4.042772225763017e-05,0.01805030465624396,Th1
MTFR1L,0.0038527927261716327,0.0001330369268848966,0.017373473369083143,Th1
OXNAD1,-0.004527105636143863,0.00025610571282515536,0.017116745378317092,Th1
BRMS1L,-0.0039042944898871417,0.00016594590759835115,0.017009357733734493,Th1
SLC29A3,-0.003002147631944411,0.000279490052974105,0.016885005911700404,Th1
NRAS,0.003668718217721783,0.00040548614379965354,0.016737487497869335,Th1
NEURL1,-0.0051066944165837295,0.00028334813986220824,0.016659972629691665,Th1
DLG3,0.0011729950165779365,0.00028170962630605275,0.016294372357951017,Th1
ARHGAP30,-0.0049861348666618375,0.0002454488269487812,0.01625907080323339,Th1
SAT2,0.008425382044119568,0.00010456231927985224,0.016226325614346337,Th1
SPATA2,0.0018725662858051508,0.00018249347385370805,0.01596511124896152,Th1
