variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
IL5,2270.392929451716,-4.546680654200311,0.3797171561546619,-11.973861545377241,4.870776292264734e-33,4.0193645963768584e-29,Th1
CHDH,1217.808578985683,-2.6094166136032215,0.275709388128819,-9.464373452470289,2.9532620769926966e-21,1.2185159329671866e-17,Th1
NEK6,2062.964801880172,-1.4554271776535586,0.17297968537013345,-8.413861862098472,3.967278956638236e-17,1.0912661983392908e-13,Th1
IL13,9465.773479782922,-1.6814962634100568,0.20263679585638264,-8.29807960742631,1.0580777099932656e-16,2.182814315716107e-13,Th1
STOM,1642.9830434734758,0.6892591379604484,0.08494904206705582,8.113795296436317,4.906276384579519e-16,8.097318545110039e-13,Th1
RIPK2,148.99688987831095,1.307442230354027,0.16229017664430373,8.056200673313626,7.870238920268142e-16,1.0824201928342118e-12,Th1
GATA3,7740.91291705199,-0.9308551375454934,0.11798391792396781,-7.889678135162141,3.0296689339488223e-15,3.5715468632779548e-12,Th1
HS3ST1,92.72229252527575,-2.435367821082527,0.316025193725774,-7.706245797592265,1.2957295381922806e-14,1.3365450186453375e-11,Th1
RCAN2,74.72165396863825,1.944565881536421,0.2867986156484479,6.780248492970523,1.1996935553171849e-11,1.0999856909419344e-08,Th1
IL18RAP,276.43269161372143,1.849798909913014,0.2926008096789764,6.321919997222494,2.583331268783847e-10,2.1317649630004305e-07,Th1
TNFSF11,874.2093349163125,-1.7657203745933532,0.2847616239177317,-6.2006963940600155,5.621386324544448e-10,4.2170618136491625e-07,Th1
PTGDR2,550.215579654216,-3.225740447003795,0.5586082298986753,-5.774602439331954,7.71349906252541e-09,5.304316188663307e-06,Th1
CACNA1D,138.91016981834815,-2.195817818060501,0.38760257348863614,-5.665127035398486,1.4691565081542234e-08,9.325753465606655e-06,Th1
SHISA2,193.7323660498083,1.938229543995335,0.34473776828249386,5.6223301370538,1.8839878293719447e-08,1.1104762548555206e-05,Th1
IFNG,10023.185638486639,2.4527024490764893,0.44034680873210846,5.569933517035268,2.548365562768841e-08,1.4019408415978983e-05,Th1
CD9,1543.7934691476498,0.8678447829304751,0.1576341151716251,5.505437588719953,3.68252406067459e-08,1.8992617842929196e-05,Th1
IL18R1,1260.9634073235898,0.7726603196503145,0.14155448875834492,5.458395042274946,4.804577406715923e-08,2.3321983976599882e-05,Th1
PLPP1,3678.3524724455,-0.84934442313626,0.16192274054306738,-5.2453683793126995,1.559703737835748e-07,7.150375135900329e-05,Th1
