variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
CCL5,366.9079141325471,3.0998326092543915,0.06815009945723921,45.485371759426144,0.0,0.0,CytotoxicCD4,45.485371759426144
NKG7,316.5825382928643,3.2618096030120016,0.08170573853266692,39.92142610286659,0.0,0.0,CytotoxicCD4,39.92142610286658
GNLY,486.56091230784483,3.439272646940945,0.09208759002152236,37.34784074745719,2.7485322074214147e-305,8.874094320361274e-302,CytotoxicCD4,37.34784074745719
GZMA,100.53268333498468,2.844535666256734,0.07753937997779164,36.685045290166734,1.2647078524198969e-294,3.06249006463478e-291,CytotoxicCD4,36.68504529016673
GZMH,96.20992565448739,4.016246422353285,0.10992077362783116,36.53764697791756,2.801462607950009e-292,5.426993364120757e-289,CytotoxicCD4,36.53764697791756
CST7,77.91763678066503,2.7483292913540835,0.07760534756883815,35.4141741188162,1.0332942185461641e-274,1.668081300139691e-271,CytotoxicCD4,35.4141741188162
LYAR,81.17899176127277,2.158304022686663,0.061842902913283766,34.899785117025324,7.490442348895395e-267,1.036463208448583e-263,CytotoxicCD4,34.899785117025324
FGFBP2,53.01934419275463,3.8004519064785036,0.10994515122265075,34.56679866474675,7.97242912767868e-262,9.652618566336962e-259,CytotoxicCD4,34.56679866474675
ZEB2,17.658725199709167,3.2066861842530376,0.10176620348163752,31.510325378617914,6.272257126649491e-218,6.750342503191885e-215,CytotoxicCD4,31.510325378617914
DUSP2,81.43672198290297,1.2369079636732812,0.03943744512068368,31.363795496594236,6.30968987932504e-216,6.111565617114234e-213,CytotoxicCD4,31.363795496594236
HOPX,47.82933298187349,2.540355172909238,0.0825934978655322,30.757326406554522,9.75872384890326e-208,8.592999927316088e-205,CytotoxicCD4,30.75732640655452
PRF1,24.526098824206954,2.4767770583335187,0.08057576897542668,30.738484904672337,1.7428553117082168e-207,1.4067747124338156e-204,CytotoxicCD4,30.73848490467234
MATK,20.80301607283709,2.0631312397553514,0.0691524439388136,29.834538336502167,1.3933011319368259e-195,1.0381165203030843e-192,CytotoxicCD4,29.834538336502167
CCL4,44.65878018835106,2.5775091548653775,0.08786656996966095,29.33435498569426,3.783622573648702e-189,2.6177263034543808e-186,CytotoxicCD4,29.33435498569426
KLRD1,16.60166255388477,2.4348570893751784,0.08329341143152569,29.232289175439035,7.541342266549232e-188,4.869696079586391e-185,CytotoxicCD4,29.232289175439035
EFHD2,28.22867127639677,1.8443478090122216,0.06659050254081796,27.696859741848204,7.617522465035823e-169,4.611457662271061e-166,CytotoxicCD4,27.696859741848208
CMC1,40.881690095062616,2.057482739072333,0.0744439481723269,27.638012082722426,3.888997334338776e-168,2.215813422376787e-165,CytotoxicCD4,27.638012082722426
C1orf21,8.19933717000739,3.853353011880216,0.13995197068082046,27.533395872419064,6.995454592719293e-167,3.764331843615504e-164,CytotoxicCD4,27.533395872419064
GZMB,32.92122204899163,2.4025762891696725,0.08796590204959934,27.312586277066607,3.0065571958353784e-164,1.5327112104663934e-161,CytotoxicCD4,27.31258627706661
KLRG1,34.515540998310115,1.8910976797321002,0.06972977720316158,27.120374617321406,5.663226272316228e-162,2.7427004836827493e-159,CytotoxicCD4,27.120374617321406
S1PR5,6.009164697557151,3.4484443904516993,0.12790655466153428,26.96065420241329,4.278645189724961e-160,1.97347415750838e-157,CytotoxicCD4,26.96065420241329
PLEK,12.243138315794422,2.812962443664411,0.10576077759142888,26.597406975687562,7.273458409257195e-156,3.2023053705484174e-153,CytotoxicCD4,26.597406975687562
PTGDR,5.838566756221491,3.0201397633402265,0.11356130531205307,26.594796132725303,7.797225953271468e-156,3.283649155799454e-153,CytotoxicCD4,26.594796132725303
GZMK,58.00881482263079,2.4282338632348823,0.09155946330649203,26.520839851435742,5.573801275594225e-155,2.2494932981419025e-152,CytotoxicCD4,26.520839851435742
CTSW,71.37864213220246,1.3752269061465745,0.054937410188367,25.03261259369993,2.700227023686636e-138,1.0461759580571502e-135,CytotoxicCD4,25.032612593699927
PAXX,80.74816207254632,0.6545295344015073,0.026449207684031556,24.746659416821508,3.3679465773287997e-135,1.2546896364617983e-132,CytotoxicCD4,24.746659416821508
TRGC2,19.815930792287457,2.0456164588412853,0.08510198568152669,24.03723535307981,1.1352425581487146e-127,4.0725775623068336e-125,CytotoxicCD4,24.03723535307981
KLRF1,8.761741235725198,2.376703834143309,0.09919219851123079,23.96059236326144,7.166213819265183e-127,2.4789981090500915e-124,CytotoxicCD4,23.960592363261437
CLIC3,9.06762382682405,1.803035926325414,0.07526184426538365,23.956839537012414,7.84162788116047e-127,2.6191037123075966e-124,CytotoxicCD4,23.956839537012414
CHST12,27.887376520395705,1.1282049254968822,0.047322974990437326,23.840532547348545,1.2696106503913024e-125,4.099149586563385e-123,CytotoxicCD4,23.840532547348545
