disease_efo,disease_name,gene_symbol,gene_id,gene_name,association_score,genetic_evidence_score,genetic_evidence_types
EFO_0000384,Crohn's disease,IL23R,ENSG00000162594,interleukin 23 receptor,0.5666650529931945,0.9192121245155334,genetic_association
EFO_0000384,Crohn's disease,NOD2,ENSG00000167207,nucleotide binding oligomerization domain containing 2,0.7624959370035383,0.9129526091318121,genetic_association
EFO_0000384,Crohn's disease,PTPN22,ENSG00000134242,protein tyrosine phosphatase non-receptor type 22,0.5360267228531538,0.8723997328445218,genetic_association
EFO_0000384,Crohn's disease,GPR35,ENSG00000178623,G protein-coupled receptor 35,0.5359554526015963,0.8634748244702714,genetic_association
EFO_0000384,Crohn's disease,TNFSF15,ENSG00000181634,TNF superfamily member 15,0.5308174719549771,0.8621827790505958,genetic_association
EFO_0000384,Crohn's disease,LACC1,ENSG00000179630,laccase domain containing 1,0.524112178429189,0.8547322693631701,genetic_association
EFO_0000384,Crohn's disease,IL12B,ENSG00000113302,interleukin 12B,0.7108321874540819,0.8464514057476531,genetic_association
EFO_0000384,Crohn's disease,IFNGR2,ENSG00000159128,interferon gamma receptor 2,0.5027964968560203,0.8270620584305942,genetic_association
EFO_0000384,Crohn's disease,BACH2,ENSG00000112182,BACH transcriptional regulator 2,0.5008357831200279,0.8182694678365583,genetic_association
EFO_0000384,Crohn's disease,IL10,ENSG00000136634,interleukin 10,0.625540262284219,0.8105463328132687,genetic_association
EFO_0000384,Crohn's disease,JAZF1,ENSG00000153814,JAZF zinc finger 1,0.48783264355738104,0.8009278290120988,genetic_association
EFO_0000384,Crohn's disease,CDKAL1,ENSG00000145996,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase,0.4800731105239695,0.7852847585721933,genetic_association
EFO_0000384,Crohn's disease,NKX2-3,ENSG00000119919,NK2 homeobox 3,0.4769339877381147,0.7735433143652674,genetic_association
EFO_0000384,Crohn's disease,ATG16L1,ENSG00000085978,autophagy related 16 like 1,0.4862450595962904,0.7735093258526045,genetic_association
EFO_0000384,Crohn's disease,CD40,ENSG00000101017,CD40 molecule,0.4771419508153682,0.7732007385316331,genetic_association
EFO_0000384,Crohn's disease,NFKBIA,ENSG00000100906,NFKB inhibitor alpha,0.47293829749378213,0.7712659905115398,genetic_association
EFO_0000384,Crohn's disease,TYK2,ENSG00000105397,tyrosine kinase 2,0.5690021800086678,0.7694323006368313,genetic_association
EFO_0000384,Crohn's disease,ITGA4,ENSG00000115232,integrin subunit alpha 4,0.7138778981132332,0.7676435627206158,genetic_association
EFO_0000384,Crohn's disease,RASGRP1,ENSG00000172575,RAS guanyl releasing protein 1,0.46582588225731786,0.7645343811034202,genetic_association
EFO_0000384,Crohn's disease,SP140,ENSG00000079263,SP140 nuclear body protein,0.4672512892149742,0.7626520515982509,genetic_association
EFO_0000384,Crohn's disease,TRIM22,ENSG00000132274,tripartite motif containing 22,0.46659848046785096,0.7599134970145264,genetic_association
EFO_0000384,Crohn's disease,TNRC18,ENSG00000182095,trinucleotide repeat containing 18,0.45543622746334966,0.749158011491806,genetic_association
EFO_0000384,Crohn's disease,MST1,ENSG00000173531,macrophage stimulating 1,0.47318610701571856,0.7483575461916402,genetic_association
EFO_0000384,Crohn's disease,IL2RA,ENSG00000134460,interleukin 2 receptor subunit alpha,0.47710753251542987,0.7397730594700509,genetic_association
EFO_0000384,Crohn's disease,CCDC122,ENSG00000151773,coiled-coil domain containing 122,0.4474518863336881,0.7360243766093003,genetic_association
EFO_0000384,Crohn's disease,RSPO3,ENSG00000146374,R-spondin 3,0.4484944245946,0.7351555669954871,genetic_association
EFO_0000384,Crohn's disease,TAGAP,ENSG00000164691,T cell activation RhoGTPase activating protein,0.4479035970793372,0.731990835627444,genetic_association
EFO_0000384,Crohn's disease,BANK1,ENSG00000153064,B cell scaffold protein with ankyrin repeats 1,0.4437053151998114,0.7282558258017924,genetic_association
EFO_0000384,Crohn's disease,NCF4,ENSG00000100365,neutrophil cytosolic factor 4,0.44582750577695957,0.727799348974303,genetic_association
EFO_0000384,Crohn's disease,PTPN2,ENSG00000175354,protein tyrosine phosphatase non-receptor type 2,0.44724639385911635,0.72384340503495,genetic_association
EFO_0000384,Crohn's disease,SNX20,ENSG00000167208,sorting nexin 20,0.4409902635581573,0.723284480092444,genetic_association
EFO_0000384,Crohn's disease,SMAD3,ENSG00000166949,SMAD family member 3,0.44029585476840727,0.7200444118784579,genetic_association
EFO_0000384,Crohn's disease,FOSL2,ENSG00000075426,"FOS like 2, AP-1 transcription factor subunit",0.437781300837174,0.7192051015886697,genetic_association
EFO_0000384,Crohn's disease,MUC19,ENSG00000205592,"mucin 19, oligomeric (gene/pseudogene)",0.43743034276431625,0.7116536284414332,genetic_association
EFO_0000384,Crohn's disease,IRF5,ENSG00000128604,interferon regulatory factor 5,0.43618107667730605,0.7094890962516787,genetic_association
EFO_0000384,Crohn's disease,JAK2,ENSG00000096968,Janus kinase 2,0.5347487499784986,0.7091798183743817,genetic_association
EFO_0000384,Crohn's disease,ZBTB38,ENSG00000177311,zinc finger and BTB domain containing 38,0.43056941940692584,0.7082540004528555,genetic_association
EFO_0000384,Crohn's disease,ADCY7,ENSG00000121281,adenylate cyclase 7,0.4302164368414762,0.706972646516357,genetic_association
EFO_0000384,Crohn's disease,FOS,ENSG00000170345,"Fos proto-oncogene, AP-1 transcription factor subunit",0.4320443561242587,0.7060071718957669,genetic_association
EFO_0000384,Crohn's disease,PRDM1,ENSG00000057657,PR/SET domain 1,0.43205997430592397,0.701549091247687,genetic_association
EFO_0000384,Crohn's disease,MAP3K8,ENSG00000107968,mitogen-activated protein kinase kinase kinase 8,0.4339996714183984,0.6994726860844821,genetic_association
EFO_0000384,Crohn's disease,INAVA,ENSG00000163362,innate immunity activator,0.43420549608823783,0.6989250463624408,genetic_association
EFO_0000384,Crohn's disease,NDFIP1,ENSG00000131507,Nedd4 family interacting protein 1,0.4245601108680233,0.6983691442117975,genetic_association
EFO_0000384,Crohn's disease,PUS10,ENSG00000162927,pseudouridine synthase 10,0.42527463056099973,0.6960488727647803,genetic_association
EFO_0000384,Crohn's disease,STAT3,ENSG00000168610,signal transducer and activator of transcription 3,0.5341165091527817,0.6955249352765372,genetic_association
EFO_0000384,Crohn's disease,OSMR,ENSG00000145623,oncostatin M receptor,0.42201750910204894,0.6918305087866304,genetic_association
EFO_0000384,Crohn's disease,RAPGEF6,ENSG00000158987,Rap guanine nucleotide exchange factor 6,0.41990737181730386,0.6907157417702718,genetic_association
EFO_0000384,Crohn's disease,DENND1B,ENSG00000213047,DENN domain containing 1B,0.4202527899090118,0.6905240148054498,genetic_association
EFO_0000384,Crohn's disease,ADAD1,ENSG00000164113,adenosine deaminase domain containing 1,0.4196399808202421,0.6902759038839331,genetic_association
EFO_0000384,Crohn's disease,ABO,ENSG00000175164,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",0.4218047846617454,0.6897037567475066,genetic_association
EFO_0000384,Crohn's disease,SLC39A8,ENSG00000138821,solute carrier family 39 member 8,0.42975600821222926,0.6859904582118476,genetic_association
EFO_0000384,Crohn's disease,PPP5C,ENSG00000011485,protein phosphatase 5 catalytic subunit,0.41640250116526667,0.6849504956833705,genetic_association
EFO_0000384,Crohn's disease,ELMO1,ENSG00000155849,engulfment and cell motility 1,0.41456886538609494,0.6819343040602852,genetic_association
EFO_0000384,Crohn's disease,IRF1,ENSG00000125347,interferon regulatory factor 1,0.42226932109193555,0.6819152295327641,genetic_association
EFO_0000384,Crohn's disease,CYLD,ENSG00000083799,CYLD lysine 63 deubiquitinase,0.42328662747982854,0.6803040186845036,genetic_association
EFO_0000384,Crohn's disease,IL19,ENSG00000142224,interleukin 19,0.4162984293724306,0.6775330821281983,genetic_association
EFO_0000384,Crohn's disease,LDLRAP1,ENSG00000157978,low density lipoprotein receptor adaptor protein 1,0.41186058286386784,0.677479384959514,genetic_association
EFO_0000384,Crohn's disease,ADAP1,ENSG00000105963,ArfGAP with dual PH domains 1,0.41238810097452067,0.6741767069238358,genetic_association
EFO_0000384,Crohn's disease,PTPRC,ENSG00000081237,protein tyrosine phosphatase receptor type C,0.41909915848915186,0.674020769969212,genetic_association
EFO_0000384,Crohn's disease,CUL2,ENSG00000108094,cullin 2,0.4069394349486393,0.6683205914211682,genetic_association
EFO_0000384,Crohn's disease,TNFSF8,ENSG00000106952,TNF superfamily member 8,0.4067762164176422,0.6675901557171887,genetic_association
EFO_0000384,Crohn's disease,MACIR,ENSG00000181751,macrophage immunometabolism regulator,0.405328744506014,0.6667350068435912,genetic_association
EFO_0000384,Crohn's disease,APOBR,ENSG00000184730,apolipoprotein B receptor,0.4073906252658017,0.6656384441583323,genetic_association
EFO_0000384,Crohn's disease,GALC,ENSG00000054983,galactosylceramidase,0.403531986501863,0.6637794763601711,genetic_association
EFO_0000384,Crohn's disease,IKZF1,ENSG00000185811,IKAROS family zinc finger 1,0.40269795479543224,0.6606681999738737,genetic_association
EFO_0000384,Crohn's disease,RUNX3,ENSG00000020633,RUNX family transcription factor 3,0.4046759161555393,0.6601348939583861,genetic_association
EFO_0000384,Crohn's disease,CARD9,ENSG00000187796,caspase recruitment domain family member 9,0.4020462492028998,0.658763629258852,genetic_association
EFO_0000384,Crohn's disease,SBNO2,ENSG00000064932,strawberry notch homolog 2,0.40275953299859174,0.6576538461044876,genetic_association
EFO_0000384,Crohn's disease,IL18RAP,ENSG00000115607,interleukin 18 receptor accessory protein,0.4017879196272167,0.6553176713498234,genetic_association
EFO_0000384,Crohn's disease,GPSM1,ENSG00000160360,G protein signaling modulator 1,0.3953565553463174,0.6503315128951445,genetic_association
EFO_0000384,Crohn's disease,GCKR,ENSG00000084734,glucokinase regulator,0.3966757793225112,0.6497807376247652,genetic_association
EFO_0000384,Crohn's disease,PARK7,ENSG00000116288,Parkinsonism associated deglycase,0.3951256382698064,0.648811801593012,genetic_association
EFO_0000384,Crohn's disease,GPR65,ENSG00000140030,G protein-coupled receptor 65,0.39526113188700335,0.6484351771415383,genetic_association
EFO_0000384,Crohn's disease,ANKRD55,ENSG00000164512,ankyrin repeat domain 55,0.3909124776313178,0.6411267937236853,genetic_association
EFO_0000384,Crohn's disease,COG6,ENSG00000133103,component of oligomeric golgi complex 6,0.38851755494407514,0.6390818765399694,genetic_association
EFO_0000384,Crohn's disease,SETBP1,ENSG00000152217,SET binding protein 1,0.3879776612623943,0.6372818962329889,genetic_association
EFO_0000384,Crohn's disease,KSR1,ENSG00000141068,kinase suppressor of ras 1,0.3865223071238401,0.6342800183870094,genetic_association
EFO_0000384,Crohn's disease,ZFP36L1,ENSG00000185650,ZFP36 ring finger protein like 1,0.3838609688176251,0.6314221459509872,genetic_association
EFO_0000384,Crohn's disease,BCL2L11,ENSG00000153094,BCL2 like 11,0.379622637858142,0.6235385171558362,genetic_association
EFO_0000384,Crohn's disease,FCGR2A,ENSG00000143226,Fc gamma receptor IIa,0.388465441881298,0.6228059999936781,genetic_association
EFO_0000384,Crohn's disease,CSF2RB,ENSG00000100368,colony stimulating factor 2 receptor subunit beta,0.37930855381596607,0.6197230525470312,genetic_association
EFO_0000384,Crohn's disease,CYP2J2,ENSG00000134716,cytochrome P450 family 2 subfamily J member 2,0.3917616303675893,0.6182425238666223,genetic_association
EFO_0000384,Crohn's disease,IRGM,ENSG00000237693,immunity related GTPase M,0.38133075707739666,0.615253017334572,genetic_association
EFO_0000384,Crohn's disease,IL12RB2,ENSG00000081985,interleukin 12 receptor subunit beta 2,0.3734044181322504,0.6106839110889718,genetic_association
EFO_0000384,Crohn's disease,ZNF831,ENSG00000124203,zinc finger protein 831,0.37076993703944144,0.6092803112770956,genetic_association
EFO_0000384,Crohn's disease,ACOXL,ENSG00000153093,acyl-CoA oxidase like,0.3707461268250753,0.6088223975013166,genetic_association
EFO_0000384,Crohn's disease,PDGFB,ENSG00000100311,platelet derived growth factor subunit B,0.36973944278609006,0.6066734809263562,genetic_association
EFO_0000384,Crohn's disease,PLCL1,ENSG00000115896,phospholipase C like 1 (inactive),0.36894761349646066,0.6062828780673873,genetic_association
EFO_0000384,Crohn's disease,LILRB3,ENSG00000204577,leukocyte immunoglobulin like receptor B3,0.3720152557459506,0.600371844508676,genetic_association
EFO_0000384,Crohn's disease,TNFSF4,ENSG00000117586,TNF superfamily member 4,0.36544234908184087,0.5989338311521569,genetic_association
EFO_0000384,Crohn's disease,TNFSF11,ENSG00000120659,TNF superfamily member 11,0.3737874371913399,0.5970921256678019,genetic_association
EFO_0000384,Crohn's disease,SLC22A4,ENSG00000197208,solute carrier family 22 member 4,0.3730380292843173,0.5952228965776999,genetic_association
EFO_0000384,Crohn's disease,THADA,ENSG00000115970,THADA armadillo repeat containing,0.36275831696399385,0.5950380763481424,genetic_association
EFO_0000384,Crohn's disease,RIPK2,ENSG00000104312,receptor interacting serine/threonine kinase 2,0.36260685324933295,0.5912827371937645,genetic_association
EFO_0000384,Crohn's disease,CEP43,ENSG00000213066,centrosomal protein 43,0.35881034054176386,0.5902157646091015,genetic_association
EFO_0000384,Crohn's disease,CD6,ENSG00000013725,CD6 molecule,0.35963144216490633,0.5889173426860856,genetic_association
EFO_0000384,Crohn's disease,SLC9A4,ENSG00000180251,solute carrier family 9 member A4,0.35739090404893786,0.5878808993606184,genetic_association
EFO_0000384,Crohn's disease,TSPAN14,ENSG00000108219,tetraspanin 14,0.35732323645086705,0.5877695913000025,genetic_association
EFO_0000384,Crohn's disease,SP110,ENSG00000135899,SP110 nuclear body protein,0.35696629483734893,0.5850247984076963,genetic_association
