,regulator_gene_id,regulator_label
0,ENSG00000164597,early_regulator
1,ENSG00000124422,early_regulator
2,ENSG00000146955,early_regulator
3,ENSG00000100897,early_regulator
4,ENSG00000105518,early_regulator
5,ENSG00000138071,early_regulator
6,ENSG00000165669,early_regulator
7,ENSG00000101290,early_regulator
8,ENSG00000165025,early_regulator
9,ENSG00000197863,early_regulator
10,ENSG00000119878,early_regulator
11,ENSG00000164930,early_regulator
12,ENSG00000138629,early_regulator
13,ENSG00000134313,early_regulator
14,ENSG00000156983,early_regulator
15,ENSG00000074370,early_regulator
16,ENSG00000015285,early_regulator
17,ENSG00000116922,early_regulator
18,ENSG00000168003,early_regulator
19,ENSG00000185811,early_regulator
20,ENSG00000069943,early_regulator
21,ENSG00000100596,early_regulator
22,ENSG00000119403,early_regulator
23,ENSG00000143742,early_regulator
24,ENSG00000154511,early_regulator
25,ENSG00000119686,early_regulator
26,ENSG00000182247,early_regulator
27,ENSG00000110321,early_regulator
28,ENSG00000162959,early_regulator
29,ENSG00000198589,early_regulator
30,ENSG00000089177,early_regulator
31,ENSG00000103064,early_regulator
32,ENSG00000187987,early_regulator
33,ENSG00000276043,early_regulator
34,ENSG00000163946,early_regulator
35,ENSG00000054267,early_regulator
36,ENSG00000167004,early_regulator
37,ENSG00000188997,early_regulator
38,ENSG00000188921,early_regulator
39,ENSG00000134874,early_regulator
40,ENSG00000180398,early_regulator
41,ENSG00000149084,early_regulator
42,ENSG00000075790,early_regulator
43,ENSG00000132846,early_regulator
44,ENSG00000099940,early_regulator
45,ENSG00000062650,early_regulator
46,ENSG00000105552,early_regulator
47,ENSG00000181381,early_regulator
48,ENSG00000163466,early_regulator
49,ENSG00000182150,early_regulator
50,ENSG00000132294,early_regulator
51,ENSG00000058799,early_regulator
52,ENSG00000197296,early_regulator
53,ENSG00000167323,early_regulator
54,ENSG00000103502,early_regulator
55,ENSG00000111229,early_regulator
56,ENSG00000129968,early_regulator
57,ENSG00000074356,early_regulator
58,ENSG00000164219,early_regulator
59,ENSG00000068724,early_regulator
60,ENSG00000143207,early_regulator
61,ENSG00000204569,early_regulator
62,ENSG00000167523,early_regulator
63,ENSG00000057935,early_regulator
64,ENSG00000114395,early_regulator
65,ENSG00000165699,early_regulator
66,ENSG00000101096,early_regulator
67,ENSG00000136044,early_regulator
68,ENSG00000184863,early_regulator
69,ENSG00000144749,early_regulator
70,ENSG00000125482,early_regulator
71,ENSG00000198932,early_regulator
72,ENSG00000274180,early_regulator
73,ENSG00000110042,early_regulator
74,ENSG00000211456,early_regulator
75,ENSG00000186222,early_regulator
76,ENSG00000184840,early_regulator
77,ENSG00000091164,early_regulator
78,ENSG00000143324,early_regulator
79,ENSG00000173559,early_regulator
80,ENSG00000174437,early_regulator
81,ENSG00000100558,early_regulator
82,ENSG00000103197,early_regulator
83,ENSG00000134046,early_regulator
84,ENSG00000169660,early_regulator
85,ENSG00000258289,early_regulator
86,ENSG00000100485,early_regulator
87,ENSG00000159314,early_regulator
88,ENSG00000167676,early_regulator
89,ENSG00000069329,early_regulator
90,ENSG00000173264,early_regulator
91,ENSG00000137492,early_regulator
92,ENSG00000111237,early_regulator
93,ENSG00000198286,early_regulator
94,ENSG00000204406,early_regulator
95,ENSG00000124782,early_regulator
96,ENSG00000213563,early_regulator
97,ENSG00000180182,late_regulator
98,ENSG00000197442,late_regulator
99,ENSG00000132522,late_regulator
100,ENSG00000135127,late_regulator
101,ENSG00000197223,late_regulator
102,ENSG00000130309,late_regulator
103,ENSG00000172428,late_regulator
104,ENSG00000085224,late_regulator
105,ENSG00000160285,late_regulator
106,ENSG00000028203,late_regulator
107,ENSG00000142871,late_regulator
108,ENSG00000100983,late_regulator
109,ENSG00000132541,late_regulator
110,ENSG00000228474,late_regulator
111,ENSG00000156531,late_regulator
112,ENSG00000171223,late_regulator
113,ENSG00000174799,late_regulator
