gene,max_score
IL4R,0.966457163026331
BACH2,0.965360093228518
IL13,0.9597191001509618
TYK2,0.9589884940155766
TLR1,0.9572907264896712
NOD2,0.9567951681612066
IL1RL1,0.9547192277544492
FCGR2A,0.9544535829756472
GATA3,0.953711371065416
TNFRSF8,0.951697316053301
ABCC8,0.9509532913110098
KCNJ11,0.9493872382899944
D2HGDH,0.9468706421544624
IL23R,0.9457678004888632
SMAD3,0.9450571331003866
OTULINL,0.9441076025087966
RUNX1,0.94245416843608
EGFL8,0.9419670423080216
SH2B3,0.938799337655574
CD40,0.9359278824261072
GCK,0.9356882689578218
GPR35,0.9344020388854491
RTKN2,0.9330236193308254
IFNGR2,0.9326461586083392
ATRIP,0.9325706465513904
INS,0.9311385914857578
IFIH1,0.9310904669059232
MST1,0.9305501370186514
ARID5B,0.9301334958494204
IL33,0.9298372647743643
DLD,0.929521688714744
IL7R,0.92864477174533
TNFAIP3,0.9284922873109042
PRKCQ,0.928449942677044
HNF1B,0.9282106246672605
ADCY7,0.927306713414586
WDFY4,0.9268829928000768
CARD14,0.9261359412376868
CARD9,0.9255381039166876
TNFSF15,0.9234576225864508
TSLP,0.9223940964906338
PTPRC,0.9221402558728796
RASGRP1,0.9214303168557708
HNF1A,0.9201483452993662
TREX1,0.919622581166061
ZC3H12C,0.9188393061689184
C12orf43,0.91875383379927
PITX2,0.9157089483308728
MACIR,0.9150219876398404
NPNT,0.91406471986892
STAT3,0.9135014601681036
IL21R,0.9129483693425716
TESPA1,0.9114618997074748
FLG,0.9114042031492244
NCF2,0.9112767146547978
IL12B,0.9111578307011036
CD6,0.9106549865200392
UBASH3A,0.9098789849264264
LPP,0.9098457470960962
NFKBIA,0.9095136487581544
IL6,0.9089112009056404
IRF4,0.9086793479532602
LACC1,0.9083227187180052
TBL1XR1,0.9078541594798334
TNFSF4,0.9076884868606644
GLB1,0.9074822863363468
WDR36,0.9071740887473696
JAZF1,0.9070826365114198
IL6R,0.906155696969496
IL10RA,0.90552218635441
ANKRD55,0.9048875659419522
SPRED2,0.9047742615031836
RNASET2,0.9030914856255318
IL2RA,0.9028117061582344
SUOX,0.9019085679890242
RIGI,0.9016098512042164
ITGA4,0.9015166274725904
AFF3,0.9011121119495829
NFKBIE,0.8994478780099919
ERAP1,0.8988192062421905
TG,0.8977523615967222
PTPN22,0.8961655696546156
APOBR,0.8953501295408608
TNFSF11,0.894912096506289
LBH,0.8939009678188629
PTPN2,0.8935231135968951
IRAG1,0.8932633695285181
TCF7L2,0.8931174076996382
CD226,0.8915194028409374
CDKAL1,0.8914222592486428
ITGB8,0.8911967051942713
COG6,0.8899392085003135
HNF4A,0.8897785506604379
CD28,0.8893307574796456
GLIS3,0.8888916621372618
HLX,0.8881053553108638
CTSH,0.8876762584074425
IL36RN,0.8876232225170897
JAK2,0.8856017885539482
NOS2,0.885146287621838
AHNAK2,0.8850901135450947
IRF5,0.8847915857589624
ETS1,0.8844357672614501
IL2,0.8838002524306183
CEP43,0.8830066414576225
SIRPG,0.8828977443838466
IL12RB2,0.8819465338003091
NAB1,0.8818757213863923
CLNK,0.8817198430554999
TNRC18,0.8810956575191482
SLC15A4,0.8807888982858616
APOE,0.8807877503139487
BLK,0.8807094877053003
TCP11,0.8798329165823691
GPR65,0.878765766605969
SLC9A4,0.8786158702909568
IL10RB,0.8777499921976097
ZFP57,0.8777422335543262
TAGAP,0.8770650773951654
C1QTNF6,0.8764916128523714
TNFAIP8,0.8756491494071583
ADO,0.8755502324578829
TSHR,0.8740005098288783
SYNGR1,0.8733638531810429
OVOL1,0.8733594606562578
NKX2-3,0.8724367599264876
ELMO1,0.8723944819629241
CD58,0.8721992069363486
RGS1,0.8715880365992998
ZFP36L1,0.8708490690049312
PTGER4,0.8706460664863033
GALC,0.8705602321849404
KLF13,0.8704990031813293
PDE8B,0.8697781848364293
PLCL2,0.8695219903101522
CD83,0.8682688898017548
NRG1,0.8679525623837697
STAT4,0.8668375080825467
TNFRSF1A,0.8660836950863591
RUNX3,0.8649353884842726
DNASE1L3,0.864020511980613
MMEL1,0.8635968394155776
TPD52L3,0.8633299724465132
NDFIP1,0.8627740113224283
FOSL2,0.8616515575583615
TRAF3IP2,0.8612719603865221
CTLA4,0.8611761182116564
REL,0.8605167020383074
TSPAN8,0.8601687372024818
GPR174,0.8592612758139105
CD247,0.8590528738442456
NEUROD1,0.8567229247044262
FCRL3,0.8549005198808084
PLXNC1,0.8541281518217153
IL18R1,0.8538432367364134
PTF1A,0.8537445853936217
OSMR,0.8535441461687392
NFKBIZ,0.8535210991189156
TTC34,0.8533722637669988
B3GNT2,0.8527112182679426
ZAP70,0.8526705852790366
PRKCB,0.8523712857474112
BLTP1,0.8523410410508814
FAP,0.8521075706422131
IL12A,0.8520100374687173
IRF1,0.8518746460764893
AIRE,0.8494699506585247
TYR,0.8488537853350612
DNMT3A,0.8483744886121855
ACOXL,0.8471882942767461
PDX1,0.8469806663678758
ATG16L1,0.8463295417143066
ADAM17,0.8453189568483129
SP140,0.8452453180515258
GTF2I,0.84517639606121
SNX20,0.8449233840325655
FOS,0.8443476425864588
MAGI3,0.8439337349140781
CCL20,0.8425456695416532
AHI1,0.8425240113247215
CCR6,0.8422483610792553
CDHR3,0.8403193852927973
PLCG2,0.8398422226271292
LRRC32,0.8391803961838133
ADORA1,0.8389466032758336
MAP3K8,0.8386379325448304
IL10,0.8384338854003053
PARK7,0.8365988124443527
CCL21,0.8365384280886398
PLCL1,0.8356722280633442
