disease,cluster,cluster_size,disease_gene_count,disease_genes,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,p_value,enrichment_fold,p_adj_fdr
autoimmune disease,81,7,4,"['CARMIL2', 'CD28', 'BCL10', 'MALT1']",7.343283582089552,1.6342188621524405,32.99669035514775,0.013535158715046094,3.678571428571429,0.5817847714263671
autoimmune disease,77,46,13,"['ICOS', 'RASGRP1', 'TM2D1', 'IFI30', 'SLAMF7', 'CIP2A', 'C8orf33', 'NEMP2', 'IL12RB2', 'PLA2G4A', 'SMAD3', 'JUND', 'CACHD1']",2.1993681993681995,1.1421096333616843,4.235338127876783,0.01868293575921725,1.8192934782608696,0.5817847714263671
autoimmune disease,31,37,11,"['TSPYL5', 'MED15', 'SGF29', 'SUPT20H', 'MED13', 'RNFT1', 'CD274', 'PSMB9', 'SCYL3', 'TADA2B', 'UBE2L3']",2.3552903035661656,1.1496757992210953,4.82517977488189,0.020382026570583668,1.9138513513513515,0.5817847714263671
autoimmune disease,197,12,5,"['DMAC1', 'HRAS', 'THAP12', 'LMAN1', 'DTWD1']",3.9379347244515785,1.2406261760580493,12.4995991486447,0.02706200458865293,2.682291666666667,0.5817847714263671
autoimmune disease,216,5,3,"['GPS2', 'PPP1R3B', 'ANKRD49']",8.236059479553903,1.3696887394232171,49.52415377183753,0.029089238571318354,3.8625000000000003,0.5817847714263671
autoimmune disease,114,28,8,"['IGF2', 'LAT2', 'IL21', 'INSR', 'MLKL', 'VWF', 'DAP', 'HPS1']",2.2106060606060605,0.963605492670051,5.0713483810137765,0.056436313356215156,1.8392857142857144,0.8309928040623638
autoimmune disease,143,19,6,"['RELT', 'SCAPER', 'CSK', 'DET1', 'BCL6', 'CTH']",2.543666859456333,0.9583646108041125,6.751335576203728,0.06102805519849484,2.0328947368421053,0.8309928040623638
autoimmune disease,131,11,4,"['ZNF76', 'RASGRP1', 'CACHD1', 'PPCDC']",3.138592750533049,0.9124723249397383,10.795685725974405,0.07668119277014199,2.3409090909090913,0.8309928040623638
autoimmune disease,222,7,3,"['HPS1', 'SYK', 'MLKL']",4.112453531598513,0.9152260400565745,18.478794646742845,0.08010713596235557,2.7589285714285716,0.8309928040623638
autoimmune disease,121,12,4,"['HERC2', 'FANCA', 'ING5', 'ARID5B']",2.7444029850746268,0.8205954113926918,9.178393688192637,0.10149078686088647,2.1458333333333335,0.8309928040623638
autoimmune disease,92,42,10,"['ARID2', 'RASGRP1', 'SLAMF7', 'CD244', 'NEMP2', 'NDRG1', 'IL12RB2', 'PDIA3', 'SMAD3', 'CACHD1']",1.7259064885496183,0.838269045284144,3.5534572390275727,0.10357910151814582,1.5327380952380953,0.8309928040623638
autoimmune disease,199,17,5,"['XIAP', 'CTDSP2', 'PTPN2', 'ANXA6', 'ITPKC']",2.289325842696629,0.7999938739350712,6.551316184783687,0.10996948390166983,1.8933823529411766,0.8309928040623638
autoimmune disease,91,8,3,"['TPD52', 'TM2D1', 'B3GAT2']",3.287732342007435,0.781085713306546,13.838665550447088,0.11388936065494092,2.4140625,0.8309928040623638
autoimmune disease,112,4,2,"['ARRDC4', 'MEN1']",5.470370370370371,0.7672503558488513,39.00285188648553,0.11633899256873094,3.2187500000000004,0.8309928040623638
autoimmune disease,78,67,14,"['COG6', 'MYT1L', 'ULK4', 'MTMR3', 'NPHP4', 'NFKBIL1', 'GZMB', 'MAN2A1', 'SIK2', 'MMP9', 'DET1', 'CISD1', 'PHF19', 'ATP2A2']",1.4599970747403832,0.7982954457036634,2.670178653432714,0.14427585902364423,1.3451492537313434,0.9184499749140665
autoimmune disease,63,9,3,"['CD2', 'SPON1', 'ZFYVE26']",2.7379182156133828,0.6805791567878113,11.014436866929662,0.15198077331271168,2.1458333333333335,0.9184499749140665
autoimmune disease,193,35,8,"['IRF8', 'FAM118A', 'ZNF236', 'IMMP2L', 'ANKRD49', 'PTK6', 'ASXL1', 'GLS']",1.6296296296296295,0.7323868573014,3.6260791729007003,0.16384893021805555,1.4714285714285715,0.9184499749140665
autoimmune disease,30,52,11,"['TSPYL5', 'SGF29', 'SUPT20H', 'MED13', 'RNFT1', 'CD274', 'PSMB9', 'SCYL3', 'TADA2B', 'KLF10', 'UBE2L3']",1.4781796093823008,0.7500160949115896,2.9132907579152367,0.17152280019790103,1.3617788461538463,0.9184499749140665
autoimmune disease,80,5,2,"['SMARCE1', 'ARID1A']",3.6444444444444444,0.6060939296681321,21.914054337938254,0.17450549523367265,2.575,0.9184499749140665
