Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,condition,direction
gs_ind_1,Specific Granule Membrane (GO:0035579),5/75,1.1414856521408843e-05,0.0006734765347631218,21.323591302314707,242.67515330242458,CYBA;ITGAM;C3AR1;CD47;ADAM8,Stim8hr,positive
gs_ind_1,Tertiary Granule Membrane (GO:0070821),4/61,9.824109987686361e-05,0.0028981124463674764,20.95287517531557,193.3549319239685,ADAM8;CYBA;ITGAM;CD47,Stim8hr,positive
gs_ind_1,Specific Granule (GO:0042581),5/130,0.00016063974097766884,0.0031592482392274867,11.92561621645287,104.18631351213051,CYBA;ITGAM;C3AR1;CD47;ADAM8,Stim8hr,positive
gs_ind_0,Positive Regulation Of Stress Fiber Assembly (GO:0051496),4/34,9.448839597585561e-06,0.004372656609934703,39.58699101004759,458.00638821667263,PXN;GPR65;S100A10;CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233),4/40,1.8295634351191225e-05,0.004372656609934703,33.06363234644277,360.6861424592347,PXN;GPR65;S100A10;CD47,Stim8hr,positive
gs_ind_0,Regulation Of Stress Fiber Assembly (GO:0051492),4/59,8.618206443796814e-05,0.01373167560044959,21.711421098517874,203.19824243769003,PXN;GPR65;S100A10;CD47,Stim8hr,positive
gs_ind_1,Tertiary Granule (GO:0070820),4/133,0.0019005810618421088,0.022426856529736885,9.249595217337152,57.95422325778142,ADAM8;CYBA;ITGAM;CD47,Stim8hr,positive
gs_ind_1,Secretory Granule Membrane (GO:0030667),5/223,0.0018685021581390784,0.022426856529736885,6.798274951593029,42.71096562695119,CYBA;ITGAM;C3AR1;CD47;ADAM8,Stim8hr,positive
gs_ind_0,Protein O-linked Glycosylation Via Serine (GO:0018242),2/7,0.0003222390113516628,0.030806049485218968,117.16494845360825,942.0316122926977,GALNT4;POGLUT2,Stim8hr,positive
gs_ind_0,Regulation Of Cell-Cell Adhesion (GO:0022407),3/32,0.000271696977302843,0.030806049485218968,31.16592328278323,255.8978849025388,DPP4;ADAM8;CD47,Stim8hr,positive
gs_ind_0,Regulation Of T Cell Activation (GO:0050863),3/44,0.0007015061887665182,0.055886659705065955,22.13278376664553,160.73449140182515,SIT1;CCDC88B;CD47,Stim8hr,positive
gs_ind_0,Proteolysis (GO:0006508),5/193,0.0009850791247082713,0.06726683165865052,7.8994665811641935,54.68633711805603,ADAM19;DPP4;CTSC;ADAM8;PEPD,Stim8hr,positive
gs_ind_0,Negative Regulation Of Immune Effector Process (GO:0002698),2/13,0.0011787342182135703,0.07042936953826083,56.00851636037651,377.68301880343813,HAVCR2;CD47,Stim8hr,positive
gs_ind_1,Collagen-Containing Extracellular Matrix (GO:0062023),4/206,0.00899331232915479,0.0840403090096174,5.880286738351255,27.703642331071975,S100A10;ANXA4;CTSC;ADAM19,Stim8hr,positive
gs_ind_1,cis-Golgi Network (GO:0005801),2/38,0.009970884119785115,0.0840403090096174,17.611213105493576,81.1539849230002,RETREG1;GPR108,Stim8hr,positive
gs_ind_1,cis-Golgi Network Membrane (GO:0033106),1/4,0.015835627064147005,0.11678774959808416,108.25541125541126,448.7720495598028,GPR108,Stim8hr,positive
gs_ind_1,Extrinsic Component Of Endosome Membrane (GO:0031313),1/5,0.019755975904713657,0.11746894798478913,84.1919191919192,330.39428584172276,SNX10,Stim8hr,positive
gs_ind_1,Endocytic Vesicle (GO:0030139),3/145,0.019909991183862562,0.11746894798478913,6.393462603878116,25.040211132123744,DPP4;LMBRD1;CAMK2G,Stim8hr,positive
gs_ind_1,Lysosome (GO:0005764),5/410,0.023021542358473267,0.12347918174090207,3.6074443435725803,13.604844595778497,DPP4;CTSC;PIP4K2A;LMBRD1;SLC39A8,Stim8hr,positive
gs_ind_1,Coated Vesicle (GO:0030135),2/64,0.026780687728402093,0.1316717146646436,10.263505154639175,37.15465081102515,CTSC;LMBRD1,Stim8hr,positive
gs_ind_0,Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Phospholipase C-activating G Protein-Coupled Signaling Pathway (GO:0051482),2/20,0.002820618478581881,0.13482556327621392,34.79660072443578,204.28385219634293,C3AR1;GPR65,Stim8hr,positive
gs_ind_0,Activation Of GTPase Activity (GO:0090630),3/71,0.002807515072459148,0.13482556327621392,13.379869381482905,78.61282718317882,TBC1D1;GPR65;ARHGAP25,Stim8hr,positive
gs_ind_0,Plasma Membrane Invagination (GO:0099024),2/21,0.003109616606293633,0.13512697616439603,33.00951625693894,190.57238244354005,ITGAM;ARHGAP25,Stim8hr,positive
gs_ind_0,"Phagocytosis, Engulfment (GO:0006911)",2/22,0.003411902653503329,0.1359074556978826,31.396781493588133,178.3489519861427,ITGAM;ARHGAP25,Stim8hr,positive
gs_ind_1,Lysosomal Membrane (GO:0005765),4/300,0.0311306344690001,0.141285187205462,3.985366915084589,13.827481245124828,SLC39A8;DPP4;C3AR1;LMBRD1,Stim8hr,positive
gs_ind_1,CD40 Receptor Complex (GO:0035631),1/9,0.03528490233696198,0.1487006598486255,44.557932263814614,149.01509743116418,TRAF5,Stim8hr,positive
gs_ind_1,Phagocytic Vesicle (GO:0045335),2/84,0.044046979196465205,0.1724759228543583,7.762886597938144,24.239601801585767,CYBA;ADAM8,Stim8hr,positive
gs_ind_1,Cul4A-RING E3 Ubiquitin Ligase Complex (GO:0031464),1/12,0.0467731316215209,0.1724759228543583,32.926218708827406,100.83477835598997,DDB2,Stim8hr,positive
gs_ind_0,Positive Regulation Of Cell Adhesion (GO:0045785),2/61,0.02449369037371567,0.1726695267498958,10.783591787230357,40.00000545242415,ADAM8;CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Cellular Extravasation (GO:0002693),1/9,0.03528490233696198,0.1726695267498958,44.557932263814614,149.01509743116418,CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Lymphocyte Activation (GO:0051251),2/29,0.005891130118668296,0.1726695267498958,23.391752577319586,120.10044903463687,CCDC88B;CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Histone Deacetylation (GO:0031065),1/11,0.04295869837470826,0.1726695267498958,36.064935064935064,113.51496476425216,RRP8,Stim8hr,positive
gs_ind_0,Positive Regulation Of Leukocyte Degranulation (GO:0043302),1/10,0.03912930776321142,0.1726695267498958,39.864433811802236,129.19598711729856,ITGAM,Stim8hr,positive
gs_ind_0,Positive Regulation Of ER-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1903071),1/6,0.02366101942353801,0.1726695267498958,68.87878787878788,257.87710786152064,UBQLN2,Stim8hr,positive
gs_ind_0,Positive Regulation Of ERAD Pathway (GO:1904294),1/12,0.0467731316215209,0.1726695267498958,32.926218708827406,100.83477835598997,UBQLN2,Stim8hr,positive
gs_ind_0,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),2/31,0.006713125099133118,0.1726695267498958,21.802376376026558,109.09234788543995,CCDC88B;CD47,Stim8hr,positive
gs_ind_0,Positive Regulation Of Endocytosis (GO:0045807),2/59,0.023016323588102218,0.1726695267498958,11.160466158673241,42.09227392566292,CYBA;CD47,Stim8hr,positive
