ensg	obs_lof	exp_lof	shet	post_lower_95	post_upper_95	GENE	shet_BIN_raw	shet_BIN
ENSG00000277322	26	21.66	3.01e-05	1.05e-06	0.00010405	GOLGA6L6	(3.01e-05,0.000599]	1
ENSG00000164363	31	28.55	4.85e-05	3.05e-06	0.00015705	SLC6A18	(3.01e-05,0.000599]	1
ENSG00000176920	17	11.327	5.08e-05	3.05e-06	0.00016605	FUT2	(3.01e-05,0.000599]	1
ENSG00000177558	12	9.9101	6.07e-05	4.05e-06	0.00019505	FAM187B	(3.01e-05,0.000599]	1
ENSG00000112494	21	17.754	6.28e-05	3.05e-06	0.00022805	UNC93A	(3.01e-05,0.000599]	1
ENSG00000187922	8	10.518	6.48e-05	3.05e-06	0.00023905	LCN10	(3.01e-05,0.000599]	1
ENSG00000206503	8	19.141	6.95e-05	4.05e-06	0.00024005	HLA-A	(3.01e-05,0.000599]	1
ENSG00000187630	10	10.567	7.61e-05	3.05e-06	0.00029905	DHRS4L2	(3.01e-05,0.000599]	1
ENSG00000159398	39	32.272	7.66e-05	4.05e-06	0.00028405	CES5A	(3.01e-05,0.000599]	1
ENSG00000100197	31	18.947	8.92e-05	5.05e-06	0.00031105	CYP2D6	(3.01e-05,0.000599]	1
ENSG00000187980	3	6.3343	8.98e-05	3.05e-06	0.00027605	PLA2G2C	(3.01e-05,0.000599]	1
ENSG00000108417	16	18.538	9.16e-05	5.05e-06	0.00031405	KRT37	(3.01e-05,0.000599]	1
ENSG00000175664	14	15.626	9.74e-05	3.05e-06	0.00033205	TEX26	(3.01e-05,0.000599]	1
ENSG00000223865	14	13.542	9.81e-05	6.05e-06	0.00032505	HLA-DPB1	(3.01e-05,0.000599]	1
ENSG00000215568	17	20.86	0.00010782	8.05e-06	0.00029405	GAB4	(3.01e-05,0.000599]	1
ENSG00000148288	15	14.426	0.00011255	5.05e-06	0.00042205	GBGT1	(3.01e-05,0.000599]	1
ENSG00000186474	8	10.566	0.00011305	3.05e-06	0.00037705	KLK12	(3.01e-05,0.000599]	1
ENSG00000127415	22	26.942	0.00011334	6.05e-06	0.00041905	IDUA	(3.01e-05,0.000599]	1
ENSG00000215009	30	32.919	0.0001139	5.05e-06	0.00043405	ACSM4	(3.01e-05,0.000599]	1
ENSG00000116785	16	15.048	0.00011879	5.05e-06	0.00044705	CFHR3	(3.01e-05,0.000599]	1
ENSG00000104808	14	14.161	0.00012168	5.05e-06	0.00046305	DHDH	(3.01e-05,0.000599]	1
ENSG00000185038	46	78.75	0.0001223	7.05e-06	0.00042405	MROH2A	(3.01e-05,0.000599]	1
ENSG00000140798	72	68.743	0.0001224	6.05e-06	0.00043305	ABCC12	(3.01e-05,0.000599]	1
ENSG00000135218	66	23.431	0.0001227	7.05e-06	0.00041605	CD36	(3.01e-05,0.000599]	1
ENSG00000138472	9	7.0793	0.00012271	4.05e-06	0.00038205	GUCA1C	(3.01e-05,0.000599]	1
ENSG00000198670	118	90.196	0.00012612	6.05e-06	0.00044505	LPA	(3.01e-05,0.000599]	1
ENSG00000089127	10	18.307	0.00012961	3.05e-06	0.00056605	OAS1	(3.01e-05,0.000599]	1
ENSG00000183569	18	10.762	0.00013314	4.05e-06	0.00054105	SERHL2	(3.01e-05,0.000599]	1
