cluster,intracluster_corr,cluster_size,cluster_gene_size,cluster_member,rest_count,stim8hr_count,stim48hr_count,cluster_member_with_condition,complex_corum,overlap_genes_corum,overlap_fraction_corum,raw_p_value_corum,complex_size_corum,overlap_size_corum,cluster_size_corum,fdr_corum,complex_stringdb,overlap_genes_stringdb,overlap_fraction_stringdb,raw_p_value_stringdb,complex_size_stringdb,overlap_size_stringdb,cluster_size_stringdb,fdr_stringdb,best_described_by,complex_kegg,overlap_genes_kegg,overlap_fraction_kegg,raw_p_value_kegg,complex_size_kegg,overlap_size_kegg,cluster_size_kegg,fdr_kegg,complex_reactome,overlap_genes_reactome,overlap_fraction_reactome,raw_p_value_reactome,complex_size_reactome,overlap_size_reactome,cluster_size_reactome,fdr_reactome,corr_rest,corr_stim8hr,corr_stim48hr,corr_shared,condition_specificity
0,0.3984721977517252,20,7,"['SLC24A1', 'INTS13', 'INTS15', 'FGFR1OP2', 'INTS14', 'INTS10', 'EBF3']",6,7,7,"['SLC24A1_Stim8hr', 'SLC24A1_Rest', 'INTS13_Stim48hr', 'INTS15_Stim8hr', 'FGFR1OP2_Stim8hr', 'INTS14_Rest', 'INTS13_Stim8hr', 'INTS10_Stim8hr', 'INTS13_Rest', 'EBF3_Stim48hr', 'EBF3_Rest', 'INTS14_Stim48hr', 'SLC24A1_Stim48hr', 'FGFR1OP2_Stim48hr', 'INTS14_Stim8hr', 'INTS15_Stim48hr', 'INTS10_Rest', 'EBF3_Stim8hr', 'INTS10_Stim48hr', 'FGFR1OP2_Rest']",BCL6-HDAC4 complex,[],0.0,1.0,2,0,7,1.0,CL:35457,"['INTS14', 'INTS10', 'INTS13']",0.42857142857142855,3.2581920246779656e-07,5,3,7,0.001981651555244578,Integrator complex,KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,7,1.0,REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,"['INTS14', 'INTS10', 'INTS13']",0.42857142857142855,0.002454567704631529,81,3,7,1.0,0.4064815726486652,0.5129760821592928,0.496742847846206,0.3560759094691438,across_condition
1,0.3336517543929185,6,2,"['RFX1', 'FOXN2']",2,2,2,"['RFX1_Stim8hr', 'FOXN2_Stim48hr', 'RFX1_Stim48hr', 'FOXN2_Stim8hr', 'RFX1_Rest', 'FOXN2_Rest']",BCL6-HDAC4 complex,[],0.0,1.0,2,0,2,1.0,CL:39184,[],0.0,1.0,7,0,2,1.0,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,2,1.0,REACTOME_2_LTR_CIRCLE_FORMATION,[],0.0,1.0,7,0,2,1.0,0.3827114395138128,0.4115639893317561,0.2920669358223227,0.3277207026637171,across_condition
2,0.24352834189348382,29,11,"['INO80B', 'ACTR5', 'INO80', 'RO60', 'HEY1', 'NFRKB', 'INO80C', 'UCHL5', 'INO80E', 'HIRIP3', 'ACTR8']",9,10,10,"['INO80B_Stim8hr', 'ACTR5_Rest', 'INO80_Rest', 'RO60_Stim48hr', 'HEY1_Stim48hr', 'NFRKB_Stim48hr', 'NFRKB_Stim8hr', 'INO80B_Rest', 'HEY1_Rest', 'INO80C_Stim8hr', 'UCHL5_Rest', 'NFRKB_Rest', 'INO80E_Stim48hr', 'INO80B_Stim48hr', 'HIRIP3_Stim8hr', 'UCHL5_Stim48hr', 'ACTR5_Stim48hr', 'ACTR8_Stim8hr', 'RO60_Rest', 'INO80C_Stim48hr', 'INO80C_Rest', 'ACTR5_Stim8hr', 'RO60_Stim8hr', 'HEY1_Stim8hr', 'UCHL5_Stim8hr', 'ACTR8_Stim48hr', 'ACTR8_Rest', 'INO80_Stim48hr', 'INO80_Stim8hr']",INO80 chromatin remodeling complex,"['INO80B', 'ACTR5', 'INO80C', 'INO80E', 'NFRKB', 'INO80', 'ACTR8']",0.6363636363636364,3.705511313297236e-14,13,7,11,5.557498076348345e-09,CL:5066,"['INO80B', 'ACTR5', 'INO80C', 'INO80E', 'NFRKB', 'INO80', 'ACTR8']",0.6363636363636364,2.606032328978047e-15,10,7,11,1.347253563273426e-10,Ino80 complex,KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,11,1.0,REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,"['INO80B', 'ACTR5', 'INO80C', 'INO80E', 'NFRKB', 'INO80', 'ACTR8']",0.6363636363636364,2.598389048316269e-10,38,7,11,5.562429177709489e-06,0.2616803292537897,0.3042536185679069,0.2816585362151008,0.2071555839692606,across_condition
3,0.3178335294946877,9,3,"['PAGR1', 'STAG2', 'PAXIP1']",3,3,3,"['PAGR1_Stim48hr', 'PAGR1_Rest', 'PAGR1_Stim8hr', 'STAG2_Stim8hr', 'PAXIP1_Stim8hr', 'STAG2_Stim48hr', 'STAG2_Rest', 'PAXIP1_Stim48hr', 'PAXIP1_Rest']",PAGR1-PAXIP1 complex,"['PAXIP1', 'PAGR1']",0.6666666666666666,1.7352374672473931e-06,2,2,3,0.016265600869353972,CL:4998,"['PAXIP1', 'PAGR1']",0.6666666666666666,1.733369612061981e-05,5,2,3,0.06180060380660294,MLL3/4 complex,KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,3,1.0,REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,"['PAXIP1', 'PAGR1']",0.6666666666666666,0.00147259648177148,42,2,3,1.0,0.5085553918317508,0.5035697475249864,0.4530380856617249,0.2967797190646015,across_condition
4,0.3716342354237583,6,2,"['BRMS1', 'SAP130']",2,2,2,"['BRMS1_Stim48hr', 'BRMS1_Rest', 'BRMS1_Stim8hr', 'SAP130_Rest', 'SAP130_Stim8hr', 'SAP130_Stim48hr']",ING2 complex,"['BRMS1', 'SAP130']",1.0,4.511617414843222e-05,13,2,2,0.24831155822573406,CL:5169,"['BRMS1', 'SAP130']",1.0,0.00010989837292566821,20,2,2,0.2883995499657224,Sin3 complex,KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,2,1.0,REACTOME_2_LTR_CIRCLE_FORMATION,[],0.0,1.0,7,0,2,1.0,0.4946905066126985,0.5187539967450883,0.5351795844902068,0.3765135888508559,across_condition
5,0.42767913336594804,6,2,"['MCTS1', 'DENR']",2,2,2,"['MCTS1_Stim8hr', 'DENR_Stim48hr', 'DENR_Stim8hr', 'DENR_Rest', 'MCTS1_Rest', 'MCTS1_Stim48hr']",BCL6-HDAC4 complex,[],0.0,1.0,2,0,2,1.0,CL:24761,"['DENR', 'MCTS1']",1.0,5.784124890824643e-06,5,2,2,0.023545259570347008,"Hydroxycarboxylic acid-binding receptors, and MCT-1/Tma20",KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,2,1.0,REACTOME_2_LTR_CIRCLE_FORMATION,[],0.0,1.0,7,0,2,1.0,0.5838471498621146,0.5960781679485188,0.5959400350770324,0.4585545076409962,across_condition
6,0.26472999345806536,13,6,"['PHF12', 'SIN3B', 'SLF1', 'GATAD1', 'PIM1', 'UBR4']",4,6,3,"['PHF12_Stim8hr', 'SIN3B_Stim8hr', 'PHF12_Rest', 'SLF1_Stim8hr', 'GATAD1_Stim8hr', 'SIN3B_Stim48hr', 'PHF12_Stim48hr', 'SIN3B_Rest', 'PIM1_Stim8hr', 'GATAD1_Stim48hr', 'GATAD1_Rest', 'UBR4_Stim8hr', 'PIM1_Rest']",BCL6-HDAC4 complex,[],0.0,1.0,2,0,6,1.0,CL:5169,"['PHF12', 'SIN3B', 'GATAD1']",0.5,2.0857968187897422e-05,20,3,6,0.0709411059469623,Sin3 complex,KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,6,1.0,REACTOME_2_LTR_CIRCLE_FORMATION,[],0.0,1.0,7,0,6,1.0,0.2818977649450753,0.2842998588126965,0.2022504059257225,0.1687918234044755,across_condition
7,0.3323539876768608,25,10,"['CASC3', 'SMG7', 'SMG9', 'SRR', 'XRN1', 'UPF2', 'SMG1', 'SMG8', 'TMEM79', 'SMG5']",10,9,6,"['CASC3_Rest', 'SMG7_Stim8hr', 'CASC3_Stim8hr', 'SMG9_Stim48hr', 'SMG9_Rest', 'SRR_Rest', 'XRN1_Stim8hr', 'CASC3_Stim48hr', 'UPF2_Stim48hr', 'SMG1_Stim48hr', 'UPF2_Rest', 'SMG8_Stim8hr', 'UPF2_Stim8hr', 'SMG7_Rest', 'TMEM79_Stim8hr', 'SMG9_Stim8hr', 'SMG8_Rest', 'TMEM79_Rest', 'SMG5_Rest', 'SMG8_Stim48hr', 'SMG1_Rest', 'SRR_Stim8hr', 'XRN1_Rest', 'SMG1_Stim8hr', 'SMG7_Stim48hr']",SMG1 complex,"['SMG9', 'SMG8', 'SMG1']",0.3,1.1207131112469703e-07,3,3,10,0.0019209567073141393,CL:2516,"['SMG1', 'UPF2', 'SMG9', 'SMG8', 'SMG7', 'SMG5', 'CASC3']",0.7,2.683070013050711e-12,24,7,10,5.779500499987047e-08,"Nonsense-mediated mRNA decay, and ASAP complex",KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,10,1.0,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,"['SMG1', 'UPF2', 'SMG9', 'SMG8', 'SMG7', 'SMG5', 'CASC3']",0.7,3.160474968710745e-07,116,7,10,0.0017397511709904448,0.375614665255756,0.41273355039862,0.2502290503984347,0.2735774952419293,across_condition
8,0.2293116842667725,11,7,"['DPH5', 'TTC4', 'DPH2', 'DNAJC24', 'TPT1', 'DPH6', 'DPH1']",5,0,6,"['DPH5_Rest', 'TTC4_Rest', 'DPH2_Stim48hr', 'DNAJC24_Stim48hr', 'TPT1_Rest', 'DPH6_Stim48hr', 'DPH1_Stim48hr', 'DPH1_Rest', 'DPH5_Stim48hr', 'DNAJC24_Rest', 'TPT1_Stim48hr']",BCL6-HDAC4 complex,[],0.0,1.0,2,0,7,1.0,CL:7638,"['DPH5', 'DPH1', 'DPH6', 'DPH2']",0.5714285714285714,3.5159071050116783e-10,5,4,7,5.048989098926145e-06,Peptidyl-diphthamide metabolic process,KEGG_ABC_TRANSPORTERS,[],0.0,1.0,44,0,7,1.0,REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,"['DPH6', 'DPH5', 'DNAJC24', 'DPH2', 'DPH1']",0.7142857142857143,6.356074890260591e-12,8,5,7,2.040988614553428e-07,0.2875896951317171,0.3445330523834001,0.2720318568291001,0.1565969727558044,across_condition
9,0.36460372206350616,34,34,"['CD274', 'SUPT7L', 'MEST', 'TADA2B', 'MED13', 'COPRS', 'ECHS1', 'GLIPR2', 'TADA1', 'TAF6L', 'STX16', 'RNFT1', 'MED19', 'PEX6', 'MOSPD2', 'UBE2L3', 'PSMB9', 'SGF29', 'ZNF280D', 'MED1', 'TAF5L', 'SENP5', 'EID2', 'SUPT20H', 'SCYL3', 'MED12', 'MED15', 'POGLUT3', 'CHD7', 'ZNF613', 'ZFPM1', 'CCNC', 'NRAS', 'TSPYL5']",0,0,34,"['CD274_Stim48hr', 'SUPT7L_Stim48hr', 'MEST_Stim48hr', 'TADA2B_Stim48hr', 'MED13_Stim48hr', 'COPRS_Stim48hr', 'ECHS1_Stim48hr', 'GLIPR2_Stim48hr', 'TADA1_Stim48hr', 'TAF6L_Stim48hr', 'STX16_Stim48hr', 'RNFT1_Stim48hr', 'MED19_Stim48hr', 'PEX6_Stim48hr', 'MOSPD2_Stim48hr', 'UBE2L3_Stim48hr', 'PSMB9_Stim48hr', 'SGF29_Stim48hr', 'ZNF280D_Stim48hr', 'MED1_Stim48hr', 'TAF5L_Stim48hr', 'SENP5_Stim48hr', 'EID2_Stim48hr', 'SUPT20H_Stim48hr', 'SCYL3_Stim48hr', 'MED12_Stim48hr', 'MED15_Stim48hr', 'POGLUT3_Stim48hr', 'CHD7_Stim48hr', 'ZNF613_Stim48hr', 'ZFPM1_Stim48hr', 'CCNC_Stim48hr', 'NRAS_Stim48hr', 'TSPYL5_Stim48hr']","STAGA complex, SPT3-linked","['SGF29', 'TAF6L', 'SUPT20H', 'TADA2B', 'TAF5L', 'SUPT7L', 'TADA1']",0.20588235294117646,1.5376391006175986e-08,19,7,34,0.00029756639881458317,CL:6029,"['SGF29', 'TAF6L', 'SUPT20H', 'TADA2B', 'TAF5L', 'SUPT7L', 'TADA1']",0.20588235294117646,1.5376391006175986e-08,19,7,34,0.00012821306032931984,SAGA complex,KEGG_BASAL_TRANSCRIPTION_FACTORS,"['TAF6L', 'TAF5L']",0.058823529411764705,0.13279039170647466,35,2,34,1.0,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,"['MED1', 'MED12', 'MED15', 'CCNC', 'MED19', 'MED13']",0.17647058823529413,0.0034448792061853644,84,6,34,1.0,0.3540366529337599,0.4322442821829496,0.3756523197017942,0.2458958642796066,across_condition
