ensembl_id,gene_symbol,loeuf,pli
ENSG00000121410,A1BG,1.2080,4.992e-09
ENSG00000148584,A1CF,0.8800,5.922e-10
ENSG00000175899,A2M,0.5440,4.523e-11
ENSG00000166535,A2ML1,0.9520,1.611e-34
ENSG00000184389,A3GALT2,1.7640,1.282e-10
ENSG00000128274,A4GALT,1.6540,7.667e-06
ENSG00000118017,A4GNT,0.7390,0.1654
ENSG00000094914,AAAS,0.9880,2.436e-13
ENSG00000081760,AACS,1.0880,9.128e-17
ENSG00000114771,AADAC,0.9440,0.002911
ENSG00000197953,AADACL2,1.6520,1.06e-08
ENSG00000188984,AADACL3,1.7010,0.01189
ENSG00000204518,AADACL4,1.6790,0.0001543
ENSG00000109576,AADAT,0.5080,0.1464
ENSG00000158122,AAED1,1.8010,1.006e-07
ENSG00000103591,AAGAB,1.0370,3.866e-07
ENSG00000115977,AAK1,0.1290,1
ENSG00000087884,AAMDC,1.8380,2.27e-06
ENSG00000127837,AAMP,0.4110,0.7617
ENSG00000129673,AANAT,1.2270,0.002969
ENSG00000131043,AAR2,1.3480,8.306e-06
ENSG00000205002,AARD,1.1030,0.3258
ENSG00000090861,AARS,0.6170,1.824e-08
ENSG00000124608,AARS2,0.8350,4.978e-17
ENSG00000266967,AARSD1,1.1080,4.065e-09
ENSG00000157426,AASDH,0.8280,1.663e-13
ENSG00000149313,AASDHPPT,0.7170,0.03387
ENSG00000008311,AASS,0.8090,2.31e-12
ENSG00000108270,AATF,1.0650,2.596e-12
ENSG00000181409,AATK,0.4030,0.2063
ENSG00000183044,ABAT,0.5670,0.006322
ENSG00000165029,ABCA1,0.4860,1.453e-13
ENSG00000154263,ABCA10,0.9680,7.659e-34
ENSG00000144452,ABCA12,0.4780,2.922e-15
ENSG00000179869,ABCA13,1.0350,8.775e-114
ENSG00000107331,ABCA2,0.1690,1
ENSG00000167972,ABCA3,0.5010,6.623e-08
ENSG00000198691,ABCA4,0.9100,5.35e-48
ENSG00000154265,ABCA5,0.8380,4.78e-27
ENSG00000154262,ABCA6,0.8640,5.11e-27
ENSG00000064687,ABCA7,1.0670,2.111e-55
ENSG00000141338,ABCA8,1.1860,1.609e-52
ENSG00000154258,ABCA9,1.0700,9.491e-48
ENSG00000085563,ABCB1,0.4730,1.256e-05
ENSG00000135776,ABCB10,0.9370,2.908e-08
ENSG00000073734,ABCB11,0.6380,1.561e-12
ENSG00000005471,ABCB4,0.5080,2.214e-07
ENSG00000004846,ABCB5,1.1270,1.507e-37
ENSG00000115657,ABCB6,0.9770,8.6e-19
ENSG00000131269,ABCB7,0.1090,0.9999
ENSG00000197150,ABCB8,1.0810,1.916e-15
ENSG00000150967,ABCB9,0.6530,0.0002516
ENSG00000103222,ABCC1,0.3970,0.001173
ENSG00000124574,ABCC10,0.9410,1.289e-26
ENSG00000121270,ABCC11,1.2360,3.988e-46
ENSG00000140798,ABCC12,1.2740,4.566e-49
ENSG00000023839,ABCC2,1.1580,5.202e-47
ENSG00000108846,ABCC3,0.8960,1.209e-26
ENSG00000125257,ABCC4,0.4920,1.067e-07
ENSG00000114770,ABCC5,0.3870,0.004152
ENSG00000091262,ABCC6,1.0260,5.617e-35
ENSG00000006071,ABCC8,0.7650,7.957e-24
ENSG00000069431,ABCC9,0.4820,9.352e-09
ENSG00000101986,ABCD1,0.1500,0.999
ENSG00000173208,ABCD2,0.7180,4.708e-06
ENSG00000117528,ABCD3,0.4350,0.007836
ENSG00000119688,ABCD4,0.8980,1.336e-12
ENSG00000164163,ABCE1,0.3140,0.9738
ENSG00000204574,ABCF1,0.6120,1.282e-09
ENSG00000033050,ABCF2,0.4780,0.0113
ENSG00000161204,ABCF3,0.5730,1.511e-05
ENSG00000160179,ABCG1,0.4610,0.1118
ENSG00000118777,ABCG2,1.5490,2.096e-32
ENSG00000172350,ABCG4,0.8190,3.804e-07
ENSG00000138075,ABCG5,1.3850,3.081e-21
ENSG00000143921,ABCG8,1.3650,2.384e-20
ENSG00000143994,ABHD1,1.9130,3.38e-25
ENSG00000144827,ABHD10,1.0610,1.286e-05
ENSG00000106077,ABHD11,0.9410,0.002958
ENSG00000100997,ABHD12,0.7630,1.948e-05
ENSG00000131969,ABHD12B,1.5820,3.797e-15
ENSG00000139826,ABHD13,0.4060,0.8946
ENSG00000248487,ABHD14A,1.3950,6.424e-06
ENSG00000114786,ABHD14A-ACY1,1.0490,1.769e-10
ENSG00000114779,ABHD14B,1.6950,0.0001438
ENSG00000168792,ABHD15,1.4890,3.546e-08
ENSG00000204427,ABHD16A,0.3840,0.4734
ENSG00000183260,ABHD16B,1.1900,7.437e-05
ENSG00000129968,ABHD17A,0.8030,0.01895
ENSG00000107362,ABHD17B,0.6500,0.2544
ENSG00000136379,ABHD17C,0.3020,0.9576
ENSG00000140526,ABHD2,0.4310,0.6815
ENSG00000158201,ABHD3,1.1810,1.672e-09
ENSG00000100439,ABHD4,1.0730,2.22e-08
ENSG00000011198,ABHD5,0.9820,6.42e-07
ENSG00000163686,ABHD6,0.9840,2.231e-05
ENSG00000127220,ABHD8,0.3100,0.9703
ENSG00000136754,ABI1,0.4180,0.6391
ENSG00000138443,ABI2,0.4600,0.4312
ENSG00000108798,ABI3,1.0400,5.009e-05
ENSG00000154175,ABI3BP,0.5580,1.007e-08
ENSG00000097007,ABL1,0.1760,1
ENSG00000143322,ABL2,0.5800,3.637e-07
ENSG00000099204,ABLIM1,0.3260,0.9301
ENSG00000163995,ABLIM2,0.4650,0.004586
ENSG00000173210,ABLIM3,0.5900,1.063e-07
ENSG00000159842,ABR,0.3610,0.6274
ENSG00000174429,ABRA,1.1720,6.151e-06
ENSG00000146386,ABRACL,1.3710,0.2417
ENSG00000146109,ABT1,1.0150,0.0203
ENSG00000114626,ABTB1,0.7560,2.129e-05
ENSG00000166016,ABTB2,0.4640,0.004663
ENSG00000260869,AC002310.13,1.5790,0.1896
ENSG00000234469,AC002365.1,1.7440,2.322e-05
ENSG00000187905,AC002472.13,1.7410,6.203e-16
ENSG00000227782,AC002553.1,1.7590,0.1424
ENSG00000268133,AC003002.4,1.8130,0.008058
ENSG00000269533,AC003002.6,1.0430,0.3501
ENSG00000269026,AC003006.7,1.8380,0.007166
ENSG00000268413,AC003043.1,1.8600,0.3176
ENSG00000228768,AC003101.1,1.8470,0.0003055
ENSG00000268533,AC004076.7,1.7400,0.3858
ENSG00000268163,AC004076.9,1.4510,0.001471
ENSG00000005189,AC004381.6,0.8560,2.797e-11
ENSG00000268069,AC004466.1,1.9620,0.001452
ENSG00000213888,AC005003.1,1.5480,0.4521
ENSG00000237896,AC005008.2,1.8040,3.016e-06
ENSG00000214871,AC005082.1,1.8690,0.1028
ENSG00000273452,AC005358.1,0.2770,0.993
ENSG00000222012,AC005481.5,1.6260,0.4281
ENSG00000214841,AC005493.1,1.9660,0.001204
ENSG00000214167,AC005544.1,1.9380,0.01399
ENSG00000268024,AC005549.3,1.8720,0.3074
ENSG00000249034,AC005609.1,1.7110,0.01155
ENSG00000206044,AC005841.1,1.9420,2.996e-10
ENSG00000205821,AC006435.1,1.9470,6.167e-08
ENSG00000204957,AC006486.1,1.8440,0.1135
ENSG00000268643,AC006486.9,0.3410,0.937
ENSG00000267001,AC006538.4,1.7960,0.1306
ENSG00000234409,AC006547.14,1.1610,4.795e-07
ENSG00000235478,AC006946.15,1.2010,0.1138
ENSG00000258881,AC007040.11,1.1330,0.004117
ENSG00000268461,AC007204.1,1.7370,0.1487
ENSG00000217075,AC007401.2,1.9400,0.00272
ENSG00000223874,AC007557.1,1.4340,0.484
ENSG00000228157,AC007952.5,1.3360,0.5103
ENSG00000214670,AC007956.1,1.8310,0.007416
ENSG00000218672,AC008060.7,1.9030,0.004528
ENSG00000231031,AC008271.1,1.2720,0.1007
ENSG00000268208,AC008372.1,1.9450,0.05572
ENSG00000233828,AC008394.1,1.9080,0.08311
ENSG00000214109,AC008686.1,1.7440,0.0419
ENSG00000269047,AC009041.2,1.8660,0.3127
ENSG00000167970,AC009065.1,1.8950,6.744e-06
ENSG00000183470,AC009365.3,1.7300,0.1506
ENSG00000216895,AC009403.2,1.8880,0.02337
ENSG00000268706,AC009802.1,1.8400,0.3319
ENSG00000224730,AC009892.10,1.9520,0.01041
ENSG00000214248,AC010336.1,1.7800,3.592e-06
ENSG00000269636,AC010441.1,1.9440,1.481e-05
ENSG00000269095,AC010646.3,1.9190,0.07576
ENSG00000224361,AC011239.1,1.8950,0.02222
ENSG00000233539,AC011294.3,1.9100,0.004227
ENSG00000268857,AC011308.1,1.8070,0.3525
ENSG00000254106,AC011366.3,1.6570,0.4177
ENSG00000226104,AC011475.1,1.9280,0.07006
ENSG00000213922,AC011500.1,1.8390,0.001555
ENSG00000268434,AC011530.4,0.9390,0.07641
ENSG00000265629,AC011897.1,1.5200,0.004793
ENSG00000222017,AC011997.1,1.9210,0.0001375
ENSG00000228835,AC012123.1,1.5280,0.01817
ENSG00000269855,AC012313.1,1.8500,0.029
ENSG00000268556,AC012360.1,1.8880,0.2923
ENSG00000231145,AC013468.1,1.8300,0.3387
ENSG00000236338,AC015987.2,1.8400,0.115
ENSG00000215431,AC015989.1,1.8400,0.3325
ENSG00000205148,AC016251.1,1.5440,0.06356
ENSG00000186235,AC016757.3,1.9450,0.002432
ENSG00000268080,AC016885.1,1.9120,0.08046
ENSG00000213828,AC017028.1,1.8230,0.007721
ENSG00000233538,AC017104.2,1.8680,0.006002
ENSG00000268241,AC018470.1,0.9580,0.008365
ENSG00000167765,AC018755.1,1.4430,0.02182
ENSG00000235978,AC018816.3,1.8510,5.794e-05
ENSG00000213953,AC018867.1,1.9250,0.07205
ENSG00000268846,AC018867.2,1.7680,0.3731
ENSG00000269210,AC019171.1,1.6220,0.05505
ENSG00000268328,AC019206.1,1.8970,0.2827
ENSG00000204876,AC021218.2,1.5800,0.05957
ENSG00000267964,AC022400.2,1.8870,0.2932
ENSG00000225940,AC022431.2,1.4350,0.02217
ENSG00000197604,AC022532.1,1.5370,0.06437
ENSG00000222031,AC023469.1,1.8570,0.0002824
ENSG00000225885,AC023590.1,1.7600,0.3766
ENSG00000204533,AC024580.1,1.1240,0.1313
ENSG00000267740,AC024592.12,1.4000,0.02391
ENSG00000214325,AC025287.1,1.8080,0.0003924
ENSG00000268509,AC026202.1,1.8990,0.0009678
ENSG00000268640,AC026369.1,1.8940,0.2862
ENSG00000268432,AC026407.1,1.7290,0.1509
ENSG00000215067,AC027763.2,1.6350,0.1757
ENSG00000248235,AC037459.4,0.8720,0.01274
ENSG00000237102,AC040160.1,1.3340,0.007757
ENSG00000269871,AC040977.1,1.6970,0.047
ENSG00000222020,AC062017.1,1.9340,0.003025
ENSG00000222007,AC064874.1,1.7990,0.03554
ENSG00000249319,AC068533.7,1.2990,4.049e-10
ENSG00000260415,AC068987.1,1.8160,0.1238
ENSG00000249240,AC069368.3,0.7070,0.03671
ENSG00000214314,AC073063.1,1.9180,0.07672
ENSG00000198580,AC073343.1,1.5660,3.838e-09
ENSG00000269531,AC073569.1,1.8720,0.3078
ENSG00000255863,AC073610.5,0.7600,0.6982
ENSG00000205334,AC074091.13,1.4790,0.2141
ENSG00000237452,AC074212.3,0.6460,0.00442
ENSG00000182329,AC079354.1,0.7560,3.209e-07
ENSG00000196758,AC079612.1,1.6070,0.0002065
ENSG00000268310,AC087645.1,0.9070,0.2092
ENSG00000268550,AC090427.1,1.8840,0.2964
ENSG00000214708,AC090616.2,1.8600,0.3175
ENSG00000217455,AC091801.1,1.6490,0.1722
ENSG00000222000,AC092675.3,1.7290,0.01094
ENSG00000232056,AC092687.4,1.5350,0.06462
ENSG00000203443,AC092964.1,1.7370,0.387
ENSG00000269175,AC093157.1,1.6870,0.4069
ENSG00000220256,AC093802.1,1.7450,0.04183
ENSG00000267988,AC096582.1,1.6620,0.4159
ENSG00000224867,AC096644.1,1.8440,0.1136
ENSG00000217825,AC099552.4,1.4560,0.2198
ENSG00000268626,AC103809.2,1.7860,0.03708
ENSG00000269558,AC104057.1,1.8720,0.3071
ENSG00000268083,AC104534.3,0.5200,0.5108
ENSG00000234949,AC104667.3,1.8500,0.00672
ENSG00000233502,AC104794.4,1.4290,0.02248
ENSG00000226321,AC104809.3,0.8360,1.388e-13
ENSG00000228368,AC106873.4,1.8150,0.1243
ENSG00000222001,AC106876.2,1.7490,0.0103
ENSG00000269000,AC108868.1,1.8760,0.3035
ENSG00000233438,AC109829.1,1.1310,0.0003525
ENSG00000268788,AC110615.1,1.7580,0.1425
ENSG00000218416,AC110619.2,1.6570,0.0134
ENSG00000176349,AC110781.3,1.8670,0.1038
ENSG00000229615,AC111200.1,1.7920,0.3609
ENSG00000268800,AC112205.1,1.8350,0.3357
ENSG00000224132,AC112715.2,1.6460,0.4214
ENSG00000222022,AC112721.1,1.8850,0.2956
ENSG00000268950,AC114494.1,1.9040,0.08507
ENSG00000237524,AC114783.1,1.7400,8.923e-07
ENSG00000212999,AC117834.1,1.3650,0.5026
ENSG00000213002,AC120194.1,1.8600,0.3177
ENSG00000267873,AC121757.1,1.8560,0.1085
ENSG00000216921,AC131097.4,1.8130,0.008087
ENSG00000184566,AC132216.1,1.7130,0.04534
ENSG00000268863,AC135048.1,1.7600,0.1421
ENSG00000228259,AC136604.1,1.7770,0.3688
ENSG00000268218,AC137932.1,1.9130,0.07957
ENSG00000226490,AC138647.1,1.9050,0.02042
ENSG00000183292,AC140481.2,1.8650,0.1047
ENSG00000215621,AC174470.1,1.0450,0.1535
ENSG00000269396,AC187652.1,1.8830,0.09643
ENSG00000060971,ACAA1,1.1180,3.59e-09
ENSG00000167315,ACAA2,1.3060,3.707e-10
ENSG00000132142,ACACA,0.2160,1
ENSG00000076555,ACACB,0.8570,7.65e-47
ENSG00000111271,ACAD10,1.0850,1.018e-30
ENSG00000240303,ACAD11,0.8830,5.183e-15
ENSG00000151498,ACAD8,1.2700,5.639e-14
ENSG00000177646,ACAD9,0.8140,4.526e-08
ENSG00000115361,ACADL,1.1620,1.743e-12
ENSG00000117054,ACADM,1.1530,2.055e-12
ENSG00000122971,ACADS,0.9500,2.803e-06
ENSG00000196177,ACADSB,1.1720,2.657e-11
ENSG00000072778,ACADVL,1.0500,4.238e-15
ENSG00000157766,ACAN,0.1830,1
ENSG00000072818,ACAP1,0.4230,0.06762
ENSG00000114331,ACAP2,0.3240,0.9233
