ensembl_id,gene_symbol,loeuf,pli
ENSG00000121410,A1BG,1.34,1.7706e-16
ENSG00000148584,A1CF,0.825,7.656e-10
ENSG00000175899,A2M,0.765,9.7568e-20
ENSG00000166535,A2ML1,0.953,1.7126999999999998e-40
ENSG00000184389,A3GALT2,1.529,1.0169e-06
ENSG00000128274,A4GALT,1.393,0.075507
ENSG00000118017,A4GNT,1.375,0.019136
ENSG00000094914,AAAS,0.921,8.9231e-16
ENSG00000081760,AACS,0.967,8.8541e-18
ENSG00000114771,AADAC,1.126,6.3501e-05
ENSG00000197953,AADACL2,1.529,6.9637e-08
ENSG00000188984,AADACL3,1.25,0.0017704
ENSG00000204518,AADACL4,1.063,0.011751
ENSG00000109576,AADAT,0.625,0.46289
ENSG00000103591,AAGAB,1.156,1.5706e-08
ENSG00000115977,AAK1,0.406,0.99999
ENSG00000087884,AAMDC,1.571,1.0899e-05
ENSG00000127837,AAMP,0.372,0.99998
ENSG00000129673,AANAT,1.283,0.00068842
ENSG00000131043,AAR2,1.472,5.4204e-12
ENSG00000205002,AARD,1.719,0.00042882
ENSG00000090861,AARS1,0.772,4.04e-14
ENSG00000124608,AARS2,0.752,1.8233e-15
ENSG00000266967,AARSD1,1.122,2.3928e-14
ENSG00000157426,AASDH,0.946,3.2904e-18
ENSG00000149313,AASDHPPT,0.754,0.021762
ENSG00000008311,AASS,0.948,4.5130999999999994e-21
ENSG00000275700,AATF,1.033,2.9704e-13
ENSG00000181409,AATK,1.574,5.3635e-39
ENSG00000183044,ABAT,0.871,1.1757e-10
ENSG00000165029,ABCA1,0.563,2.3118e-12
ENSG00000154263,ABCA10,1.044,8.7244e-43
ENSG00000144452,ABCA12,0.582,4.8142e-17
ENSG00000179869,ABCA13,1.063,3.0027e-140
ENSG00000107331,ABCA2,0.436,0.99999
ENSG00000167972,ABCA3,0.612,1.0831e-10
ENSG00000198691,ABCA4,0.786,3.4822e-43
ENSG00000154265,ABCA5,0.97,1.7677000000000002e-24
ENSG00000154262,ABCA6,1.041,2.9592e-33
ENSG00000064687,ABCA7,1.368,7.922e-103
ENSG00000141338,ABCA8,1.086,9.1537e-44
ENSG00000154258,ABCA9,1.006,1.1383e-40
ENSG00000085563,ABCB1,0.575,1.891e-05
ENSG00000135776,ABCB10,1.142,3.0297e-17
ENSG00000073734,ABCB11,0.739,9.5597e-15
ENSG00000005471,ABCB4,0.623,1.7893e-08
ENSG00000004846,ABCB5,1.178,2.1065e-45
ENSG00000115657,ABCB6,0.984,2.0017000000000002e-25
ENSG00000197150,ABCB8,0.894,7.4398e-13
ENSG00000150967,ABCB9,0.796,2.9429e-07
ENSG00000103222,ABCC1,0.564,1.2436e-06
ENSG00000124574,ABCC10,0.894,1.7526000000000002e-29
ENSG00000121270,ABCC11,1.004,4.0979e-38
ENSG00000140798,ABCC12,1.022,9.7791e-42
ENSG00000023839,ABCC2,0.985,1.5473000000000002e-45
ENSG00000108846,ABCC3,0.831,2.7121999999999997e-28
ENSG00000125257,ABCC4,0.647,7.0811e-11
ENSG00000114770,ABCC5,0.455,0.99932
ENSG00000091262,ABCC6,0.917,1.2351e-33
ENSG00000006071,ABCC8,0.829,9.534400000000001e-33
ENSG00000069431,ABCC9,0.557,7.2745e-06
ENSG00000173208,ABCD2,0.714,7.7494e-05
ENSG00000117528,ABCD3,0.484,0.99014
ENSG00000119688,ABCD4,0.772,4.0217e-10
ENSG00000164163,ABCE1,0.466,0.99654
ENSG00000204574,ABCF1,0.69,7.1408e-12
ENSG00000033050,ABCF2,0.61,0.0033779
ENSG00000161204,ABCF3,0.776,1.1095e-12
ENSG00000160179,ABCG1,0.573,0.19578
ENSG00000118777,ABCG2,1.308,5.0723e-29
ENSG00000172350,ABCG4,0.694,3.483e-05
ENSG00000138075,ABCG5,1.219,8.1322e-20
ENSG00000143921,ABCG8,1.329,5.1931e-31
ENSG00000143994,ABHD1,1.359,1.8338e-17
ENSG00000144827,ABHD10,1.037,1.2175e-05
ENSG00000106077,ABHD11,1.194,1.8944e-08
ENSG00000100997,ABHD12,0.967,7.5081e-10
ENSG00000131969,ABHD12B,1.148,5.0333e-12
ENSG00000139826,ABHD13,0.504,0.97685
ENSG00000248487,ABHD14A,1.081,1.3328e-05
ENSG00000114779,ABHD14B,1.789,7.686e-09
ENSG00000168792,ABHD15,1.479,2.9886e-13
ENSG00000204427,ABHD16A,0.686,4.0184e-07
ENSG00000183260,ABHD16B,1.955,3.4725e-09
ENSG00000129968,ABHD17A,0.783,0.21099
ENSG00000107362,ABHD17B,0.579,0.85835
ENSG00000136379,ABHD17C,0.919,0.012876
ENSG00000164074,ABHD18,1.028,1.0028e-06
ENSG00000140526,ABHD2,0.57,0.5507
ENSG00000158201,ABHD3,1.211,2.0979e-15
ENSG00000100439,ABHD4,1.038,9.7984e-10
ENSG00000011198,ABHD5,0.922,3.4236e-07
ENSG00000163686,ABHD6,1.067,1.7139e-08
ENSG00000127220,ABHD8,0.664,0.25012
ENSG00000136754,ABI1,0.41,0.9998
ENSG00000138443,ABI2,0.585,0.44932
ENSG00000108798,ABI3,1.113,2.651e-07
ENSG00000154175,ABI3BP,0.945,9.7143e-43
ENSG00000119328,ABITRAM,1.175,8.0601e-05
ENSG00000097007,ABL1,0.19,1.0
ENSG00000143322,ABL2,0.578,0.0010035
ENSG00000099204,ABLIM1,0.515,0.69623
ENSG00000163995,ABLIM2,0.743,7.759e-10
ENSG00000173210,ABLIM3,0.691,7.7214e-10
ENSG00000159842,ABR,0.431,0.99996
ENSG00000174429,ABRA,0.993,9.4717e-07
ENSG00000146386,ABRACL,1.243,0.11384
ENSG00000163322,ABRAXAS1,1.347,4.4645e-05
ENSG00000165660,ABRAXAS2,0.641,0.43358
ENSG00000146109,ABT1,1.2,0.0001344
ENSG00000114626,ABTB1,1.003,1.4524e-12
ENSG00000166016,ABTB2,0.733,3.5697e-10
ENSG00000060971,ACAA1,1.199,1.4146e-14
ENSG00000167315,ACAA2,1.148,1.964e-09
ENSG00000278540,ACACA,0.374,1.0
ENSG00000076555,ACACB,0.843,2.7387e-49
ENSG00000111271,ACAD10,1.05,6.9671e-34
ENSG00000240303,ACAD11,1.01,1.1192e-17
ENSG00000151498,ACAD8,1.11,6.951e-14
ENSG00000177646,ACAD9,0.884,1.1413e-12
ENSG00000115361,ACADL,1.262,3.5387e-14
ENSG00000117054,ACADM,1.072,6.8458e-12
ENSG00000122971,ACADS,0.852,3.5192e-06
ENSG00000196177,ACADSB,0.891,7.245e-07
ENSG00000072778,ACADVL,1.077,2.4249999999999997e-22
ENSG00000157766,ACAN,0.377,1.0
ENSG00000072818,ACAP1,0.579,0.0020255
ENSG00000114331,ACAP2,0.47,0.99673
ENSG00000131584,ACAP3,0.816,1.638e-12
ENSG00000075239,ACAT1,0.798,0.00031856
ENSG00000120437,ACAT2,0.99,1.9103e-06
ENSG00000182827,ACBD3,0.634,0.0059197
ENSG00000181513,ACBD4,1.09,2.1826e-12
ENSG00000107897,ACBD5,0.734,2.2882e-06
ENSG00000230124,ACBD6,1.037,1.2278e-05
ENSG00000176244,ACBD7,1.515,0.00019634
ENSG00000110455,ACCS,0.899,7.8032e-11
ENSG00000205126,ACCSL,1.037,4.2141e-15
ENSG00000102977,ACD,0.921,4.3134e-10
ENSG00000159640,ACE,0.88,6.2381e-32
ENSG00000167769,ACER1,1.411,1.3147e-11
ENSG00000177076,ACER2,1.155,1.4586e-07
ENSG00000078124,ACER3,0.815,0.30464
ENSG00000087085,ACHE,0.546,0.81412
ENSG00000100813,ACIN1,0.15,1.0
ENSG00000213088,ACKR1,1.841,0.01936
ENSG00000144648,ACKR2,1.934,0.11759
ENSG00000144476,ACKR3,0.492,0.98139
ENSG00000129048,ACKR4,1.218,0.12264
ENSG00000131473,ACLY,0.401,1.0
ENSG00000153086,ACMSD,1.063,1.8164e-08
ENSG00000122729,ACO1,0.839,1.5512e-14
ENSG00000100412,ACO2,0.489,0.98113
ENSG00000102794,ACOD1,1.53,0.0022454
ENSG00000184227,ACOT1,1.531,0.20157
ENSG00000162390,ACOT11,1.088,5.9288999999999995e-21
ENSG00000172497,ACOT12,0.92,4.8476e-13
ENSG00000112304,ACOT13,1.452,0.00061171
ENSG00000119673,ACOT2,1.191,6.9664e-05
ENSG00000177465,ACOT4,1.586,9.9825e-06
ENSG00000205669,ACOT6,1.96,6.8e-08
ENSG00000097021,ACOT7,0.468,0.99457
ENSG00000101473,ACOT8,1.096,5.8302e-10
ENSG00000161533,ACOX1,0.67,1.7103e-05
ENSG00000168306,ACOX2,0.914,3.611e-16
ENSG00000087008,ACOX3,1.114,8.4687e-23
ENSG00000153093,ACOXL,1.239,1.718e-23
ENSG00000143727,ACP1,1.547,1.4858e-07
ENSG00000134575,ACP2,0.804,1.017e-06
ENSG00000014257,ACP3,1.079,4.4344e-07
ENSG00000142513,ACP4,1.413,3.0241e-19
ENSG00000102575,ACP5,1.14,8.6434e-08
ENSG00000162836,ACP6,1.313,1.4193e-16
ENSG00000183760,ACP7,1.147,1.1195e-18
ENSG00000100312,ACR,0.943,0.00030852
ENSG00000111644,ACRBP,0.911,6.8612e-13
ENSG00000134940,ACRV1,0.822,0.0023017
ENSG00000103740,ACSBG1,0.594,0.0031721
ENSG00000130377,ACSBG2,0.99,3.6935e-16
ENSG00000167107,ACSF2,0.844,6.4482e-12
ENSG00000176715,ACSF3,1.715,2.6576999999999998e-36
ENSG00000151726,ACSL1,0.555,0.047811
