gene_symbol,ensembl_id,is_surface_protein,has_transmembrane_domain,has_extracellular_domain,extracellular_length,is_cspa_confirmed,is_surfy_predicted,is_druggable,druggable_pathway,in_gwt_top15_shortlist
A2M,ENSG00000175899,False,False,False,,True,False,True,DRUGGABLE GENOME;ENZYME;PROTEASE INHIBITOR;TRANSPORTER,False
AAAS,ENSG00000094914,False,False,False,,False,False,False,,False
AACS,ENSG00000081760,False,False,False,,False,False,False,,False
AAK1,ENSG00000115977,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,False
AAMDC,ENSG00000087884,False,False,False,,False,False,False,,False
AAR2,ENSG00000131043,False,False,False,,False,False,False,,False
AASDH,ENSG00000157426,False,False,False,,False,False,False,,False
AASS,ENSG00000008311,False,False,False,,False,False,False,,False
ABAT,ENSG00000183044,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ABCA1,ENSG00000165029,True,True,True,882.0,True,True,True,ABC TRANSPORTER;CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;TRANSPORTER,False
ABCA2,ENSG00000107331,True,True,False,0.0,True,True,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCA3,ENSG00000167972,True,True,False,0.0,False,True,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCA5,ENSG00000154265,True,True,False,0.0,True,True,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCA7,ENSG00000064687,True,True,True,781.0,True,True,True,ABC TRANSPORTER;CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;TRANSPORTER,False
ABCB1,ENSG00000085563,True,True,True,111.0,True,True,True,ABC TRANSPORTER;CELL SURFACE;CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;ENZYME;TRANSPORTER,False
ABCB6,ENSG00000115657,True,True,False,0.0,False,False,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCB7,ENSG00000131269,True,True,False,0.0,False,False,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCB8,ENSG00000197150,True,True,False,0.0,False,False,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCB9,ENSG00000150967,True,True,False,0.0,False,True,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCC1,ENSG00000103222,True,True,True,147.0,True,True,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCC10,ENSG00000124574,True,True,False,0.0,False,True,True,ABC TRANSPORTER;DRUG RESISTANCE;DRUGGABLE GENOME;TRANSPORTER,False
ABCC2,ENSG00000023839,True,True,True,144.0,True,True,True,ABC TRANSPORTER;CELL SURFACE;DRUGGABLE GENOME;TRANSPORTER,False
ABCC3,ENSG00000108846,True,True,True,146.0,False,True,True,ABC TRANSPORTER;CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;TRANSPORTER,False
ABCC4,ENSG00000125257,True,True,True,26.0,True,True,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCC5,ENSG00000114770,True,True,False,0.0,True,True,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCC8,ENSG00000006071,True,True,True,178.0,False,False,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCD2,ENSG00000173208,True,True,False,0.0,False,False,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCD3,ENSG00000117528,True,True,False,0.0,False,False,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCD4,ENSG00000119688,True,True,False,0.0,False,False,True,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,False
ABCE1,ENSG00000164163,False,False,False,,False,False,True,DRUGGABLE GENOME;TRANSPORTER,False
ABCG1,ENSG00000160179,True,True,True,82.0,False,False,True,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;TRANSPORTER,False
ABHD11,ENSG00000106077,False,False,False,,False,False,False,,False
ABHD12,ENSG00000100997,True,True,True,303.0,False,False,True,DRUGGABLE GENOME;ENZYME;PHOSPHOLIPASE,False
ABHD13,ENSG00000139826,False,False,False,0.0,False,False,False,,False
ABHD14A,ENSG00000248487,False,False,False,0.0,False,False,False,,False
ABHD15,ENSG00000168792,False,False,False,,False,False,False,,False
ABHD16A,ENSG00000204427,True,True,False,0.0,False,False,True,DRUGGABLE GENOME;PHOSPHOLIPASE,False
ABHD16B,ENSG00000183260,False,False,False,,False,False,False,,False
ABHD17A,ENSG00000129968,False,False,False,,False,False,False,,False
ABHD18,ENSG00000164074,False,False,False,,False,False,False,,False
ABHD2,ENSG00000140526,True,True,True,395.0,False,False,False,,False
ABHD3,ENSG00000158201,False,False,False,0.0,False,False,False,,False
ABHD4,ENSG00000100439,False,False,False,,False,False,False,,False
ABHD5,ENSG00000011198,False,False,False,,False,False,False,,False
ABHD6,ENSG00000163686,True,True,True,8.0,False,False,False,,False
ABHD8,ENSG00000127220,False,False,False,,False,False,False,,False
ABI1,ENSG00000136754,False,False,False,,False,False,True,CLINICALLY ACTIONABLE;KINASE,False
ABTB2,ENSG00000166016,False,False,False,,False,False,False,,False
ABTB3,ENSG00000151136,False,False,False,0.0,False,False,False,,False
ACAA1,ENSG00000060971,False,False,False,,True,False,False,,False
ACAA2,ENSG00000167315,False,False,False,,False,False,False,,False
ACACA,ENSG00000278540,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ACACB,ENSG00000076555,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ACAD10,ENSG00000111271,False,False,False,,False,False,False,,False
ACAD11,ENSG00000240303,False,False,False,,False,False,False,,False
ACAD8,ENSG00000151498,False,False,False,,False,False,False,,False
ACAD9,ENSG00000177646,False,False,False,,False,False,False,,False
ACADM,ENSG00000117054,False,False,False,,False,False,False,,False
ACADS,ENSG00000122971,False,False,False,,False,False,False,,False
ACADSB,ENSG00000196177,False,False,False,,False,False,False,,False
ACADVL,ENSG00000072778,False,False,False,,False,False,False,,False
ACAT1,ENSG00000075239,False,False,False,,False,False,False,,False
ACAT2,ENSG00000120437,False,False,False,,False,False,False,,False
ACBD4,ENSG00000181513,False,False,False,0.0,False,False,False,,False
ACBD5,ENSG00000107897,False,False,False,0.0,False,False,False,,False
ACE,ENSG00000159640,True,True,True,1227.0,True,True,True,DRUGGABLE GENOME;ENZYME;EXTERNAL SIDE OF PLASMA MEMBRANE;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,False
ACER1,ENSG00000167769,True,True,False,0.0,False,False,False,,False
ACER2,ENSG00000177076,True,True,False,0.0,False,False,False,,False
ACER3,ENSG00000078124,True,True,False,0.0,False,False,False,,False
ACKR3,ENSG00000144476,True,True,True,109.0,False,True,True,CELL SURFACE;CLINICALLY ACTIONABLE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;G PROTEIN COUPLED RECEPTOR,False
ACLY,ENSG00000131473,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME,False
ACO1,ENSG00000122729,False,False,False,,False,False,False,,False
ACO2,ENSG00000100412,False,False,False,,False,False,False,,False
ACOT2,ENSG00000119673,False,False,False,,False,False,False,,False
ACOT4,ENSG00000177465,False,False,False,,False,False,False,,False
ACOX1,ENSG00000161533,False,False,False,,False,False,False,,False
ACOX3,ENSG00000087008,False,False,False,,False,False,False,,False
ACP1,ENSG00000143727,False,False,False,,False,False,True,DRUGGABLE GENOME;ENZYME;PROTEIN PHOSPHATASE,False
ACP2,ENSG00000134575,False,False,False,0.0,True,True,True,DRUGGABLE GENOME;ENZYME,False
ACRBP,ENSG00000111644,False,False,False,,False,False,True,DRUGGABLE GENOME,False
ACSF2,ENSG00000167107,False,False,False,,False,False,False,,False
ACSF3,ENSG00000176715,False,False,False,,False,False,False,,False
ACSL1,ENSG00000151726,False,False,False,0.0,False,False,False,,False
ACSL3,ENSG00000123983,False,False,False,0.0,False,False,True,CLINICALLY ACTIONABLE,False
ACSL4,ENSG00000068366,False,False,False,0.0,False,False,False,,False
ACSL5,ENSG00000197142,False,False,False,0.0,False,False,False,,False
ACSL6,ENSG00000164398,False,False,False,0.0,False,False,True,CLINICALLY ACTIONABLE;ENZYME,False
ACSM3,ENSG00000005187,False,False,False,,False,False,False,,False
ACSS1,ENSG00000154930,False,False,False,,False,False,False,,False
ACSS2,ENSG00000131069,False,False,False,,False,False,False,,False
ACTA2,ENSG00000107796,False,False,False,,False,False,True,CLINICALLY ACTIONABLE,False
ACTN1,ENSG00000072110,False,False,False,,True,False,True,DRUGGABLE GENOME,False
ACTN4,ENSG00000130402,False,False,False,,True,False,True,DRUGGABLE GENOME,False
ACTR2,ENSG00000138071,False,False,False,,False,False,False,,False
ACTR3,ENSG00000115091,False,False,False,,False,False,False,,False
ACTR3B,ENSG00000133627,False,False,False,,False,False,False,,False
ACTR3C,ENSG00000106526,False,False,False,,False,False,False,,False
ACVR1,ENSG00000115170,True,True,True,103.0,True,True,True,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,False
ACVR1B,ENSG00000135503,True,True,True,103.0,False,True,True,CELL SURFACE;CLINICALLY ACTIONABLE;DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,False
ACVR1C,ENSG00000123612,True,True,True,92.0,False,True,True,DRUGGABLE GENOME;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR,False
ACVR2A,ENSG00000121989,True,True,True,116.0,True,True,True,CELL SURFACE;DRUGGABLE GENOME;KINASE;SERINE THREONINE KINASE,False
