disease_efo,disease_name,gene_symbol,gene_id,gene_name,association_score,genetic_evidence_score,genetic_evidence_types
EFO_0000384,Crohn's disease,IL23R,ENSG00000162594,interleukin 23 receptor,0.5828090102771314,0.9457678004888632,genetic_association
EFO_0000384,Crohn's disease,NOD2,ENSG00000167207,nucleotide binding oligomerization domain containing 2,0.7694401214546637,0.9213508278351635,genetic_association
EFO_0000384,Crohn's disease,LACC1,ENSG00000179630,laccase domain containing 1,0.5526594262804281,0.9016930263120386,genetic_association
EFO_0000384,Crohn's disease,TNFSF15,ENSG00000181634,TNF superfamily member 15,0.5540612886435905,0.9004171829403429,genetic_association
EFO_0000384,Crohn's disease,GPR35,ENSG00000178623,G protein-coupled receptor 35,0.5491812109429797,0.885230192668993,genetic_association
EFO_0000384,Crohn's disease,PTPN22,ENSG00000134242,protein tyrosine phosphatase non-receptor type 22,0.5420991876784528,0.8823884763810491,genetic_association
EFO_0000384,Crohn's disease,NFKBIA,ENSG00000100906,NFKB inhibitor alpha,0.5324453209051951,0.8691529002001283,genetic_association
EFO_0000384,Crohn's disease,IFNGR2,ENSG00000159128,interferon gamma receptor 2,0.524654537380594,0.8630168753447026,genetic_association
EFO_0000384,Crohn's disease,SMAD3,ENSG00000166949,SMAD family member 3,0.5216467784325013,0.8538605040779279,genetic_association
EFO_0000384,Crohn's disease,PTGER4,ENSG00000171522,prostaglandin E receptor 4,0.5236487578755943,0.8531425283873132,genetic_association
EFO_0000384,Crohn's disease,CDKAL1,ENSG00000145996,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase,0.5211232549487151,0.852809129086106,genetic_association
EFO_0000384,Crohn's disease,ATG16L1,ENSG00000085978,autophagy related 16 like 1,0.5305144839357999,0.8463295417143066,genetic_association
EFO_0000384,Crohn's disease,TNRC18,ENSG00000182095,trinucleotide repeat containing 18,0.5141381092486015,0.8457181496125823,genetic_association
EFO_0000384,Crohn's disease,IL12B,ENSG00000113302,interleukin 12B,0.7104000166826915,0.8436078533361726,genetic_association
EFO_0000384,Crohn's disease,TAGAP,ENSG00000164691,T cell activation RhoGTPase activating protein,0.5047654254280283,0.8255242255660427,genetic_association
EFO_0000384,Crohn's disease,MST1,ENSG00000173531,macrophage stimulating 1,0.5167592688097642,0.8200320886975169,genetic_association
EFO_0000384,Crohn's disease,JAZF1,ENSG00000153814,JAZF zinc finger 1,0.4993402570940546,0.8198569794711371,genetic_association
EFO_0000384,Crohn's disease,RASGRP1,ENSG00000172575,RAS guanyl releasing protein 1,0.4990677494831907,0.8192147285318944,genetic_association
EFO_0000384,Crohn's disease,PTPN2,ENSG00000175354,protein tyrosine phosphatase non-receptor type 2,0.5035328785885799,0.8164303984075449,genetic_association
EFO_0000384,Crohn's disease,BACH2,ENSG00000112182,BTB domain and CNC homolog 2,0.49932491662108763,0.8157884289122312,genetic_association
EFO_0000384,Crohn's disease,IL2RA,ENSG00000134460,interleukin 2 receptor subunit alpha,0.5216612487784912,0.8130605396209161,genetic_association
EFO_0000384,Crohn's disease,ADO,ENSG00000181915,2-aminoethanethiol dioxygenase,0.49306523415891657,0.8110548702188192,genetic_association
EFO_0000384,Crohn's disease,RNASET2,ENSG00000026297,ribonuclease T2,0.49590028830993443,0.8086967234798536,genetic_association
EFO_0000384,Crohn's disease,JAK2,ENSG00000096968,Janus kinase 2,0.5949664560492237,0.8082333723435217,genetic_association
